,accession,gene
1,>XM_019475053.1,MVD
3,>XM_019475054.1,RFC52
5,>XM_019475055.1,CAALFM_C100370WA
7,>XM_019475056.1,UBP6
9,>XM_019475057.1,CAALFM_C100450CA
11,>XM_019475058.1,TUB2
13,>XM_019475059.1,CAALFM_C100910WA
15,>XM_019475060.1,SIN3
17,>XM_019475061.1,RPB11
19,>XM_019475062.1,CAALFM_C100970WA
21,>XM_019475063.1,CAALFM_C100980WA
23,>XM_019475064.1,RPS21B
25,>XM_019475065.1,POX18
27,>XM_019475066.1,CAALFM_C101610CA
29,>XM_019475067.1,RPS42
31,>XM_019475068.1,SWI4
33,>XM_019475069.1,CAALFM_C101930WA
35,>XM_019475070.1,CAALFM_C101970WA
37,>XM_019475071.1,ZCF24
39,>XM_019475072.1,CAALFM_C102060WA
41,>XM_019475073.1,CAALFM_C102330CA
43,>XM_019475074.1,CAALFM_C102700CA
45,>XM_019475075.1,CAALFM_C102770WA
47,>XM_019475076.1,RPS16A
49,>XM_019475077.1,TEM1
51,>XM_019475078.1,CAALFM_C103100WA
53,>XM_019475079.1,RPL6
55,>XM_019475080.1,CAALFM_C103150CA
57,>XM_019475081.1,ECM33
59,>XM_019475082.1,CDC12
61,>XM_019475083.1,CAALFM_C103270WA
63,>XM_019475084.1,MED17
65,>XM_019475085.1,CAALFM_C103580WA
67,>XM_019475086.1,CAALFM_C103620CA
69,>XM_019475087.1,CAALFM_C103660WA
71,>XM_019475088.1,SKO1
73,>XM_019475089.1,CAALFM_C103840WA
75,>XM_019475090.1,BET4
77,>XM_019475091.1,CDC3
79,>XM_019475092.1,CAALFM_C104230WA
81,>XM_019475093.1,ACS2
83,>XM_019475094.1,CAALFM_C104360CA
85,>XM_019475095.1,APE2
87,>XM_019475096.1,CAALFM_C104430CA
89,>XM_019475097.1,FMA1
91,>XM_019475098.1,PHO85
93,>XM_019475099.1,CAALFM_C104590WA
95,>XM_019475100.1,ATP1
97,>XM_019475101.1,CAALFM_C104720WA
99,>XM_019475102.1,PSF2
101,>XM_019475103.1,CAALFM_C105180CA
103,>XM_019475104.1,CAALFM_C105190CA
105,>XM_019475105.1,RPS27A
107,>XM_019475106.1,SSH1
109,>XM_019475107.1,RIB4
111,>XM_019475108.1,AUT7
113,>XM_019475109.1,CAALFM_C105720WA
115,>XM_019475110.1,CAALFM_C105790WA
117,>XM_019475111.1,CAALFM_C106050CA
119,>XM_019475112.1,HAC1
121,>XM_019475113.1,RPS14B
123,>XM_019475114.1,CAALFM_C106470WA
125,>XM_019475115.1,CAALFM_C106480CA
127,>XM_019475116.1,CAALFM_C106640CA
129,>XM_019475117.1,CAALFM_C106840CA
131,>XM_019475118.1,CAALFM_C106870CA
133,>XM_019475119.1,SPO22
135,>XM_019475120.1,CAALFM_C106890CA
137,>XM_019475121.1,MMD1
139,>XM_019475122.1,CAALFM_C107060CA
141,>XM_019475123.1,CAALFM_C107150WA
143,>XM_019475124.1,CAALFM_C107160CA
145,>XM_019475125.1,CAALFM_C107280CA
147,>XM_019475126.1,CAALFM_C107340WA
149,>XM_019475127.1,CAALFM_C107530WA
151,>XM_019475128.1,CAALFM_C107920WA
153,>XM_019475129.1,CAALFM_C108040WA
155,>XM_019475130.1,CAALFM_C108080CA
157,>XM_019475131.1,LTP1
159,>XM_019475132.1,CAALFM_C108350CA
161,>XM_019475133.1,APS3
163,>XM_019475134.1,FAD1
165,>XM_019475135.1,CAALFM_C108710WA
167,>XM_019475136.1,CAALFM_C108830CA
169,>XM_019475137.1,CAALFM_C108930CA
171,>XM_019475138.1,IDH1
173,>XM_019475139.1,CAALFM_C109650WA
175,>XM_019475140.1,CAALFM_C109740CA
177,>XM_019475141.1,CAALFM_C109940WA
179,>XM_019475142.1,PET100
181,>XM_019475143.1,NTF2
183,>XM_019475144.1,RPL42
185,>XM_019475145.1,CAALFM_C110680CA
187,>XM_019475146.1,CAALFM_C110750CA
189,>XM_019475147.1,RPS17B
191,>XM_019475148.1,ERP5
193,>XM_019475149.1,CAALFM_C110960WA
195,>XM_019475150.1,RPL82
197,>XM_019475151.1,RPL29
199,>XM_019475152.1,CAALFM_C111050WA
201,>XM_019475153.1,RPL2
203,>XM_019475154.1,CAALFM_C111260CA
205,>XM_019475155.1,CAALFM_C111320CA
207,>XM_019475156.1,RPL37B
209,>XM_019475157.1,CAALFM_C111410CA
211,>XM_019475158.1,CTA3
213,>XM_019475159.1,CAALFM_C111570WA
215,>XM_019475160.1,CAALFM_C111680CA
217,>XM_019475161.1,CAALFM_C111960CA
219,>XM_019475162.1,CAALFM_C112150CA
221,>XM_019475163.1,SRT1
223,>XM_019475164.1,ATP19
225,>XM_019475165.1,RPL27A
227,>XM_019475166.1,CAALFM_C112480WA
229,>XM_019475167.1,DLH1
231,>XM_019475168.1,CAALFM_C112650CA
233,>XM_019475169.1,CAALFM_C112820CA
235,>XM_019475170.1,BLP1
237,>XM_019475171.1,CAALFM_C112910WA
239,>XM_019475172.1,CAALFM_C112920CA
241,>XM_019475173.1,CAALFM_C112940CA
243,>XM_019475174.1,RPL14
245,>XM_019475175.1,CAALFM_C113100WA
247,>XM_019475176.1,CAALFM_C113260WA
249,>XM_019475177.1,CAALFM_C113290WA
251,>XM_019475178.1,COX19
253,>XM_019475179.1,KEM1
255,>XM_019475180.1,ROB1
257,>XM_019475181.1,CAALFM_C113690CA
259,>XM_019475182.1,ACT1
261,>XM_019475183.1,DAD1
263,>XM_019475184.1,GND1
