,total,NM,NR,XM,XR,NM_XM,NR_XR
ain-2,7,7,0,0,0,7,0
xnp-1,1,1,0,0,0,1,0
B0205.12,1,1,0,0,0,1,0
srz-85,2,2,0,0,0,2,0
avr-14,3,3,0,0,0,3,0
gpa-14,1,1,0,0,0,1,0
B0261.8,1,1,0,0,0,1,0
vps-51,2,2,0,0,0,2,0
nhr-23,6,6,0,0,0,6,0
cel-1,2,2,0,0,0,2,0
C06A5.12,1,1,0,0,0,1,0
tol-1,1,1,0,0,0,1,0
unc-89,16,16,0,0,0,16,0
C09D4.1,2,2,0,0,0,2,0
spr-4,2,2,0,0,0,2,0
lin-10,3,3,0,0,0,3,0
lin-41,2,2,0,0,0,2,0
C17E4.11,1,1,0,0,0,1,0
pals-9,1,1,0,0,0,1,0
pals-8,1,1,0,0,0,1,0
dao-5,2,2,0,0,0,2,0
pbrm-1,2,2,0,0,0,2,0
C26C6.9,1,1,0,0,0,1,0
mbd-2,1,1,0,0,0,1,0
C31H5.7,1,1,0,0,0,1,0
unc-11,7,7,0,0,0,7,0
rpl-13,2,1,1,0,0,1,1
imp-1,3,3,0,0,0,3,0
C36B1.13,1,1,0,0,0,1,0
cye-1,2,2,0,0,0,2,0
pqn-21,4,4,0,0,0,4,0
ahr-1,2,2,0,0,0,2,0
nhr-64,3,3,0,0,0,3,0
gip-2,1,1,0,0,0,1,0
C46H11.10,2,2,0,0,0,2,0
lfe-2,5,5,0,0,0,5,0
tba-2,1,1,0,0,0,1,0
gale-1,2,2,0,0,0,2,0
smg-1,2,2,0,0,0,2,0
eya-1,2,2,0,0,0,2,0
C54C8.12,1,1,0,0,0,1,0
D1007.10,3,3,0,0,0,3,0
D1007.18,1,1,0,0,0,1,0
tmem-39,2,2,0,0,0,2,0
aex-1,2,2,0,0,0,2,0
D2030.12,1,1,0,0,0,1,0
D2030.2,2,2,0,0,0,2,0
DY3.8,1,1,0,0,0,1,0
lin-44,1,1,0,0,0,1,0
F02E9.10,3,3,0,0,0,3,0
lin-28,2,2,0,0,0,2,0
kcnl-2,10,10,0,0,0,10,0
acox-1.1,3,3,0,0,0,3,0
unc-87,2,2,0,0,0,2,0
F13G3.12,1,1,0,0,0,1,0
F13G3.7,2,2,0,0,0,2,0
hxk-1,2,2,0,0,0,2,0
F14B6.6,2,1,1,0,0,1,1
casy-1,4,4,0,0,0,4,0
glr-2,2,2,0,0,0,2,0
swp-1,5,5,0,0,0,5,0
B0361.11,1,1,0,0,0,1,0
cwf-19L2,2,2,0,0,0,2,0
psd-1,2,2,0,0,0,2,0
dac-1,2,2,0,0,0,2,0
spk-1,4,4,0,0,0,4,0
BE10.5,1,1,0,0,0,1,0
C02F5.13,1,1,0,0,0,1,0
C03C10.7,1,1,0,0,0,1,0
glam-1,1,1,0,0,0,1,0
C05D11.1,1,1,0,0,0,1,0
daf-4,5,5,0,0,0,5,0
bas-1,2,2,0,0,0,2,0
ckk-1,2,2,0,0,0,2,0
C07A9.12,1,1,0,0,0,1,0
C07A9.13,1,1,0,0,0,1,0
ugt-60,1,1,0,0,0,1,0
cpg-1,2,2,0,0,0,2,0
lin-39,1,1,0,0,0,1,0
egl-5,3,3,0,0,0,3,0
