,accession,gene
1,>XM_023605096.1,RHIMIDRAFT_10000
3,>XM_023605097.1,RHIMIDRAFT_10004
5,>XM_023605098.1,RHIMIDRAFT_100101
7,>XM_023605099.1,RHIMIDRAFT_100147
9,>XM_023605100.1,RHIMIDRAFT_100309
11,>XM_023605101.1,RHIMIDRAFT_100339
13,>XM_023605102.1,RHIMIDRAFT_100446
15,>XM_023605103.1,RHIMIDRAFT_1005
17,>XM_023605104.1,RHIMIDRAFT_100524
19,>XM_023605105.1,RHIMIDRAFT_100668
21,>XM_023605106.1,RHIMIDRAFT_100694
23,>XM_023605107.1,RHIMIDRAFT_100964
25,>XM_023605108.1,RHIMIDRAFT_101081
27,>XM_023605109.1,RHIMIDRAFT_101276
29,>XM_023605110.1,RHIMIDRAFT_101280
31,>XM_023605111.1,RHIMIDRAFT_101420
33,>XM_023605112.1,RHIMIDRAFT_101447
35,>XM_023605113.1,RHIMIDRAFT_101485
37,>XM_023605114.1,RHIMIDRAFT_101539
39,>XM_023605115.1,RHIMIDRAFT_101572
41,>XM_023605116.1,RHIMIDRAFT_101627
43,>XM_023605117.1,RHIMIDRAFT_101651
45,>XM_023605118.1,RHIMIDRAFT_101862
47,>XM_023605119.1,RHIMIDRAFT_101868
49,>XM_023605120.1,RHIMIDRAFT_101897
51,>XM_023605121.1,RHIMIDRAFT_101913
53,>XM_023605122.1,RHIMIDRAFT_101994
55,>XM_023605123.1,RHIMIDRAFT_102007
57,>XM_023605124.1,RHIMIDRAFT_102061
59,>XM_023605125.1,RHIMIDRAFT_10210
61,>XM_023605126.1,RHIMIDRAFT_102130
63,>XM_023605127.1,RHIMIDRAFT_102167
65,>XM_023605128.1,RHIMIDRAFT_102363
67,>XM_023605129.1,RHIMIDRAFT_102433
69,>XM_023605130.1,RHIMIDRAFT_102434
71,>XM_023605131.1,RHIMIDRAFT_10246
73,>XM_023605132.1,RHIMIDRAFT_102513
75,>XM_023605133.1,RHIMIDRAFT_102562
77,>XM_023605134.1,RHIMIDRAFT_102594
79,>XM_023605135.1,RHIMIDRAFT_102634
81,>XM_023605136.1,RHIMIDRAFT_102726
83,>XM_023605137.1,RHIMIDRAFT_102876
85,>XM_023605138.1,RHIMIDRAFT_102880
87,>XM_023605139.1,RHIMIDRAFT_10304
89,>XM_023605140.1,RHIMIDRAFT_103052
91,>XM_023605141.1,RHIMIDRAFT_10309
93,>XM_023605142.1,RHIMIDRAFT_103136
95,>XM_023605143.1,RHIMIDRAFT_103167
97,>XM_023605144.1,RHIMIDRAFT_103168
99,>XM_023605145.1,RHIMIDRAFT_103272
101,>XM_023605146.1,RHIMIDRAFT_103408
103,>XM_023605147.1,RHIMIDRAFT_103533
105,>XM_023605148.1,RHIMIDRAFT_103562
107,>XM_023605149.1,RHIMIDRAFT_103589
109,>XM_023605150.1,RHIMIDRAFT_103591
111,>XM_023605151.1,RHIMIDRAFT_103609
113,>XM_023605152.1,RHIMIDRAFT_103610
115,>XM_023605153.1,RHIMIDRAFT_103665
117,>XM_023605154.1,RHIMIDRAFT_103675
119,>XM_023605155.1,RHIMIDRAFT_103709
121,>XM_023605156.1,RHIMIDRAFT_103807
123,>XM_023605157.1,RHIMIDRAFT_103907
125,>XM_023605158.1,RHIMIDRAFT_104093
127,>XM_023605159.1,RHIMIDRAFT_104191
129,>XM_023605160.1,RHIMIDRAFT_104502
131,>XM_023605161.1,RHIMIDRAFT_104601
133,>XM_023605162.1,RHIMIDRAFT_104676
135,>XM_023605163.1,RHIMIDRAFT_104721
137,>XM_023605164.1,RHIMIDRAFT_104751
139,>XM_023605165.1,RHIMIDRAFT_104834
