>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_001481342.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G00350), partial mRNA
>XM_001481343.1 Aspergillus fumigatus Af293 Ham1 family pyrophosphatase, putative (AFUA_8G00595), partial mRNA
>XM_001481344.1 Aspergillus fumigatus Af293 cytochrome P450, putative (AFUA_8G00962), partial mRNA
>XM_001481345.1 Aspergillus fumigatus Af293 NRPS-like enzyme, putative (AFUA_8G01222), partial mRNA
>XM_001481346.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G01795), partial mRNA
>XM_001481347.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G01820), partial mRNA
>XM_001481348.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G01830), partial mRNA
>XM_001481349.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G02315), partial mRNA
>XM_001481350.1 Aspergillus fumigatus Af293 capsule polysaccharide synthase Cps1, putative (AFUA_8G02320), partial mRNA
>XM_001481351.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G02335), partial mRNA
>XM_001481352.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G02340), partial mRNA
>XM_001481353.1 Aspergillus fumigatus Af293 FAD-dependent monooxygenase, putative (AFUA_8G02380), partial mRNA
>XM_001481354.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G03870), partial mRNA
>XM_001481355.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G03905), partial mRNA
>XM_001481356.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_8G04702), partial mRNA
>XM_001481357.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G04826), partial mRNA
>XM_001481358.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G04830), partial mRNA
>XM_001481359.1 Aspergillus fumigatus Af293 phosphotransferase enzyme family protein (AFUA_8G05975), partial mRNA
>XM_001481360.1 Aspergillus fumigatus Af293 FluG domain protein (AFUA_8G06132), partial mRNA
>XM_001481361.1 Aspergillus fumigatus Af293 isoflavone reductase family protein (AFUA_8G06405), partial mRNA
>XM_001481362.1 Aspergillus fumigatus Af293 carbonic anhydrase family protein (AFUA_8G06550), partial mRNA
>XM_001481363.1 Aspergillus fumigatus Af293 carbonate dehydratase, putative (AFUA_8G06554), partial mRNA
>XM_001481364.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_8G06974), partial mRNA
>XM_001481365.1 Aspergillus fumigatus Af293 glycosyl hydrolase, putative (AFUA_8G06980), partial mRNA
>XM_001481366.1 Aspergillus fumigatus Af293 C6 and C2H2 transcription factor RegA-like, putative (AFUA_7G00652), partial mRNA
>XM_001481367.1 Aspergillus fumigatus Af293 acid phosphatase, putative (AFUA_7G00800), partial mRNA
>XM_001481368.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_7G00805), partial mRNA
>XM_001481369.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G01102), partial mRNA
