,accession,gene
1,>NM_001360200.1,LOC4332622
3,>NM_001360201.1,LOC111828501
5,>NM_001360630.1,LOC4324517
7,>NM_001360631.1,LOC111946217
9,>NM_001361140.1,LOC4352605
11,>NM_001361324.1,LOC4326455
13,>NM_001361325.1,LOC112163590
15,>NM_001361326.1,LOC112163591
17,>NM_001363628.1,LOC4343162
19,>NM_001363637.1,LOC9267534
21,>NM_001363638.1,LOC4349562
23,>NM_001363639.1,LOC112543456
25,>NM_001372191.1,LOC4323832
27,>NM_001372192.1,LOC4323835
29,>NM_001372193.1,LOC4323837
31,>NM_001372194.1,LOC4323839
33,>NM_001372195.1,LOC4323843
35,>NM_001372196.1,LOC4325867
37,>NM_001372197.1,LOC4326119
39,>NM_001372198.1,MFT2
41,>NM_001372199.1,LOC4326153
43,>NM_001372200.1,LOC4326159
45,>NM_001377381.1,LOC4349878
47,>NM_001377382.1,LOC116435279
49,>NM_001377457.1,LOC4347487
51,>NM_001377484.1,LOC9267955
53,>NM_001377487.1,LOC4329997
55,>NM_001377934.1,LOC4337808
57,>NM_001378308.1,LOC4332813
59,>NM_001378505.1,LOC4335531
61,>NM_001381863.1,wsl8
63,>NM_001381864.1,wsl3
65,>NM_001396860.1,LOC4324927
67,>NM_001396862.1,LOC4324934
69,>NM_001396863.1,LOC4324936
71,>NM_001396865.1,LOC4324937
73,>NM_001396869.1,LOC4324940
75,>NM_001396870.1,LOC4324962
77,>NM_001396871.1,VIPP1
79,>NM_001396872.1,LOC4324777
81,>NM_001396873.1,LOC4324777
83,>NM_001396874.1,LOC4324980
85,>NM_001396875.1,LOC4324983
87,>NM_001397180.1,LOC4325939
89,>NM_001397187.1,LOC4325962
91,>NM_001397719.1,LOC4325486
93,>NM_001397720.1,LOC4325496
95,>NM_001397721.1,LOC4325497
97,>NM_001397722.1,LOC4325503
99,>NM_001397723.1,LOC4325511
101,>NM_001397724.1,IRX9L
103,>NM_001397725.1,LOC4325515
105,>NM_001397726.1,LOC4325534
107,>NM_001397727.1,LOC4325542
109,>NM_001397728.1,LOC4325556
111,>NM_001397731.1,LOC4325560
113,>NM_001397732.1,LOC4325560
115,>NM_001397734.1,LOC4325565
117,>NM_001397941.1,LOC4326346
119,>NM_001397942.1,LOC4326351
121,>NM_001397943.1,LOC4326177
123,>NM_001397944.1,LOC4326360
125,>NM_001397945.1,LOC4326363
127,>NM_001397946.1,LOC4326365
129,>NM_001397947.1,LOC4326378
131,>NM_001397948.1,LOC4326190
133,>NM_001397949.1,LOC4326394
135,>NM_001397950.1,RTFL3
137,>NM_001397951.1,LOC4326409
139,>NM_001397952.1,LOC4326419
141,>NM_001397953.1,CSB
143,>NM_001397954.1,LOC4326442
145,>NM_001397996.1,LOC4326449
147,>NM_001397998.1,LOC4326459
149,>NM_001397999.1,LOC4326471
151,>NM_001398000.1,LOC4326479
153,>NM_001398015.1,ACA1
