>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_001388419.3 Aspergillus niger uncharacterized protein (An01g00040), partial mRNA
>XM_001388420.3 Aspergillus niger uncharacterized protein (An01g00050), partial mRNA
>XM_001388421.3 Aspergillus niger uncharacterized protein (An01g00060), partial mRNA
>XM_001388422.3 Aspergillus niger uncharacterized protein (An01g00080), partial mRNA
>XM_001388424.1 Aspergillus niger uncharacterized protein (An01g00090), partial mRNA
>XM_001388425.3 Aspergillus niger uncharacterized protein (An01g00100), partial mRNA
>XM_001388427.3 Aspergillus niger uncharacterized protein (An01g00120), partial mRNA
>XM_001388428.1 Aspergillus niger uncharacterized protein (An01g00130), partial mRNA
>XM_001388429.3 Aspergillus niger uncharacterized protein (An01g00140), partial mRNA
>XM_001388430.3 Aspergillus niger uncharacterized protein (An01g00150), partial mRNA
>XM_001388432.3 Aspergillus niger uncharacterized protein (An01g00170), partial mRNA
>XM_001388435.3 Aspergillus niger uncharacterized protein (An01g00210), partial mRNA
>XM_001388436.3 Aspergillus niger uncharacterized protein (An01g00220), partial mRNA
>XM_001388441.1 Aspergillus niger uncharacterized protein (An01g00280), partial mRNA
>XM_001388444.1 Aspergillus niger uncharacterized protein (An01g00320), partial mRNA
>XM_001388445.1 Aspergillus niger alpha-l-arabinofuranosidase a precursor abfA-Aspergillus niger (abfA), partial mRNA
>XM_001388446.1 Aspergillus niger uncharacterized protein (An01g00340), partial mRNA
>XM_001388448.3 Aspergillus niger uncharacterized protein (An01g00370), partial mRNA
>XM_001388449.1 Aspergillus niger uncharacterized protein (An01g00380), partial mRNA
>XM_001388450.3 Aspergillus niger hypothetical protein (An01g00390), partial mRNA
>XM_001388451.1 Aspergillus niger uncharacterized protein (An01g00400), partial mRNA
>XM_001388454.3 Aspergillus niger uncharacterized protein (An01g00450), partial mRNA
>XM_001388455.3 Aspergillus niger hypothetical protein (An01g00460), partial mRNA
>XM_001388457.1 Aspergillus niger uncharacterized protein (An01g00480), partial mRNA
>XM_001388462.3 Aspergillus niger proteinase aspergillopepsin II-Aspergillus niger (proctase-A), partial mRNA
>XM_001388464.1 Aspergillus niger uncharacterized protein (An01g00550), partial mRNA
>XM_001388465.3 Aspergillus niger uncharacterized protein (An01g00560), partial mRNA
>XM_001388466.1 Aspergillus niger uncharacterized protein (An01g00570), partial mRNA
>XM_001388468.3 Aspergillus niger uncharacterized protein (An01g00610), partial mRNA
>XM_001388471.3 Aspergillus niger uncharacterized protein (An01g00640), partial mRNA
>XM_001388475.1 Aspergillus niger uncharacterized protein (An01g00680), partial mRNA
>XM_001388476.1 Aspergillus niger uncharacterized protein (An01g00690), partial mRNA
>XM_001388478.1 Aspergillus niger uncharacterized protein (An01g00710), partial mRNA
>XM_001388479.1 Aspergillus niger uncharacterized protein (An01g00720), partial mRNA
>XM_001388482.3 Aspergillus niger hypothetical protein (An01g00750), partial mRNA
>XM_001388484.1 Aspergillus niger uncharacterized protein (An01g00770), partial mRNA
>XM_001388485.3 Aspergillus niger endo-1,4-xylanase xynB-Aspergillus niger (xynB), partial mRNA
>XM_001388487.1 Aspergillus niger uncharacterized protein (An01g00800), partial mRNA
>XM_001388494.1 Aspergillus niger uncharacterized protein (An01g00870), partial mRNA
>XM_001388495.1 Aspergillus niger uncharacterized protein (An01g00880), partial mRNA
>XM_001388496.1 Aspergillus niger uncharacterized protein (An01g00890), partial mRNA
>XM_001388500.1 Aspergillus niger uncharacterized protein (An01g00930), partial mRNA
>XM_001388501.3 Aspergillus niger uncharacterized protein (An01g00940), partial mRNA
>XM_001388502.3 Aspergillus niger uncharacterized protein (An01g00950), partial mRNA
>XM_001388503.1 Aspergillus niger uncharacterized protein (An01g00960), partial mRNA
>XM_001388507.1 Aspergillus niger uncharacterized protein (An01g01010), partial mRNA
>XM_001388509.1 Aspergillus niger uncharacterized protein (An01g01030), partial mRNA
>XM_001388511.1 Aspergillus niger uncharacterized protein (An01g01050), partial mRNA
>XM_001388512.3 Aspergillus niger uncharacterized protein (An01g01060), partial mRNA
>XM_001388514.1 Aspergillus niger uncharacterized protein (An01g01080), partial mRNA
>XM_001388515.3 Aspergillus niger uncharacterized protein (An01g01090), partial mRNA
>XM_001388518.3 Aspergillus niger uncharacterized protein (An01g01130), partial mRNA
>XM_001388519.1 Aspergillus niger uncharacterized protein (An01g01140), partial mRNA
>XM_001388520.3 Aspergillus niger uncharacterized protein (An01g01150), partial mRNA
>XM_001388521.3 Aspergillus niger uncharacterized protein (An01g01160), partial mRNA
>XM_001388522.1 Aspergillus niger uncharacterized protein (An01g01170), partial mRNA
>XM_001388524.1 Aspergillus niger uncharacterized protein (An01g01190), partial mRNA
>XM_001388527.1 Aspergillus niger uncharacterized protein (An01g01230), partial mRNA
>XM_001388529.1 Aspergillus niger uncharacterized protein (An01g01260), partial mRNA
>XM_001388531.1 Aspergillus niger uncharacterized protein (An01g01280), partial mRNA
>XM_001388537.1 Aspergillus niger uncharacterized protein (An01g01340), partial mRNA
>XM_001388538.1 Aspergillus niger uncharacterized protein (An01g01350), partial mRNA
>XM_001388539.1 Aspergillus niger uncharacterized protein (An01g01360), partial mRNA
>XM_001388541.1 Aspergillus niger uncharacterized protein (An01g01380), partial mRNA
>XM_001388542.1 Aspergillus niger uncharacterized protein (An01g01390), partial mRNA
>XM_001388543.1 Aspergillus niger uncharacterized protein (An01g01400), partial mRNA
>XM_001388546.3 Aspergillus niger uncharacterized protein (An01g01430), partial mRNA
>XM_001388551.1 Aspergillus niger hypothetical protein (An01g01475), partial mRNA
>XM_001388553.1 Aspergillus niger uncharacterized protein (An01g01490), partial mRNA
>XM_001388554.1 Aspergillus niger uncharacterized protein (An01g01500), partial mRNA
>XM_001388555.1 Aspergillus niger uncharacterized protein (An01g01520), partial mRNA
>XM_001388556.1 Aspergillus niger uncharacterized protein (An01g01530), partial mRNA
>XM_001388557.3 Aspergillus niger uncharacterized protein (An01g01540), partial mRNA
>XM_001388558.3 Aspergillus niger uncharacterized protein (An01g01550), partial mRNA
>XM_001388559.3 Aspergillus niger uncharacterized protein (An01g01560), partial mRNA
>XM_001388560.1 Aspergillus niger uncharacterized protein (An01g01580), partial mRNA
>XM_001388564.1 Aspergillus niger uncharacterized protein (An01g01620), partial mRNA
>XM_001388566.3 Aspergillus niger uncharacterized protein (An01g01640), partial mRNA
>XM_001388577.3 Aspergillus niger uncharacterized protein (An01g01750), partial mRNA
>XM_001388580.1 Aspergillus niger uncharacterized protein (An01g01780), partial mRNA
>XM_001388583.3 Aspergillus niger uncharacterized protein (An01g01810), partial mRNA
>XM_001388584.3 Aspergillus niger catalase R catR-Aspergillus niger (catR), partial mRNA
>XM_001388585.3 Aspergillus niger uncharacterized protein (An01g01830), partial mRNA
>XM_001388586.1 Aspergillus niger uncharacterized protein (An01g01840), partial mRNA
>XM_001388590.1 Aspergillus niger uncharacterized protein (An01g01880), partial mRNA
>XM_001388592.1 Aspergillus niger uncharacterized protein (An01g01900), partial mRNA
>XM_001388593.1 Aspergillus niger uncharacterized protein (An01g01920), partial mRNA
>XM_001388595.3 Aspergillus niger uncharacterized protein (An01g01940), partial mRNA
>XM_001388596.1 Aspergillus niger uncharacterized protein (An01g01950), partial mRNA
>XM_001388597.3 Aspergillus niger uncharacterized protein (An01g01960), partial mRNA
>XM_001388603.1 Aspergillus niger uncharacterized protein (An01g02020), partial mRNA
>XM_001388606.3 Aspergillus niger uncharacterized protein (An01g02050), partial mRNA
>XM_001388608.1 Aspergillus niger uncharacterized protein (An01g02070), partial mRNA
>XM_001388611.3 Aspergillus niger uncharacterized protein (An01g02100), partial mRNA
>XM_001388612.3 Aspergillus niger uncharacterized protein (An01g02110), partial mRNA
