,accession,gene
1,>NM_001178148.1,TFC3
3,>NM_001178149.1,VPS8
5,>NM_001178150.1,EFB1
7,>NM_001178151.1,SSA1
9,>NM_001178152.1,ERP2
11,>NM_001178153.1,FUN14
13,>NM_001178154.1,SPO7
15,>NM_001178155.2,MDM10
17,>NM_001178156.1,SWC3
19,>NM_001178157.1,CYS3
21,>NM_001178158.2,DEP1
23,>NM_001178159.1,SYN8
25,>NM_001178160.1,NTG1
27,>NM_001178161.1,TPD3
29,>NM_001178162.2,PSK1
31,>NM_001178163.1,LDS1
33,>NM_001178164.1,FUN30
35,>NM_001178165.2,ATS1
37,>NM_001178166.1,CCR4
39,>NM_001178167.1,FUN26
41,>NM_001178168.1,PMT2
43,>NM_001178169.1,LTE1
45,>NM_001178170.2,MAK16
47,>NM_001178171.2,DRS2
49,>NM_001178172.1,SAW1
51,>NM_001178173.1,FRT2
53,>NM_001178174.1,MYO4
55,>NM_001178175.1,SNC1
57,>NM_001178176.1,GIP4
59,>NM_001178177.1,PRP45
61,>NM_001178178.1,POP5
63,>NM_001178179.1,MTW1
65,>NM_001178180.1,FUN12
67,>NM_001178181.1,RBG1
69,>NM_001178182.1,YAL037W
71,>NM_001178183.1,CDC19
73,>NM_001178184.1,CYC3
75,>NM_001178185.1,CLN3
77,>NM_001178186.1,CDC24
79,>NM_001178187.1,ERV46
81,>NM_001178188.1,PTA1
83,>NM_001178189.1,GCV3
85,>NM_001178191.1,BOL3
87,>NM_001178192.2,SPC72
89,>NM_001178193.1,GEM1
91,>NM_001178194.1,AIM2
93,>NM_001178195.2,OAF1
95,>NM_001178196.2,FLC2
97,>NM_001178197.1,ACS1
99,>NM_001178198.1,PEX22
101,>NM_001178199.2,GPB2
103,>NM_001178200.1,CNE1
105,>NM_001178201.2,ECM1
107,>NM_001178202.2,BDH1
109,>NM_001178203.1,BDH2
111,>NM_001178204.1,GDH3
113,>NM_001178205.1,FLO9
115,>NM_001178206.2,YAL064W
117,>NM_001178208.1,SEO1
119,>NM_001178209.1,NUP60
121,>NM_001178210.1,SWD1
123,>NM_001178211.1,RFA1
125,>NM_001178212.1,SEN34
127,>NM_001178213.1,YAR009C
129,>NM_001178214.1,YAR010C
131,>NM_001178215.2,BUD14
133,>NM_001178216.1,ADE1
135,>NM_001178217.1,KIN3
137,>NM_001178218.2,CDC15
139,>NM_001178219.1,PAU7
141,>NM_001178220.2,DFP1
143,>NM_001178221.1,UIP3
145,>NM_001178222.1,KTD1
147,>NM_001178223.1,DFP2
149,>NM_001178224.1,PRM9
151,>NM_001178225.1,MST28
153,>NM_001178226.1,YAT1
155,>NM_001178227.1,SWH1
157,>NM_001178230.1,FLO1
159,>NM_001178235.1,YAR064W
161,>NM_001178236.1,YAR068W
163,>NM_001178239.1,PHO11
165,>NM_001178241.1,ECM15
167,>NM_001178242.1,HTB2
169,>NM_001178243.1,HTA2
171,>NM_001178244.1,UTP20
173,>NM_001178245.1,PDR3
175,>NM_001178246.1,LDB7
177,>NM_001178247.1,SLA1
179,>NM_001178248.2,HIR1
181,>NM_001178249.1,ALK2
183,>NM_001178250.1,LAA2
185,>NM_001178251.1,SCT1
187,>NM_001178253.1,FMT1
189,>NM_001178254.2,RRN6
191,>NM_001178255.1,ACH1
193,>NM_001178256.1,FUS3
195,>NM_001178257.1,PEP1
197,>NM_001178258.1,POP8
199,>NM_001178259.1,APN2
201,>NM_001178260.1,RFT1
203,>NM_001178261.1,HAP3
205,>NM_001178262.1,PIM1
207,>NM_001178263.1,MCM2
209,>NM_001178264.1,NCL1
211,>NM_001178265.1,RRN10
213,>NM_001178266.1,LSM2
215,>NM_001178267.1,RPL19B
217,>NM_001178268.1,YBL028C
219,>NM_001178269.1,YBL029W
221,>NM_001178270.1,PET9
223,>NM_001178271.1,SHE1
225,>NM_001178272.1,HEK2
227,>NM_001178273.1,RIB1
229,>NM_001178274.1,STU1
231,>NM_001178275.1,POL12
233,>NM_001178276.1,YBL036C
235,>NM_001178277.1,APL3
237,>NM_001178278.1,MRPL16
239,>NM_001178279.1,URA7
241,>NM_001178280.1,ERD2
243,>NM_001178281.1,PRE7
245,>NM_001178282.1,FUI1
247,>NM_001178283.1,ECM13
249,>NM_001178284.1,YBL044W
251,>NM_001178285.1,COR1
253,>NM_001178286.1,PSY4
255,>NM_001178287.1,EDE1
257,>NM_001178289.1,MOH1
259,>NM_001178290.1,SEC17
261,>NM_001178291.1,PIN4
263,>NM_001178292.1,SAS3
265,>NM_001178294.1,TOD6
267,>NM_001178295.1,YBL055C
269,>NM_001178296.2,PTC3
271,>NM_001178297.2,PTH2
273,>NM_001178298.1,SHP1
275,>NM_001178299.1,IAI11
277,>NM_001178300.1,YEL1
279,>NM_001178301.1,SKT5
281,>NM_001178303.1,KIP1
283,>NM_001178304.1,PRX1
285,>NM_001178306.1,SEF1
287,>NM_001178307.2,UBP13
289,>NM_001178308.2,PRS4
291,>NM_001178309.1,AST1
293,>NM_001178312.1,RPS8A
295,>NM_001178314.1,AAR2
297,>NM_001178315.1,SSA3
299,>NM_001178316.1,ILS1
301,>NM_001178318.1,ATG8
303,>NM_001178319.1,NUP170
305,>NM_001178320.2,PET112
307,>NM_001178321.1,YBL081W
309,>NM_001178322.1,ALG3
311,>NM_001178324.2,CDC27
313,>NM_001178325.1,BOI1
315,>NM_001178326.1,YBL086C
317,>NM_001178327.1,RPL23A
319,>NM_001178328.2,TEL1
321,>NM_001178329.1,AVT5
323,>NM_001178330.1,MRP21
325,>NM_001178331.2,MAP2
327,>NM_001178332.1,RPL32
329,>NM_001178333.1,ROX3
331,>NM_001178335.1,MRX3
333,>NM_001178337.2,BRN1
335,>NM_001178338.1,BNA4
337,>NM_001178339.2,ATP1
339,>NM_001178341.1,ECM21
341,>NM_001178342.1,SFT2
343,>NM_001178343.1,RTG3
345,>NM_001178344.1,SEA4
347,>NM_001178345.2,PKC1
349,>NM_001178346.2,SRO77
351,>NM_001178347.1,MIX23
353,>NM_001178349.1,NTH2
355,>NM_001178350.1,RER2
357,>NM_001178351.1,COQ1
359,>NM_001178352.2,GPI18
361,>NM_001178353.1,RCR1
363,>NM_001178354.1,UGA2
365,>NM_001178355.2,DSF2
367,>NM_001178356.1,FLR1
