,total,NM,NR,XM,XR,NM_XM,NR_XR
EDNRB,1,1,0,0,0,1,0
CYP26A1,3,1,0,2,0,3,0
GHRL,1,1,0,0,0,1,0
CFDP1,1,1,0,0,0,1,0
ST3GAL5,26,1,0,25,0,26,0
AvBD6,1,1,0,0,0,1,0
AvBD7,1,1,0,0,0,1,0
KRT5,1,1,0,0,0,1,0
HSD11B1L,21,5,0,14,2,19,2
EREG,1,1,0,0,0,1,0
ADCYAP1,1,1,0,0,0,1,0
EGF,4,1,0,2,1,3,1
GHR,6,2,0,4,0,6,0
IGFBP1,2,2,0,0,0,2,0
IFI6,1,1,0,0,0,1,0
PAH,1,1,0,0,0,1,0
BVES,1,1,0,0,0,1,0
TOP1MT,3,1,0,2,0,3,0
TPH2,4,1,0,3,0,4,0
MYH7,2,1,0,1,0,2,0
POLH,1,1,0,0,0,1,0
SRSF2,1,1,0,0,0,1,0
LOC408038,1,1,0,0,0,1,0
KRT14,1,1,0,0,0,1,0
KRT13,1,1,0,0,0,1,0
KRT6A,1,1,0,0,0,1,0
KRT75,1,1,0,0,0,1,0
TMSB4X,2,1,0,1,0,2,0
CTDSPL,9,1,0,8,0,9,0
VKORC1L1,1,1,0,0,0,1,0
TEAD4,6,6,0,0,0,6,0
PPARG,3,2,0,1,0,3,0
MSTN,1,1,0,0,0,1,0
SDC2,1,1,0,0,0,1,0
ARNTL,16,4,0,12,0,16,0
PPARA,51,1,0,50,0,51,0
BMPR2,2,1,0,1,0,2,0
RTN1,4,1,0,3,0,4,0
TOB1,2,1,0,1,0,2,0
IFRD1,2,1,0,1,0,2,0
GART,16,8,0,8,0,16,0
LYG2,2,1,0,1,0,2,0
NFKBIA,1,1,0,0,0,1,0
AMY2A,3,1,0,2,0,3,0
HSPB2,1,1,0,0,0,1,0
AMY1A,4,2,0,2,0,4,0
P3H1,1,1,0,0,0,1,0
P3H2,4,2,0,2,0,4,0
FUS,1,1,0,0,0,1,0
ST8SIA2,2,1,0,1,0,2,0
CATH1,1,1,0,0,0,1,0
LEAP2,1,1,0,0,0,1,0
AvBD5,1,1,0,0,0,1,0
AvBD10,1,1,0,0,0,1,0
AvBD4,1,1,0,0,0,1,0
AvBD9,1,1,0,0,0,1,0
CD74,2,1,0,1,0,2,0
TGFA,1,1,0,0,0,1,0
CDH2,2,1,0,1,0,2,0
CYP2C23a,1,1,0,0,0,1,0
CACNB4,13,3,1,8,1,11,2
CCK,2,1,0,1,0,2,0
CCKBR,1,1,0,0,0,1,0
FGF13,7,1,0,6,0,7,0
IRX4,3,1,0,2,0,3,0
VSIG1,3,1,0,2,0,3,0
ST8SIA3,1,1,0,0,0,1,0
ST8SIA5,11,2,0,9,0,11,0
CYB5A,1,1,0,0,0,1,0
LAMP2,4,4,0,0,0,4,0
B2M,1,1,0,0,0,1,0
CYP3A5,1,1,0,0,0,1,0
CYP2C18,1,1,0,0,0,1,0
CYP7A1,1,1,0,0,0,1,0
LOC414835,5,1,0,4,0,5,0
CYP11A1,1,1,0,0,0,1,0
CYP2C23b,1,1,0,0,0,1,0
CDH6,12,3,0,9,0,12,0
CDHR1,5,1,0,4,0,5,0
CDH13,7,2,0,5,0,7,0
CYP19A1,3,2,0,1,0,3,0
SLC5A7,4,1,0,3,0,4,0
PDLIM3,3,1,0,2,0,3,0
UBA5,2,1,0,1,0,2,0
LIMS1,19,11,0,7,1,18,1
RNF114,1,1,0,0,0,1,0
SLC24A2,15,5,0,10,0,15,0
SLC24A1,1,1,0,0,0,1,0
GRIA1,4,1,0,1,2,2,2
GRIA2,7,2,0,3,2,5,2
GSTA2,4,3,0,1,0,4,0
GSTA3,1,1,0,0,0,1,0
CMTM3,1,1,0,0,0,1,0
AvBD11,1,1,0,0,0,1,0
AvBD13,1,1,0,0,0,1,0
AvBD8,1,1,0,0,0,1,0
MPL,9,1,0,8,0,9,0
RPS13,1,1,0,0,0,1,0
THPO,7,1,0,6,0,7,0
XYLT2,2,1,0,1,0,2,0
STMN1,4,1,0,3,0,4,0
CYP4V2,1,1,0,0,0,1,0
TCP11X2,6,1,0,5,0,6,0
GGNBP2,7,1,0,6,0,7,0
CYP17A1,1,1,0,0,0,1,0
CSNK2A1,3,1,0,2,0,3,0
IFI27L2,8,4,0,4,0,8,0
TENM2,24,2,0,22,0,24,0
GATA2,7,5,0,2,0,7,0
KDR,1,1,0,0,0,1,0
CCNB1,2,1,0,1,0,2,0
RHCG,1,1,0,0,0,1,0
CDH11,7,1,0,6,0,7,0
GCSH,1,1,0,0,0,1,0
PNAT3,7,1,0,6,0,7,0
HBZ,1,1,0,0,0,1,0
HBAD,1,1,0,0,0,1,0
HBA1,1,1,0,0,0,1,0
RACK1,1,1,0,0,0,1,0
RPL7A,1,1,0,0,0,1,0
CAPZA2,1,1,0,0,0,1,0
CNTN1,1,1,0,0,0,1,0
EPYC,2,1,0,1,0,2,0
LARGE1,6,1,0,5,0,6,0
IGF1,1,1,0,0,0,1,0
SOX5,26,4,0,22,0,26,0
ZYX,6,1,0,5,0,6,0
EPHB6,6,4,0,2,0,6,0
CD47,6,1,0,4,1,5,1
CCT8,2,1,0,1,0,2,0
HBBR,1,1,0,0,0,1,0
CDH4,2,1,0,1,0,2,0
COL20A1,2,1,0,1,0,2,0
STMN3,3,1,0,2,0,3,0
CNTN2,1,1,0,0,0,1,0
RNF113B,1,1,0,0,0,1,0
SF3A2,3,1,0,2,0,3,0
AMPH,2,1,0,1,0,2,0
LY86,1,1,0,0,0,1,0
TUBB2B,1,1,0,0,0,1,0
PPAT,3,2,0,1,0,3,0
WDR1,2,1,0,1,0,2,0
SLBP,1,1,0,0,0,1,0
LARGE2,9,1,0,8,0,9,0
CAPN3,3,1,0,2,0,3,0
CFL2,3,1,0,2,0,3,0
GYPC,2,1,1,0,0,1,1
VTG1,1,1,0,0,0,1,0
TRPC1,5,1,0,3,1,4,1
PIK3CA,5,1,0,4,0,5,0
SERPINI1,5,1,0,4,0,5,0
MME,5,5,0,0,0,5,0
NCSTN,1,1,0,0,0,1,0
IL10,1,1,0,0,0,1,0
TACC3,3,1,0,2,0,3,0
NFASC,31,7,0,23,1,30,1
AQP4,3,3,0,0,0,3,0
FUT8,29,17,0,12,0,29,0
SIRT1,7,1,0,5,1,6,1
BTC,4,2,0,2,0,4,0
PDLIM7,46,4,0,41,1,45,1
EVC,3,1,0,2,0,3,0
MEOX2,1,1,0,0,0,1,0
FKBP5,6,1,0,5,0,6,0
CYP8B1,1,1,0,0,0,1,0
PROX1,3,1,0,2,0,3,0
PLOD1,1,1,0,0,0,1,0
AVEN,2,2,0,0,0,2,0
SSRP1,6,1,0,5,0,6,0
SNTB1,1,1,0,0,0,1,0
CSNK1G1,31,1,0,30,0,31,0
SEC11A,2,1,0,1,0,2,0
WDR61,1,1,0,0,0,1,0
IDH3A,2,1,0,1,0,2,0
FAM214A,5,3,0,2,0,5,0
TMOD3,5,1,0,1,3,2,3
GABPB1,6,2,0,4,0,6,0
TMC3,2,1,0,1,0,2,0
MRPS11,2,1,0,1,0,2,0
LRRC28,11,1,0,10,0,11,0
SNRPA1,1,1,0,0,0,1,0
VWA9,6,1,0,5,0,6,0
RAB11A,1,1,0,0,0,1,0
MAP2K1,2,1,0,1,0,2,0
PRMT7,5,1,0,4,0,5,0
CFAP20,2,1,0,1,0,2,0
CIAPIN1,4,1,0,3,0,4,0
E2F4,1,1,0,0,0,1,0
AARS1,3,1,0,2,0,3,0
HSDL1,2,1,0,1,0,2,0
AKTIP,9,1,0,8,0,9,0
BRD7,2,1,0,1,0,2,0
ITFG1,7,1,0,6,0,7,0
DNAJA2,1,1,0,0,0,1,0
VPS35,1,1,0,0,0,1,0
UQCRFS1,1,1,0,0,0,1,0
HES4,2,2,0,0,0,2,0
GPI,1,1,0,0,0,1,0
NAE1,4,1,0,3,0,4,0
USP10,1,1,0,0,0,1,0
DHODH,1,1,0,0,0,1,0
AP1G1,5,1,0,4,0,5,0
PRKCD,18,1,0,17,0,18,0
USP4,2,1,0,0,1,1,1
WDR82,1,1,0,0,0,1,0
ACAD9,5,1,0,4,0,5,0
HMCES,2,1,0,1,0,2,0
RUVBL1,2,1,0,1,0,2,0
MCM2,1,1,0,0,0,1,0
SUCLG2,1,1,0,0,0,1,0
PPP4R2,3,1,0,2,0,3,0
EDEM1,2,1,0,0,1,1,1
IK,1,1,0,0,0,1,0
SLU7,4,1,0,3,0,4,0
HSPA9,1,1,0,0,0,1,0
BRD8,2,1,0,1,0,2,0
TIMD4,6,4,0,2,0,6,0
G3BP1,2,1,0,1,0,2,0
RBM22,1,1,0,0,0,1,0
PPP2CA,1,1,0,0,0,1,0
SKP1,4,1,0,3,0,4,0
C5orf15,1,1,0,0,0,1,0
P4HA2,14,1,0,13,0,14,0
GNPDA1,1,1,0,0,0,1,0
CCZ1,7,5,0,2,0,7,0
GET4,2,1,0,1,0,2,0
NUDT1,1,1,0,0,0,1,0
CARD11,4,1,0,3,0,4,0
WIPI2,2,1,0,1,0,2,0
COPS3,3,1,0,2,0,3,0
PEMT,5,1,0,4,0,5,0
PRPSAP2,4,1,0,3,0,4,0
TBL3,3,2,0,1,0,3,0
LCMT1,1,1,0,0,0,1,0
NDE1,6,1,0,5,0,6,0
FOPNL,3,1,0,2,0,3,0
ARL6IP1,1,1,0,0,0,1,0
METTL9,2,1,0,1,0,2,0
RMI2,9,1,0,1,7,2,7
TRAP1,1,1,0,0,0,1,0
CORO7,1,1,0,0,0,1,0
APMAP,2,1,0,1,0,2,0
SNX5,1,1,0,0,0,1,0
SEC23B,4,1,0,3,0,4,0
UBE2L3,1,1,0,0,0,1,0
TOP3B,4,1,0,3,0,4,0
SEPTIN2L,4,1,0,3,0,4,0
RANBP1,5,5,0,0,0,5,0
AACS,1,1,0,0,0,1,0
DDX55,1,1,0,0,0,1,0
TMED2,3,3,0,0,0,3,0
ANAPC5,1,1,0,0,0,1,0
RNF34,4,4,0,0,0,4,0
PSMD9,2,2,0,0,0,2,0
PPP1CC,1,1,0,0,0,1,0
TRAFD1,2,1,0,1,0,2,0
XBP1,1,1,0,0,0,1,0
ACADS,3,2,1,0,0,2,1
COQ5,4,1,0,3,0,4,0
THOC5,2,1,0,1,0,2,0
TRIM39.2,1,1,0,0,0,1,0
PMPCA,2,1,0,1,0,2,0
WDR5B,2,1,0,1,0,2,0
FUBP3,14,1,0,13,0,14,0
SH3GLB2,9,1,0,8,0,9,0
CDK9,2,1,0,1,0,2,0
NELFB,1,1,0,0,0,1,0
EDF1,1,1,0,0,0,1,0
SRP68,1,1,0,0,0,1,0
ACOX1,4,1,0,3,0,4,0
GPS1,4,1,0,3,0,4,0
UTP6,1,1,0,0,0,1,0
RHOT1,9,3,0,6,0,9,0
KPNA2,3,1,0,2,0,3,0
NOL11,1,1,0,0,0,1,0
SBDS,1,1,0,0,0,1,0
RCC1L,1,1,0,0,0,1,0
PRKRIP1,1,1,0,0,0,1,0
LIG3,4,1,0,3,0,4,0
CCT6A,1,1,0,0,0,1,0
PHKG1,2,1,0,1,0,2,0
CHCHD2,2,1,0,1,0,2,0
YWHAE,2,1,0,1,0,2,0
MYO1C,15,1,0,14,0,15,0
RPA1,1,1,0,0,0,1,0
GOSR1,2,1,0,1,0,2,0
ALDH3A2,8,1,0,7,0,8,0
TRIM37,5,1,0,4,0,5,0
PSMC2,1,1,0,0,0,1,0
PHTF2,6,1,0,5,0,6,0
MAPK11,3,1,0,2,0,3,0
TFEC,1,1,0,0,0,1,0
THAP5,1,1,0,0,0,1,0
RPAP3,7,1,0,6,0,7,0
POC1B,2,1,0,1,0,2,0
METAP2,3,1,0,2,0,3,0
TMPO,11,1,0,10,0,11,0
SLC25A3,2,1,0,1,0,2,0
RANGAP1,4,1,0,3,0,4,0
L3MBTL2,2,1,0,1,0,2,0
RPS19BP1,1,1,0,0,0,1,0
TAB1,1,1,0,0,0,1,0
RPL3,1,1,0,0,0,1,0
DNAL4,9,1,0,8,0,9,0
MCM5,1,1,0,0,0,1,0
TMEM263,3,1,0,2,0,3,0
WASHC1,8,1,0,7,0,8,0
ATP6V1E1,2,2,0,0,0,2,0
STRAP,1,1,0,0,0,1,0
DERA,10,6,0,4,0,10,0
PHC1,5,1,0,4,0,5,0
FKBP4,1,1,0,0,0,1,0
ING4,4,1,0,2,1,3,1
TAF13,1,1,0,0,0,1,0
PCNP,2,1,0,1,0,2,0
NFKBIZ,4,1,0,3,0,4,0
HJURP,2,1,0,1,0,2,0
SAMSN1,4,1,0,3,0,4,0
JAM2,6,2,0,4,0,6,0
C21orf59,1,1,0,0,0,1,0
PDK3,3,1,0,2,0,3,0
EIF2S3,1,1,0,0,0,1,0
AP1S2,15,1,0,11,3,12,3
ASB9,7,6,0,1,0,7,0
TRAPPC2,2,1,0,1,0,2,0
PRPS2,4,1,0,3,0,4,0
CDC16,2,1,0,1,0,2,0
PCID2,1,1,0,0,0,1,0
ARGLU1,1,1,0,0,0,1,0
UBAC2,5,1,0,3,1,4,1
ELF1,50,1,0,49,0,50,0
GPALPP1,1,1,0,0,0,1,0
SUCLA2,1,1,0,0,0,1,0
CAB39L,8,1,0,7,0,8,0
SPRYD7,1,1,0,0,0,1,0
CKAP2,1,1,0,0,0,1,0
SUPT20H,23,1,0,21,1,22,1
RFC3,3,1,0,2,0,3,0
EEF1AKMT1,5,1,0,4,0,5,0
MMP7,1,1,0,0,0,1,0
TMEM123,1,1,0,0,0,1,0
MED17,1,1,0,0,0,1,0
NDUFA9,1,1,0,0,0,1,0
POLD3,3,1,0,2,0,3,0
UQCC1,2,1,0,1,0,2,0
CHMP4B,2,1,0,1,0,2,0
IFT52,3,3,0,0,0,3,0
RPN2,2,1,0,1,0,2,0
YWHAB,3,1,0,2,0,3,0
ADA,1,1,0,0,0,1,0
SERINC3,1,1,0,0,0,1,0
SLC17A9,1,1,0,0,0,1,0
DDX27,2,1,0,1,0,2,0
NELFCD,2,1,0,1,0,2,0
STX16,3,1,0,2,0,3,0
VAPB,6,1,0,0,5,1,5
RTFDC1,2,2,0,0,0,2,0
ICMT,2,1,0,1,0,2,0
WRAP73,5,1,0,4,0,5,0
RER1,7,1,0,6,0,7,0
MIB2,2,1,0,1,0,2,0
PGD,1,1,0,0,0,1,0
PQLC2,2,1,0,1,0,2,0
NFU1,4,1,0,3,0,4,0
CHMP7,3,1,0,0,2,1,2
ZNF593,1,1,0,0,0,1,0
SNRNP40,1,1,0,0,0,1,0
HNRNPR,5,4,0,1,0,5,0
ZDHHC18,7,1,0,5,1,6,1
NUDC,2,1,0,1,0,2,0
ADPRHL2,2,1,0,1,0,2,0
TMEM39B,5,1,0,4,0,5,0
PNRC2,3,2,0,1,0,3,0
EI24,2,1,0,1,0,2,0
APLP2,8,1,0,7,0,8,0
RBM7,2,1,0,1,0,2,0
TRAPPC4,1,1,0,0,0,1,0
SDHD,2,1,0,1,0,2,0
EIF2D,1,1,0,0,0,1,0
SLC16A1,3,1,0,2,0,3,0
SIKE1,1,1,0,0,0,1,0
NFYA,32,4,0,28,0,32,0
