,total,NM,NR,XM,XR,NM_XM,NR_XR
sem1.S,1,1,0,0,0,1,0
selenoi.L,1,1,0,0,0,1,0
bdnf.S,2,1,0,1,0,2,0
dmrt1.S,1,1,0,0,0,1,0
por.L,1,1,0,0,0,1,0
slc5a11.L,2,1,0,1,0,2,0
foxd3.L,1,1,0,0,0,1,0
XB980013.L,1,1,0,0,0,1,0
tbxt.2.S,1,1,0,0,0,1,0
met.L,3,1,0,2,0,3,0
crb2.S,4,1,0,3,0,4,0
zbtb7b.S,2,1,0,1,0,2,0
snap23.L,2,1,0,1,0,2,0
nodal6.L,1,1,0,0,0,1,0
casp8.L,1,1,0,0,0,1,0
casp9.S,1,1,0,0,0,1,0
XB964428.S,1,1,0,0,0,1,0
pga4.L,1,1,0,0,0,1,0
krt55.L,1,1,0,0,0,1,0
lgals1.1.S,1,1,0,0,0,1,0
sln35-A,1,1,0,0,0,1,0
lgals4.1.s,1,1,0,0,0,1,0
lgals1.3.S,1,1,0,0,0,1,0
ctse.L,1,1,0,0,0,1,0
ctse.S,2,1,0,1,0,2,0
sox12.S,2,1,0,1,0,2,0
scg3.L,1,1,0,0,0,1,0
cfb.S,1,1,0,0,0,1,0
kit.L,2,1,0,1,0,2,0
crhr1.2.S,1,1,0,0,0,1,0
mespa.S,1,1,0,0,0,1,0
cd3g.S,1,1,0,0,0,1,0
foxd1.L,1,1,0,0,0,1,0
krt62.L,1,1,0,0,0,1,0
nodal5.2.L,1,1,0,0,0,1,0
pitx2.S,3,1,0,2,0,3,0
levi.L,1,1,0,0,0,1,0
wt1.S,1,1,0,0,0,1,0
vegfa.L,9,1,0,8,0,9,0
hhex.L,1,1,0,0,0,1,0
lpar1.L,2,1,0,1,0,2,0
dkk1.S,1,1,0,0,0,1,0
csk.L,3,1,0,2,0,3,0
nodal3.2.L,1,1,0,0,0,1,0
klf9.L,1,1,0,0,0,1,0
mamdc2.L,2,1,0,1,0,2,0
impact.L,1,1,0,0,0,1,0
mcm4.S,2,1,0,1,0,2,0
prkdc.L,1,1,0,0,0,1,0
bix1.2.S,2,1,0,1,0,2,0
bix1.1.L,1,1,0,0,0,1,0
adam9.L,1,1,0,0,0,1,0
il1b.S,1,1,0,0,0,1,0
XB5876791.S,1,1,0,0,0,1,0
XB5765047.L,1,1,0,0,0,1,0
fyn.L,6,1,0,5,0,6,0
foxd3.S,1,1,0,0,0,1,0
ccdc18.L,4,1,0,3,0,4,0
tbx3.L,2,1,0,1,0,2,0
kcnc1.S,9,1,0,5,3,6,3
adcyap1r1.S,4,1,0,3,0,4,0
cacnb3.S,3,1,0,2,0,3,0
gh2.S,1,1,0,0,0,1,0
prlr.L,1,1,0,0,0,1,0
axin2.L,5,1,0,4,0,5,0
otc.S,4,1,0,3,0,4,0
mgp.L,3,1,0,2,0,3,0
siah2.L,1,1,0,0,0,1,0
nat8.6.S,3,1,0,2,0,3,0
nkx2-2.S,2,1,0,1,0,2,0
ret.S,2,1,0,1,0,2,0
nkx2-1.L,1,1,0,0,0,1,0
cdh6.L,4,1,0,3,0,4,0
blm.S,4,1,0,3,0,4,0
foxd4l1.2.L,7,1,0,6,0,7,0
trhr.S,2,1,0,1,0,2,0
trhr2.L,2,1,0,1,0,2,0
pgr.L,2,1,0,1,0,2,0
sim2.S,2,1,0,1,0,2,0
tert.L,2,1,0,1,0,2,0
serpina6.L,1,1,0,0,0,1,0
bax.S,1,1,0,0,0,1,0
kcna7.S,2,1,0,1,0,2,0
ascl2.S,2,1,0,1,0,2,0
tp63.L,5,1,0,4,0,5,0
hand2.L,1,1,0,0,0,1,0
gata1.L,1,1,0,0,0,1,0
hoxb7.S,1,1,0,0,0,1,0
ldlr.S,1,1,0,0,0,1,0
levi.2.L,1,1,0,0,0,1,0
nog.L,1,1,0,0,0,1,0
src.S,4,1,0,3,0,4,0
lyn.L,6,1,0,5,0,6,0
alx1.L,1,1,0,0,0,1,0
dpf2.L,9,1,0,6,2,7,2
max.S,6,1,0,5,0,6,0
crx.S,2,1,0,1,0,2,0
masp2.S,2,1,0,1,0,2,0
opn1sw.L,1,1,0,0,0,1,0
cyp19a1.L,4,1,0,3,0,4,0
scnn1g.L,1,1,0,0,0,1,0
rgn.L,3,1,0,2,0,3,0
ascl2.L,1,1,0,0,0,1,0
zic5.S,1,1,0,0,0,1,0
ccn3.L,1,1,0,0,0,1,0
hand1.L,2,1,0,1,0,2,0
gja1.L,1,1,0,0,0,1,0
ccnd2.L,1,1,0,0,0,1,0
scnn1g.S,1,1,0,0,0,1,0
fgf3.L,1,1,0,0,0,1,0
sbk1l.L,3,1,0,1,1,2,1
nr4a1.L,3,1,0,2,0,3,0
pcsk2.L,1,1,0,0,0,1,0
hbp1.S,1,1,0,0,0,1,0
fcn2-A,1,1,0,0,0,1,0
fcn3-A,1,1,0,0,0,1,0
fcn1.S,2,1,0,1,0,2,0
megs.L,1,1,0,0,0,1,0
cdk5r1l.S,1,1,0,0,0,1,0
gcg.L,2,1,0,1,0,2,0
XB5957215.L,5,1,0,4,0,5,0
fzd8.L,2,1,0,1,0,2,0
