,total,NM,NR,XM,XR,NM_XM,NR_XR
tlh1,1,1,0,0,0,1,0
SPOM_SPAC212.08C,1,1,0,0,0,1,0
SPOM_SPAC212.04C,1,1,0,0,0,1,0
SPOM_SPAC212.03,1,1,0,0,0,1,0
SPOM_SPAC212.02,1,1,0,0,0,1,0
SPOM_SPAC212.01C,1,1,0,0,0,1,0
ftm1,1,1,0,0,0,1,0
ftm2,1,1,0,0,0,1,0
SPOM_SPAC977.03,1,1,0,0,0,1,0
SPOM_SPAC977.05C,1,1,0,0,0,1,0
SPOM_SPAC977.06,1,1,0,0,0,1,0
pfl6,1,1,0,0,0,1,0
ayr2,1,1,0,0,0,1,0
plb4,1,1,0,0,0,1,0
nhe1,1,1,0,0,0,1,0
fex1,1,1,0,0,0,1,0
SPOM_SPAC977.12,1,1,0,0,0,1,0
SPOM_SPAC977.14C,1,1,0,0,0,1,0
SPOM_SPAC977.15,1,1,0,0,0,1,0
dak2,1,1,0,0,0,1,0
SPOM_SPAC977.17,1,1,0,0,0,1,0
SPOM_SPAPJ695.01C,1,1,0,0,0,1,0
ght3,1,1,0,0,0,1,0
shu1,1,1,0,0,0,1,0
str3,1,1,0,0,0,1,0
hhy1,1,1,0,0,0,1,0
isp3,1,1,0,0,0,1,0
pfl8,1,1,0,0,0,1,0
pdc101,1,1,0,0,0,1,0
SPOM_SPAC1F8.08,1,1,0,0,0,1,0
SPOM_SPAC11D3.01C,1,1,0,0,0,1,0
SPOM_SPAC11D3.02C,1,1,0,0,0,1,0
mfs2,1,1,0,0,0,1,0
SPOM_SPAC11D3.06,1,1,0,0,0,1,0
toe4,1,1,0,0,0,1,0
SPOM_SPAC11D3.08C,1,1,0,0,0,1,0
SPOM_SPAC11D3.09,1,1,0,0,0,1,0
SPOM_SPAC11D3.10,1,1,0,0,0,1,0
hsp3104,1,1,0,0,0,1,0
SPOM_SPAC11D3.14C,1,1,0,0,0,1,0
SPOM_SPAC11D3.15,1,1,0,0,0,1,0
SPOM_SPAC11D3.16C,1,1,0,0,0,1,0
dgc1,1,1,0,0,0,1,0
hsp3102,1,1,0,0,0,1,0
SPOM_SPAC5H10.03,1,1,0,0,0,1,0
SPOM_SPAC5H10.04,1,1,0,0,0,1,0
SPOM_SPAC5H10.05C,1,1,0,0,0,1,0
adh4,1,1,0,0,0,1,0
SPOM_SPAC5H10.07,1,1,0,0,0,1,0
pan6,1,1,0,0,0,1,0
ecm31,1,1,0,0,0,1,0
SPOM_SPAC5H10.10,1,1,0,0,0,1,0
gmh1,1,1,0,0,0,1,0
otg1,1,1,0,0,0,1,0
gmh2,1,1,0,0,0,1,0
rps101,1,1,0,0,0,1,0
gpi7,1,1,0,0,0,1,0
tim8,1,1,0,0,0,1,0
trs33,1,1,0,0,0,1,0
gcv2,1,1,0,0,0,1,0
rps601,1,1,0,0,0,1,0
fzr2,1,1,0,0,0,1,0
tsr402,1,1,0,0,0,1,0
asl1,1,1,0,0,0,1,0
erg12,1,1,0,0,0,1,0
chs1,1,1,0,0,0,1,0
SPOM_SPAC13G6.13,1,1,0,0,0,1,0
aps1,1,1,0,0,0,1,0
rcn1,1,1,0,0,0,1,0
SPOM_SPAC24B11.05,1,1,0,0,0,1,0
sty1,1,1,0,0,0,1,0
SPOM_SPAC24B11.07C,1,1,0,0,0,1,0
erv46,1,1,0,0,0,1,0
mpc2,1,1,0,0,0,1,0
cfh1,1,1,0,0,0,1,0
sid2,1,1,0,0,0,1,0
dnf2,1,1,0,0,0,1,0
hem3,1,1,0,0,0,1,0
SPOM_SPAC806.02C,1,1,0,0,0,1,0
rps2601,1,1,0,0,0,1,0
duf8901,1,1,0,0,0,1,0
SPOM_SPAC806.06C,1,1,0,0,0,1,0
ndk1,1,1,0,0,0,1,0
mod21,1,1,0,0,0,1,0
elo1,1,1,0,0,0,1,0
tra2,1,1,0,0,0,1,0
fal1,1,1,0,0,0,1,0
shk2,1,1,0,0,0,1,0
yam8,1,1,0,0,0,1,0
hem14,1,1,0,0,0,1,0
lsh1,1,1,0,0,0,1,0
mso1,1,1,0,0,0,1,0
cdc12,1,1,0,0,0,1,0
SPOM_SPAC1F5.03C,1,1,0,0,0,1,0
pdi1,1,1,0,0,0,1,0
tup11,1,1,0,0,0,1,0
SPOM_SPAC18B11.09C,1,1,0,0,0,1,0
pat10,1,1,0,0,0,1,0
rhp6,1,1,0,0,0,1,0
lcp5,1,1,0,0,0,1,0
ncs1,1,1,0,0,0,1,0
SPOM_SPAC18B11.03C,1,1,0,0,0,1,0
pus9,1,1,0,0,0,1,0
SPOM_SPAC12G12.16C,1,1,0,0,0,1,0
sif3,1,1,0,0,0,1,0
pfs2,1,1,0,0,0,1,0
cid14,1,1,0,0,0,1,0
gms2,1,1,0,0,0,1,0
miy1,1,1,0,0,0,1,0
wdr21,1,1,0,0,0,1,0
eti1,1,1,0,0,0,1,0
mrpl6,1,1,0,0,0,1,0
cpn1,1,1,0,0,0,1,0
rcl1,1,1,0,0,0,1,0
taf9,1,1,0,0,0,1,0
mcp60,1,1,0,0,0,1,0
cip2,1,1,0,0,0,1,0
efg1,1,1,0,0,0,1,0
arp3,1,1,0,0,0,1,0
SPOM_SPAC630.04C,1,1,0,0,0,1,0
gyp7,1,1,0,0,0,1,0
SPOM_SPAC630.06C,1,1,0,0,0,1,0
SPOM_SPAC630.07C,1,1,0,0,0,1,0
erg25,1,1,0,0,0,1,0
mug177,1,1,0,0,0,1,0
mug58,1,1,0,0,0,1,0
bmt2,1,1,0,0,0,1,0
vps55,1,1,0,0,0,1,0
SPOM_SPAC630.12,1,1,0,0,0,1,0
tsc2,1,1,0,0,0,1,0
tup12,1,1,0,0,0,1,0
gti1,1,1,0,0,0,1,0
loc1,1,1,0,0,0,1,0
rsm19,1,1,0,0,0,1,0
tif313,1,1,0,0,0,1,0
trm112,1,1,0,0,0,1,0
mrp11,1,1,0,0,0,1,0
pre1,1,1,0,0,0,1,0
mis4,1,1,0,0,0,1,0
atp25,1,1,0,0,0,1,0
dbp10,1,1,0,0,0,1,0
mrp20,1,1,0,0,0,1,0
apm4,1,1,0,0,0,1,0
SPOM_SPAC31A2.10,1,1,0,0,0,1,0
cuf1,1,1,0,0,0,1,0
rod1,1,1,0,0,0,1,0
sft1,1,1,0,0,0,1,0
bun107,1,1,0,0,0,1,0
dcc1,1,1,0,0,0,1,0
gef2,1,1,0,0,0,1,0
dre4,1,1,0,0,0,1,0
tht1,1,1,0,0,0,1,0
SPOM_SPAC13C5.04,1,1,0,0,0,1,0
SPOM_SPAC13C5.05C,1,1,0,0,0,1,0
mug121,1,1,0,0,0,1,0
mre11,1,1,0,0,0,1,0
fep1,1,1,0,0,0,1,0
lsd2,1,1,0,0,0,1,0
ste7,1,1,0,0,0,1,0
SPOM_SPAC24H6.13,1,1,0,0,0,1,0
uba3,1,1,0,0,0,1,0
vsb1,1,1,0,0,0,1,0
SPOM_SPAC24H6.10C,1,1,0,0,0,1,0
gef1,1,1,0,0,0,1,0
SPOM_SPAC24H6.08,1,1,0,0,0,1,0
