,total,NM,NR,XM,XR,NM_XM,NR_XR
CG42637,3,3,0,0,0,3,0
PNUTS,4,4,0,0,0,4,0
Gr22b,1,1,0,0,0,1,0
Obp22a,2,2,0,0,0,2,0
CG33543,1,1,0,0,0,1,0
dpr3,3,3,0,0,0,3,0
sau,3,3,0,0,0,3,0
CG9967,3,3,0,0,0,3,0
Rbp9,9,9,0,0,0,9,0
tim,10,10,0,0,0,10,0
for,13,13,0,0,0,13,0
smog,5,5,0,0,0,5,0
qtc,12,12,0,0,0,12,0
Ddr,3,3,0,0,0,3,0
nrv2,6,6,0,0,0,6,0
Gart,3,3,0,0,0,3,0
RapGAP1,5,5,0,0,0,5,0
dpr2,2,2,0,0,0,2,0
kuz,5,5,0,0,0,5,0
spel1,4,4,0,0,0,4,0
CG15279,3,3,0,0,0,3,0
side-II,3,3,0,0,0,3,0
dac,6,6,0,0,0,6,0
CG33552,1,1,0,0,0,1,0
lectin-37Da,2,2,0,0,0,2,0
lectin-37Db,2,2,0,0,0,2,0
ref,2,2,0,0,0,2,0
CG33511,1,1,0,0,0,1,0
CG33510,1,1,0,0,0,1,0
CG33509,1,1,0,0,0,1,0
ppk13,1,1,0,0,0,1,0
Ac3,2,2,0,0,0,2,0
CG2225,7,7,0,0,0,7,0
Clamp,2,2,0,0,0,2,0
mim,13,13,0,0,0,13,0
sPLA2,3,3,0,0,0,3,0
scra,3,3,0,0,0,3,0
lig,12,12,0,0,0,12,0
Asap,3,3,0,0,0,3,0
coil,2,2,0,0,0,2,0
Acsl,10,10,0,0,0,10,0
stmA,6,6,0,0,0,6,0
hig,4,4,0,0,0,4,0
14-3-3zeta,12,12,0,0,0,12,0
psq,15,15,0,0,0,15,0
Mp20,2,2,0,0,0,2,0
cnn,12,12,0,0,0,12,0
Vmat,4,4,0,0,0,4,0
Asx,4,4,0,0,0,4,0
CG33506,1,1,0,0,0,1,0
U3-55K,1,1,0,0,0,1,0
CheB53a,1,1,0,0,0,1,0
CheB53b,1,1,0,0,0,1,0
Acp53C14c,2,2,0,0,0,2,0
Vkor,1,1,0,0,0,1,0
CG15109,3,3,0,0,0,3,0
CG15117,6,6,0,0,0,6,0
ena,7,7,0,0,0,7,0
CG10737,17,17,0,0,0,17,0
par-1,11,11,0,0,0,11,0
a,4,4,0,0,0,4,0
Obsc,6,6,0,0,0,6,0
alpha,19,19,0,0,0,19,0
Nop60B,5,5,0,0,0,5,0
CG11406,4,4,0,0,0,4,0
Slik,6,6,0,0,0,6,0
RpL41,1,1,0,0,0,1,0
zip,9,9,0,0,0,9,0
lov,5,5,0,0,0,5,0
CG32333,3,3,0,0,0,3,0
armi,3,3,0,0,0,3,0
nab,3,3,0,0,0,3,0
CG33514,1,1,0,0,0,1,0
DopEcR,3,3,0,0,0,3,0
Src64B,9,9,0,0,0,9,0
vn,2,2,0,0,0,2,0
CG33523,6,6,0,0,0,6,0
form3,2,2,0,0,0,2,0
melt,3,3,0,0,0,3,0
Hn,4,4,0,0,0,4,0
Clk,5,5,0,0,0,5,0
hry,2,2,0,0,0,2,0
Dhpr,3,3,0,0,0,3,0
GlcAT-P,5,5,0,0,0,5,0
eyg,3,3,0,0,0,3,0
btl,2,2,0,0,0,2,0
RecQ5,3,3,0,0,0,3,0
DCP2,4,4,0,0,0,4,0
fax,6,6,0,0,0,6,0
tra,2,2,0,0,0,2,0
scaf6,3,3,0,0,0,3,0
Eip74EF,5,5,0,0,0,5,0
Mi-2,4,4,0,0,0,4,0
polo,2,2,0,0,0,2,0
Pka-R1,18,18,0,0,0,18,0
AcCoAS,3,3,0,0,0,3,0
Jhbp6,3,3,0,0,0,3,0
jim,7,7,0,0,0,7,0
cpx,21,21,0,0,0,21,0
CG9795,4,4,0,0,0,4,0
Gnf1,2,2,0,0,0,2,0
CG1161,2,2,0,0,0,2,0
CG14667,1,1,0,0,0,1,0
7B2,2,2,0,0,0,2,0
gfzf,3,3,0,0,0,3,0
bocks,2,2,0,0,0,2,0
hth,5,5,0,0,0,5,0
pug,5,5,0,0,0,5,0
dpr4,1,1,0,0,0,1,0
CtBP,10,10,0,0,0,10,0
B52,10,10,0,0,0,10,0
PK1-R,2,2,0,0,0,2,0
trx,5,5,0,0,0,5,0
btsz,9,9,0,0,0,9,0
gish,16,16,0,0,0,16,0
Dad,4,4,0,0,0,4,0
Rim,14,14,0,0,0,14,0
cpo,12,12,0,0,0,12,0
Polr2D,1,1,0,0,0,1,0
Ada2a,5,5,0,0,0,5,0
CG14300,1,1,0,0,0,1,0
GluClalpha,11,11,0,0,0,11,0
Gfrl,10,10,0,0,0,10,0
Stat92E,11,11,0,0,0,11,0
sp3,5,5,0,0,0,5,0
CG33111,5,5,0,0,0,5,0
jar,9,9,0,0,0,9,0
slo,23,23,0,0,0,23,0
Ssadh,5,5,0,0,0,5,0
Nf1,5,5,0,0,0,5,0
scrib,18,18,0,0,0,18,0
Rb97D,9,9,0,0,0,9,0
Doa,15,15,0,0,0,15,0
"alpha-1,6-",3,3,0,0,0,3,0
pan,9,9,0,0,0,9,0
PMCA,11,11,0,0,0,11,0
gw,5,5,0,0,0,5,0
ey,4,4,0,0,0,4,0
Sox102F,4,4,0,0,0,4,0
CaMKII,12,12,0,0,0,12,0
sv,7,7,0,0,0,7,0
CG33521,4,4,0,0,0,4,0
CG13376,3,3,0,0,0,3,0
ewg,13,13,0,0,0,13,0
elav,4,4,0,0,0,4,0
Nmdar2,7,7,0,0,0,7,0
SmydA-8,4,4,0,0,0,4,0
HIP-R,3,3,0,0,0,3,0
norpA,6,6,0,0,0,6,0
peb,2,2,0,0,0,2,0
Proc-R,5,5,0,0,0,5,0
Act5C,5,5,0,0,0,5,0
oc,6,6,0,0,0,6,0
Ptpmeg2,9,9,0,0,0,9,0
CG33557,1,1,0,0,0,1,0
CkIIbeta,10,10,0,0,0,10,0
cac,18,18,0,0,0,18,0
HDAC4,8,8,0,0,0,8,0
up,18,18,0,0,0,18,0
rdgB,11,11,0,0,0,11,0
Top1,5,5,0,0,0,5,0
acj6,13,13,0,0,0,13,0
Ac13E,3,3,0,0,0,3,0
CG32576,2,2,0,0,0,2,0
nonA,4,4,0,0,0,4,0
ppk23,4,4,0,0,0,4,0
mnb,5,5,0,0,0,5,0
CoRest,10,10,0,0,0,10,0
Dop2R,6,6,0,0,0,6,0
MFS17,5,5,0,0,0,5,0
klhl10,2,2,0,0,0,2,0
CG40498,5,5,0,0,0,5,0
rl,7,7,0,0,0,7,0
vtd,2,2,0,0,0,2,0
Dbp80,5,5,0,0,0,5,0
RpL15,8,8,0,0,0,8,0
Gfat1,9,9,0,0,0,9,0
CG40198,2,2,0,0,0,2,0
Maf1,5,5,0,0,0,5,0
CG40191,5,5,0,0,0,5,0
3,50,50,0,0,0,50,0
CG40160,6,6,0,0,0,6,0
Set1,9,9,0,0,0,9,0
MED21,2,2,0,0,0,2,0
su,17,17,0,0,0,17,0
CG17168,1,1,0,0,0,1,0
CG17163,2,2,0,0,0,2,0
CG17167,4,4,0,0,0,4,0
CG12061,2,2,0,0,0,2,0
zyd,7,7,0,0,0,7,0
eIF4B,4,4,0,0,0,4,0
Haspin,1,1,0,0,0,1,0
CG17684,2,2,0,0,0,2,0
BckdhB,3,3,0,0,0,3,0
CG41099,4,4,0,0,0,4,0
ARY,2,2,0,0,0,2,0
CG12567,6,6,0,0,0,6,0
Gpb5,3,3,0,0,0,3,0
Tim23,1,1,0,0,0,1,0
Scp1,2,2,0,0,0,2,0
Tim17b,2,2,0,0,0,2,0
CG41128,1,1,0,0,0,1,0
FASN3,1,1,0,0,0,1,0
scro,4,4,0,0,0,4,0
ubiquinone,94,94,0,0,0,94,0
Pp1-Y2,1,1,0,0,0,1,0
ORY,1,1,0,0,0,1,0
kl-5,1,1,0,0,0,1,0
Ppr-Y,1,1,0,0,0,1,0
kl-2,1,1,0,0,0,1,0
Cadps,5,5,0,0,0,5,0
tyn,6,6,0,0,0,6,0
trol,25,25,0,0,0,25,0
CG3588,5,5,0,0,0,5,0
CG15892,1,1,0,0,0,1,0
CG33664,1,1,0,0,0,1,0
CG33669,1,1,0,0,0,1,0
CG33668,1,1,0,0,0,1,0
CG33667,1,1,0,0,0,1,0
CG33666,1,1,0,0,0,1,0
CG33665,1,1,0,0,0,1,0
Pink1,9,9,0,0,0,9,0
CG43736,11,11,0,0,0,11,0
Sxl,25,25,0,0,0,25,0
mei-218,4,4,0,0,0,4,0
mei-217,1,1,0,0,0,1,0
CG33639,4,4,0,0,0,4,0
Shawn,4,4,0,0,0,4,0
Tim9b,2,2,0,0,0,2,0
Rpp20,2,2,0,0,0,2,0
CG33932,2,2,0,0,0,2,0
SLIRP1,2,2,0,0,0,2,0
anox,2,2,0,0,0,2,0
bbx,4,4,0,0,0,4,0
waw,1,1,0,0,0,1,0
Kaz1-ORFB,4,4,0,0,0,4,0
CG9133,3,3,0,0,0,3,0
CG9130,2,2,0,0,0,2,0
CG18170,2,2,0,0,0,2,0
CG33791,6,6,0,0,0,6,0
Svil,31,31,0,0,0,31,0
Gr64d,2,2,0,0,0,2,0
Gr64e,2,2,0,0,0,2,0
CG33764,1,1,0,0,0,1,0
CG33777,1,1,0,0,0,1,0
Pmi,4,4,0,0,0,4,0
PGRP-LD,4,4,0,0,0,4,0
Hsp22,2,2,0,0,0,2,0
CG4456,4,4,0,0,0,4,0
Srg3,2,2,0,0,0,2,0
CG33703,1,1,0,0,0,1,0
CG33702,1,1,0,0,0,1,0
CG33700,1,1,0,0,0,1,0
CNMaR,1,1,0,0,0,1,0
CG11714,3,3,0,0,0,3,0
CG33725,2,2,0,0,0,2,0
gdl-ORF39,1,1,0,0,0,1,0
gdl,3,3,0,0,0,3,0
CG33796,1,1,0,0,0,1,0
CG33795,1,1,0,0,0,1,0
CG33687,1,1,0,0,0,1,0
CG33688,1,1,0,0,0,1,0
CG33689,1,1,0,0,0,1,0
CheB74a,1,1,0,0,0,1,0
AstC-R2,4,4,0,0,0,4,0
CG33647,1,1,0,0,0,1,0
CG33710,1,1,0,0,0,1,0
kug,3,3,0,0,0,3,0
CG33912,1,1,0,0,0,1,0
CG33766,1,1,0,0,0,1,0
CG33767,1,1,0,0,0,1,0
CG33768,1,1,0,0,0,1,0
CG33769,1,1,0,0,0,1,0
CG33770,1,1,0,0,0,1,0
CG33771,1,1,0,0,0,1,0
CG33772,1,1,0,0,0,1,0
CG33927,1,1,0,0,0,1,0
mtd,23,23,0,0,0,23,0
CheA84a,1,1,0,0,0,1,0
Ada2b,3,3,0,0,0,3,0
CG33722,4,4,0,0,0,4,0
CG18749,2,2,0,0,0,2,0
Pif1B,5,5,0,0,0,5,0
Pif1A,5,5,0,0,0,5,0
CG43675,3,3,0,0,0,3,0
drn,8,8,0,0,0,8,0
CG33654,1,1,0,0,0,1,0
CG33630,1,1,0,0,0,1,0
CG33631,1,1,0,0,0,1,0
CG33783,1,1,0,0,0,1,0
CG33784,1,1,0,0,0,1,0
Skel,4,4,0,0,0,4,0
CheA86a,1,1,0,0,0,1,0
sea,4,4,0,0,0,4,0
fabp,3,3,0,0,0,3,0
CG10097,3,3,0,0,0,3,0
CG10096,4,4,0,0,0,4,0
primo-1,2,2,0,0,0,2,0
primo-2,1,1,0,0,0,1,0
srp,7,7,0,0,0,7,0
Prx5,2,2,0,0,0,2,0
gukh,4,4,0,0,0,4,0
CG11779,3,3,0,0,0,3,0
CG33934,3,3,0,0,0,3,0
Indy-2,2,2,0,0,0,2,0
how,6,6,0,0,0,6,0
Myo95E,6,6,0,0,0,6,0
CG33658,1,1,0,0,0,1,0
CG33095,2,2,0,0,0,2,0
CG11891,2,2,0,0,0,2,0
CG33773,1,1,0,0,0,1,0
CG33920,1,1,0,0,0,1,0
CG33635,1,1,0,0,0,1,0
CG33923,1,1,0,0,0,1,0
CG33922,1,1,0,0,0,1,0
CG33673,1,1,0,0,0,1,0
Glyp,2,2,0,0,0,2,0
HemK2,1,1,0,0,0,1,0
Pp2A-29B,5,5,0,0,0,5,0
mus201,2,2,0,0,0,2,0
CG9515,2,2,0,0,0,2,0
Argl,3,3,0,0,0,3,0
CG33723,1,1,0,0,0,1,0
CG17768,2,2,0,0,0,2,0
LSm-4,2,2,0,0,0,2,0
Nos,3,3,0,0,0,3,0
cana,3,3,0,0,0,3,0
CG33695,4,4,0,0,0,4,0
CG4970,1,1,0,0,0,1,0
CG33640,1,1,0,0,0,1,0
CG33641,1,1,0,0,0,1,0
CG33642,1,1,0,0,0,1,0
CG33643,1,1,0,0,0,1,0
CG33644,1,1,0,0,0,1,0
CG33645,1,1,0,0,0,1,0
PolG2,1,1,0,0,0,1,0
GatC,1,1,0,0,0,1,0
CG33648,2,2,0,0,0,2,0
Adh,5,5,0,0,0,5,0
Adhr,3,3,0,0,0,3,0
CG33679,1,1,0,0,0,1,0
solo,2,2,0,0,0,2,0
CG33928,1,1,0,0,0,1,0
CadN,12,12,0,0,0,12,0
spi,5,5,0,0,0,5,0
His1:CG33801,1,1,0,0,0,1,0
His2B:CG33910,1,1,0,0,0,1,0
His4:CG33909,1,1,0,0,0,1,0
His3:CG33803,1,1,0,0,0,1,0
His1:CG33804,1,1,0,0,0,1,0
