,total,NM,NR,XM,XR,NM_XM,NR_XR
LOC123038202,1,0,0,1,0,1,0
LOC123038204,1,0,0,1,0,1,0
LOC123038205,1,0,0,1,0,1,0
LOC123038203,1,0,0,1,0,1,0
LOC123038207,1,0,0,1,0,1,0
LOC123038208,1,0,0,1,0,1,0
LOC123038211,1,0,0,1,0,1,0
LOC123038212,1,0,0,1,0,1,0
LOC123038213,1,0,0,1,0,1,0
LOC123038215,1,0,0,1,0,1,0
LOC123038216,1,0,0,1,0,1,0
LOC123038217,1,0,0,1,0,1,0
LOC123038214,1,0,0,1,0,1,0
LOC123038218,1,0,0,1,0,1,0
LOC123038219,1,0,0,1,0,1,0
LOC123038221,1,0,0,1,0,1,0
LOC123038229,1,0,0,1,0,1,0
LOC123038230,1,0,0,1,0,1,0
LOC123038234,1,0,0,1,0,1,0
LOC123038235,1,0,0,1,0,1,0
LOC123038199,1,0,0,1,0,1,0
LOC123038233,3,0,0,3,0,3,0
LOC123038239,1,0,0,1,0,1,0
LOC123038241,1,0,0,1,0,1,0
LOC123038244,1,0,0,1,0,1,0
LOC123038245,1,0,0,1,0,1,0
LOC123038249,1,0,0,1,0,1,0
LOC123038250,1,0,0,1,0,1,0
LOC123038251,1,0,0,1,0,1,0
LOC123038252,1,0,0,1,0,1,0
LOC123038253,1,0,0,1,0,1,0
LOC123038254,1,0,0,1,0,1,0
LOC123038256,1,0,0,1,0,1,0
LOC123038258,1,0,0,1,0,1,0
LOC123038260,1,0,0,1,0,1,0
LOC123038257,1,0,0,1,0,1,0
LOC123038261,1,0,0,1,0,1,0
LOC123038262,1,0,0,1,0,1,0
LOC123038265,1,0,0,1,0,1,0
LOC123038266,1,0,0,1,0,1,0
LOC123038267,1,0,0,1,0,1,0
LOC123038271,1,0,0,1,0,1,0
LOC123038268,2,0,0,1,1,1,1
LOC123038272,1,0,0,1,0,1,0
LOC123038275,1,0,0,1,0,1,0
LOC123038276,1,0,0,1,0,1,0
LOC123038277,1,0,0,1,0,1,0
LOC123038278,1,0,0,1,0,1,0
LOC123038279,1,0,0,1,0,1,0
LOC123038280,1,0,0,1,0,1,0
LOC123038281,1,0,0,1,0,1,0
LOC123038282,1,0,0,1,0,1,0
LOC123038284,1,0,0,1,0,1,0
LOC123038286,1,0,0,1,0,1,0
LOC123038283,2,0,0,2,0,2,0
LOC123038289,1,0,0,1,0,1,0
LOC123038290,1,0,0,1,0,1,0
LOC123038291,1,0,0,1,0,1,0
LOC123038296,1,0,0,1,0,1,0
LOC123038297,1,0,0,1,0,1,0
LOC123038299,1,0,0,1,0,1,0
LOC123038302,1,0,0,1,0,1,0
