,total,NM,NR,XM,XR,NM_XM,NR_XR
LOC4332622,1,1,0,0,0,1,0
LOC111828501,1,1,0,0,0,1,0
LOC4324517,1,1,0,0,0,1,0
LOC111946217,1,1,0,0,0,1,0
LOC4352605,1,1,0,0,0,1,0
LOC4326455,1,1,0,0,0,1,0
LOC112163590,1,1,0,0,0,1,0
LOC112163591,6,1,0,5,0,6,0
LOC4343162,7,1,0,6,0,7,0
LOC9267534,4,1,0,0,3,1,3
LOC4349562,1,1,0,0,0,1,0
LOC112543456,2,1,0,1,0,2,0
LOC4323832,1,1,0,0,0,1,0
LOC4323835,1,1,0,0,0,1,0
LOC4323837,1,1,0,0,0,1,0
LOC4323839,1,1,0,0,0,1,0
LOC4323843,1,1,0,0,0,1,0
LOC4325867,1,1,0,0,0,1,0
LOC4326119,1,1,0,0,0,1,0
MFT2,1,1,0,0,0,1,0
LOC4326153,1,1,0,0,0,1,0
LOC4326159,2,1,0,0,1,1,1
LOC4349878,1,1,0,0,0,1,0
LOC116435279,1,1,0,0,0,1,0
LOC4347487,1,1,0,0,0,1,0
LOC9267955,1,1,0,0,0,1,0
LOC4329997,1,1,0,0,0,1,0
LOC4337808,1,1,0,0,0,1,0
LOC4332813,1,1,0,0,0,1,0
LOC4335531,1,1,0,0,0,1,0
wsl8,1,1,0,0,0,1,0
wsl3,1,1,0,0,0,1,0
LOC4324927,1,1,0,0,0,1,0
LOC4324934,1,1,0,0,0,1,0
LOC4324936,1,1,0,0,0,1,0
LOC4324937,3,1,0,2,0,3,0
LOC4324940,2,1,0,1,0,2,0
LOC4324962,1,1,0,0,0,1,0
VIPP1,1,1,0,0,0,1,0
LOC4324777,2,2,0,0,0,2,0
LOC4324980,2,1,0,0,1,1,1
LOC4324983,1,1,0,0,0,1,0
LOC4325939,2,1,0,1,0,2,0
LOC4325962,4,1,0,3,0,4,0
LOC4325486,3,1,0,1,1,2,1
LOC4325496,1,1,0,0,0,1,0
LOC4325497,1,1,0,0,0,1,0
LOC4325503,1,1,0,0,0,1,0
LOC4325511,1,1,0,0,0,1,0
IRX9L,2,1,0,0,1,1,1
LOC4325515,1,1,0,0,0,1,0
LOC4325534,1,1,0,0,0,1,0
LOC4325542,1,1,0,0,0,1,0
LOC4325556,1,1,0,0,0,1,0
LOC4325560,2,2,0,0,0,2,0
LOC4325565,1,1,0,0,0,1,0
LOC4326346,1,1,0,0,0,1,0
LOC4326351,1,1,0,0,0,1,0
LOC4326177,1,1,0,0,0,1,0
LOC4326360,1,1,0,0,0,1,0
LOC4326363,2,1,0,1,0,2,0
LOC4326365,1,1,0,0,0,1,0
LOC4326378,3,1,0,0,2,1,2
LOC4326190,3,1,0,2,0,3,0
LOC4326394,1,1,0,0,0,1,0
RTFL3,1,1,0,0,0,1,0
LOC4326409,1,1,0,0,0,1,0
LOC4326419,2,1,0,1,0,2,0
CSB,1,1,0,0,0,1,0
LOC4326442,1,1,0,0,0,1,0
LOC4326449,1,1,0,0,0,1,0
LOC4326459,1,1,0,0,0,1,0
LOC4326471,1,1,0,0,0,1,0
LOC4326479,1,1,0,0,0,1,0
ACA1,1,1,0,0,0,1,0
LOC4326512,1,1,0,0,0,1,0
LOC4326515,1,1,0,0,0,1,0
LOC4326516,1,1,0,0,0,1,0
LOC4326521,1,1,0,0,0,1,0
LOC4326522,1,1,0,0,0,1,0
LOC4326537,1,1,0,0,0,1,0
LOC4326541,4,2,0,2,0,4,0
LOC4326547,1,1,0,0,0,1,0
LOC4326560,5,2,0,2,1,4,1
LOC4326565,2,1,0,0,1,1,1
LOC4326566,2,1,0,1,0,2,0
LOC4326567,1,1,0,0,0,1,0
LOC4326576,1,1,0,0,0,1,0
EIF4A3A,1,1,0,0,0,1,0
SNL6,1,1,0,0,0,1,0
LOC4326614,1,1,0,0,0,1,0
LOC4326615,1,1,0,0,0,1,0
LOC4326617,1,1,0,0,0,1,0
LOC4326635,1,1,0,0,0,1,0
LOC4326638,1,1,0,0,0,1,0
LOC4326639,1,1,0,0,0,1,0
LOC4326652,2,2,0,0,0,2,0
LOC4326668,1,1,0,0,0,1,0
LOC4326680,1,1,0,0,0,1,0
LOC4326682,1,1,0,0,0,1,0
LOC4326684,1,1,0,0,0,1,0
LOC4326685,1,1,0,0,0,1,0
LOC4326717,1,1,0,0,0,1,0
LOC4326739,1,1,0,0,0,1,0
LOC4326755,5,1,0,4,0,5,0
NCL1,1,1,0,0,0,1,0
LOC4325576,1,1,0,0,0,1,0
LOC4325591,2,2,0,0,0,2,0
LOC4325595,1,1,0,0,0,1,0
LOC4325610,2,1,1,0,0,1,1
LOC4325611,1,1,0,0,0,1,0
LOC4325613,1,1,0,0,0,1,0
LOC4325621,1,1,0,0,0,1,0
LOC4325622,1,1,0,0,0,1,0
LOC4325650,1,1,0,0,0,1,0
LOC4325652,1,1,0,0,0,1,0
AT9,1,1,0,0,0,1,0
LOC4325668,1,1,0,0,0,1,0
LOC4325694,1,1,0,0,0,1,0
LOC4325695,1,1,0,0,0,1,0
LOC4325696,1,1,0,0,0,1,0
LOC4325697,1,1,0,0,0,1,0
LOC4325698,1,1,0,0,0,1,0
LOC4325710,1,1,0,0,0,1,0
LOC4325731,1,1,0,0,0,1,0
LOC4325734,1,1,0,0,0,1,0
LOC4325736,1,1,0,0,0,1,0
LOC4325737,1,1,0,0,0,1,0
LOC4325739,1,1,0,0,0,1,0
LOC4325740,1,1,0,0,0,1,0
LOC4325743,1,1,0,0,0,1,0
LOC4325744,1,1,0,0,0,1,0
LOC4325747,1,1,0,0,0,1,0
LOC4325758,2,1,0,1,0,2,0
LOC4325762,1,1,0,0,0,1,0
LOC4325777,1,1,0,0,0,1,0
LOC4325788,1,1,0,0,0,1,0
LOC4325792,1,1,0,0,0,1,0
LOC4325801,14,1,0,1,12,2,12
LOC4325816,1,1,0,0,0,1,0
LOC4325837,4,1,0,2,1,3,1
LOC4325844,1,1,0,0,0,1,0
LOC4325847,8,1,0,7,0,8,0
LOC4325851,4,1,0,3,0,4,0
LOC4325864,1,1,0,0,0,1,0
LOC4325879,1,1,0,0,0,1,0
LOC4325890,1,1,0,0,0,1,0
LOC4325895,2,1,0,1,0,2,0
LOC4325899,1,1,0,0,0,1,0
LOC4325911,1,1,0,0,0,1,0
LOC4325916,4,1,1,2,0,3,1
LOC4325917,1,1,0,0,0,1,0
LOC4325933,2,1,0,1,0,2,0
LOC4325974,2,2,0,0,0,2,0
LOC4325983,2,1,0,1,0,2,0
MHZ4,1,1,0,0,0,1,0
LPR1,1,1,0,0,0,1,0
LPR2,2,1,0,1,0,2,0
LOC4326014,2,2,0,0,0,2,0
LOC4326027,1,1,0,0,0,1,0
LOC4326028,1,1,0,0,0,1,0
LOC4326076,5,1,0,4,0,5,0
LOC4326166,3,1,0,2,0,3,0
LOC4326171,2,1,0,0,1,1,1
LOC4326178,1,1,0,0,0,1,0
AIP1,2,1,0,1,0,2,0
AIP2,1,1,0,0,0,1,0
LOC4326212,2,2,0,0,0,2,0
LOC4326227,1,1,0,0,0,1,0
LOC4326229,1,1,0,0,0,1,0
LOC4326230,1,1,0,0,0,1,0
LOC4326236,1,1,0,0,0,1,0
LOC4326245,1,1,0,0,0,1,0
LOC4326261,1,1,0,0,0,1,0
LOC4326270,10,2,0,7,1,9,1
LOC4326272,1,1,0,0,0,1,0
LOC4326288,4,1,0,3,0,4,0
LOC4326310,1,1,0,0,0,1,0
LOC4326311,1,1,0,0,0,1,0
LOC4326314,1,1,0,0,0,1,0
LOC4326320,1,1,0,0,0,1,0
LOC4326324,1,1,0,0,0,1,0
LOC4326391,2,2,0,0,0,2,0
LOC4326769,1,1,0,0,0,1,0
LOC4326775,1,1,0,0,0,1,0
LOC4326776,2,1,0,1,0,2,0
LOC4326788,1,1,0,0,0,1,0
LOC4326806,1,1,0,0,0,1,0
LOC4326812,1,1,0,0,0,1,0
LOC124403964,1,1,0,0,0,1,0
LOC4327738,1,1,0,0,0,1,0
LOC4327752,1,1,0,0,0,1,0
LOC4327757,1,1,0,0,0,1,0
LOC4327785,1,1,0,0,0,1,0
LOC4327786,1,1,0,0,0,1,0
LOC4327787,1,1,0,0,0,1,0
LOC4327789,1,1,0,0,0,1,0
LOC4327794,6,2,1,0,3,2,4
HKT2;3,1,1,0,0,0,1,0
LOC4327808,1,1,0,0,0,1,0
P58B,1,1,0,0,0,1,0
LOC4327831,1,1,0,0,0,1,0
LOC4327836,1,1,0,0,0,1,0
LOC4327860,1,1,0,0,0,1,0
LOC4327885,1,1,0,0,0,1,0
LOC4327887,2,1,0,1,0,2,0
LOC4327900,1,1,0,0,0,1,0
