,accession,gene
1,>XM_001481341.1,AFUA_8G00342
3,>XM_001481342.1,AFUA_8G00350
5,>XM_001481343.1,AFUA_8G00595
7,>XM_001481344.1,AFUA_8G00962
9,>XM_001481345.1,AFUA_8G01222
11,>XM_001481346.1,AFUA_8G01795
13,>XM_001481347.1,AFUA_8G01820
15,>XM_001481348.1,AFUA_8G01830
17,>XM_001481349.1,AFUA_8G02315
19,>XM_001481350.1,AFUA_8G02320
21,>XM_001481351.1,AFUA_8G02335
23,>XM_001481352.1,AFUA_8G02340
25,>XM_001481353.1,AFUA_8G02380
27,>XM_001481354.1,AFUA_8G03870
29,>XM_001481355.1,AFUA_8G03905
31,>XM_001481356.1,AFUA_8G04702
33,>XM_001481357.1,AFUA_8G04826
35,>XM_001481358.1,AFUA_8G04830
37,>XM_001481359.1,AFUA_8G05975
39,>XM_001481360.1,AFUA_8G06132
41,>XM_001481361.1,AFUA_8G06405
43,>XM_001481362.1,AFUA_8G06550
45,>XM_001481363.1,AFUA_8G06554
47,>XM_001481364.1,AFUA_8G06974
49,>XM_001481365.1,AFUA_8G06980
51,>XM_001481366.1,AFUA_7G00652
53,>XM_001481367.1,AFUA_7G00800
55,>XM_001481368.1,AFUA_7G00805
57,>XM_001481369.1,AFUA_7G01102
59,>XM_001481370.1,AFUA_7G01118
61,>XM_001481371.1,AFUA_7G01620
63,>XM_001481372.1,AFUA_7G01695
65,>XM_001481373.1,AFUA_7G02285
67,>XM_001481374.1,AFUA_7G04230
69,>XM_001481375.1,AFUA_7G04783
71,>XM_001481376.1,AFUA_7G04795
73,>XM_001481377.1,AFUA_7G05010
75,>XM_001481378.1,AFUA_7G05015
77,>XM_001481379.1,AFUA_7G05735
79,>XM_001481380.1,AFUA_7G05752
81,>XM_001481381.1,AFUA_7G05785
83,>XM_001481382.1,AFUA_7G06523
85,>XM_001481383.1,AFUA_7G06526
87,>XM_001481384.1,AFUA_7G06675
89,>XM_001481385.1,AFUA_7G06981
91,>XM_001481386.1,AFUA_7G08570
93,>XM_001481387.1,AFUA_7G08575
95,>XM_001481388.1,AFUA_6G00412
97,>XM_001481389.1,AFUA_6G00555
99,>XM_001481390.1,AFUA_6G00590
101,>XM_001481391.1,AFUA_6G02215
103,>XM_001481392.1,AFUA_6G02242
105,>XM_001481393.1,AFUA_6G02330
107,>XM_001481394.1,AFUA_6G02515
109,>XM_001481395.1,AFUA_6G02535
111,>XM_001481396.1,AFUA_6G02705
113,>XM_001481397.1,AFUA_6G03025
115,>XM_001481398.1,AFUA_6G03030
117,>XM_001481399.1,AFUA_6G03345
119,>XM_001481400.1,AFUA_6G04265
121,>XM_001481401.1,AFUA_6G04270
123,>XM_001481402.1,AFUA_6G04705
125,>XM_001481403.1,AFUA_6G05174
127,>XM_001481404.1,AFUA_6G06328
129,>XM_001481405.1,AFUA_6G06530
131,>XM_001481406.1,AFUA_6G06535
133,>XM_001481407.1,AFUA_6G07055
135,>XM_001481408.1,AFUA_6G07855
137,>XM_001481409.1,AFUA_6G08155
139,>XM_001481410.1,AFUA_6G08160
141,>XM_001481411.1,AFUA_6G09165
143,>XM_001481412.1,AFUA_6G09292
145,>XM_001481413.1,AFUA_6G09305
147,>XM_001481414.1,AFUA_6G09315
149,>XM_001481415.1,AFUA_6G09320
151,>XM_001481416.1,AFUA_6G09395
153,>XM_001481417.1,AFUA_6G09785
155,>XM_001481418.1,AFUA_6G09790
157,>XM_001481419.1,AFUA_6G10965
159,>XM_001481420.1,AFUA_6G11840
161,>XM_001481421.1,AFUA_6G12145
163,>XM_001481422.1,AFUA_6G12522
165,>XM_001481423.1,AFUA_6G13340
167,>XM_001481424.1,AFUA_6G13346
169,>XM_001481425.1,AFUA_6G13765
171,>XM_001481426.1,AFUA_6G13940
173,>XM_001481427.1,AFUA_6G13945
175,>XM_001481428.1,AFUA_6G14442
177,>XM_001481429.1,AFUA_5G00135
179,>XM_001481430.1,AFUA_5G00155
181,>XM_001481431.1,AFUA_5G00352
183,>XM_001481432.1,AFUA_5G00890
185,>XM_001481433.1,AFUA_5G01005
187,>XM_001481434.1,AFUA_5G01242
189,>XM_001481435.1,AFUA_5G01245
191,>XM_001481436.1,AFUA_5G01248
193,>XM_001481437.1,AFUA_5G01272
195,>XM_001481438.1,AFUA_5G01400
197,>XM_001481439.1,AFUA_5G02650
199,>XM_001481440.1,AFUA_5G02655
201,>XM_001481441.1,AFUA_5G02690
203,>XM_001481442.1,AFUA_5G02785
205,>XM_001481443.1,AFUA_5G03269
207,>XM_001481444.1,AFUA_5G03485
209,>XM_001481445.1,AFUA_5G04135
211,>XM_001481446.1,AFUA_5G04140
213,>XM_001481447.1,AFUA_5G04333
215,>XM_001481448.1,AFUA_5G04336
217,>XM_001481449.1,AFUA_5G06647
219,>XM_001481450.1,AFUA_5G06905
221,>XM_001481451.1,AFUA_5G07170
223,>XM_001481452.1,AFUA_5G07180
225,>XM_001481453.1,AFUA_5G07265
227,>XM_001481454.1,AFUA_5G07270
229,>XM_001481455.1,AFUA_5G08235
231,>XM_001481456.1,AFUA_5G08712
233,>XM_001481457.1,AFUA_5G08965
235,>XM_001481458.1,AFUA_5G11245
237,>XM_001481459.1,AFUA_5G11250
239,>XM_001481460.1,AFUA_5G11355
241,>XM_001481461.1,AFUA_5G11985
243,>XM_001481462.1,AFUA_5G12035
245,>XM_001481463.1,AFUA_5G12302
247,>XM_001481464.1,AFUA_5G12325
249,>XM_001481465.1,AFUA_5G12895
251,>XM_001481466.1,AFUA_5G13392
253,>XM_001481467.1,AFUA_5G13715
255,>XM_001481468.1,AFUA_5G13990
257,>XM_001481469.1,AFUA_5G13995
259,>XM_001481470.1,AFUA_5G14315
261,>XM_001481471.1,AFUA_5G14320
263,>XM_001481472.1,AFUA_5G14582
