,accession,gene
1,>NM_001085445.1,sem1.S
3,>NM_001085478.2,selenoi.L
5,>NM_001085482.1,bdnf.S
7,>NM_001085483.1,dmrt1.S
9,>NM_001085484.1,por.L
11,>NM_001085556.1,slc5a11.L
13,>NM_001085557.1,foxd3.L
15,>NM_001085558.1,XB980013.L
17,>NM_001085559.1,tbxt.2.S
19,>NM_001085560.1,met.L
21,>NM_001085561.1,crb2.S
23,>NM_001085562.1,zbtb7b.S
25,>NM_001085563.1,snap23.L
27,>NM_001085564.1,nodal6.L
29,>NM_001085565.1,casp8.L
31,>NM_001085566.1,casp9.S
33,>NM_001085567.1,XB964428.S
35,>NM_001085568.1,pga4.L
37,>NM_001085569.1,krt55.L
39,>NM_001085570.1,lgals1.1.S
41,>NM_001085571.1,sln35-A
43,>NM_001085572.1,lgals4.1.s
45,>NM_001085573.1,lgals1.3.S
47,>NM_001085574.1,ctse.L
49,>NM_001085575.1,ctse.S
51,>NM_001085576.1,sox12.S
53,>NM_001085577.1,scg3.L
55,>NM_001085578.1,cfb.S
57,>NM_001085579.1,kit.L
59,>NM_001085580.1,crhr1.2.S
61,>NM_001085581.1,mespa.S
63,>NM_001085582.1,cd3g.S
65,>NM_001085583.1,foxd1.L
67,>NM_001085584.1,krt62.L
69,>NM_001085585.1,nodal5.2.L
71,>NM_001085586.1,pitx2.S
73,>NM_001085587.1,levi.L
75,>NM_001085588.1,wt1.S
77,>NM_001085589.1,vegfa.L
79,>NM_001085590.1,hhex.L
81,>NM_001085591.1,lpar1.L
83,>NM_001085592.1,dkk1.S
85,>NM_001085593.1,csk.L
87,>NM_001085596.1,nodal3.2.L
89,>NM_001085597.1,klf9.L
91,>NM_001085598.1,mamdc2.L
93,>NM_001085599.1,impact.L
95,>NM_001085600.2,mcm4.S
97,>NM_001085601.1,prkdc.L
99,>NM_001085602.1,bix1.2.S
101,>NM_001085603.1,bix1.1.L
103,>NM_001085604.1,adam9.L
105,>NM_001085605.1,il1b.S
107,>NM_001085606.1,XB5876791.S
109,>NM_001085607.1,XB5765047.L
111,>NM_001085608.2,fyn.L
113,>NM_001085609.1,foxd3.S
115,>NM_001085610.1,ccdc18.L
117,>NM_001085611.1,tbx3.L
119,>NM_001085612.2,kcnc1.S
121,>NM_001085613.1,adcyap1r1.S
123,>NM_001085614.1,cacnb3.S
125,>NM_001085615.2,gh2.S
127,>NM_001085616.1,prlr.L
129,>NM_001085617.1,axin2.L
131,>NM_001085618.1,otc.S
133,>NM_001085619.1,mgp.L
135,>NM_001085620.1,siah2.L
137,>NM_001085621.1,nat8.6.S
139,>NM_001085622.1,nkx2-2.S
141,>NM_001085623.1,ret.S
143,>NM_001085624.1,nkx2-1.L
145,>NM_001085625.1,cdh6.L
147,>NM_001085626.1,blm.S
149,>NM_001085628.1,foxd4l1.2.L
151,>NM_001085629.1,trhr.S
153,>NM_001085630.1,trhr2.L
155,>NM_001085631.1,pgr.L
157,>NM_001085632.2,sim2.S
159,>NM_001085633.1,tert.L
161,>NM_001085634.1,serpina6.L
163,>NM_001085635.2,bax.S
165,>NM_001085636.1,kcna7.S
167,>NM_001085637.1,ascl2.S
169,>NM_001085638.1,tp63.L
171,>NM_001085639.1,hand2.L
173,>NM_001085640.1,gata1.L
175,>NM_001085641.1,hoxb7.S
177,>NM_001085642.2,ldlr.S
179,>NM_001085643.1,levi.2.L
181,>NM_001085644.1,nog.L
183,>NM_001085645.1,src.S
185,>NM_001085646.1,lyn.L
187,>NM_001085647.1,alx1.L
189,>NM_001085648.1,dpf2.L
191,>NM_001085649.1,max.S
193,>NM_001085650.1,crx.S
195,>NM_001085651.1,masp2.S
197,>NM_001085652.1,opn1sw.L
199,>NM_001085653.1,cyp19a1.L
201,>NM_001085654.1,scnn1g.L
203,>NM_001085655.1,rgn.L
205,>NM_001085656.1,ascl2.L
207,>NM_001085657.1,zic5.S
209,>NM_001085658.1,ccn3.L
211,>NM_001085659.1,hand1.L
213,>NM_001085660.1,gja1.L
215,>NM_001085661.1,ccnd2.L
217,>NM_001085662.1,scnn1g.S
219,>NM_001085663.1,fgf3.L
221,>NM_001085664.1,sbk1l.L
223,>NM_001085665.1,nr4a1.L
225,>NM_001085666.1,pcsk2.L
227,>NM_001085667.1,hbp1.S
229,>NM_001085668.1,fcn2-A
231,>NM_001085669.1,fcn3-A
233,>NM_001085670.1,fcn1.S
235,>NM_001085671.1,megs.L
237,>NM_001085672.1,cdk5r1l.S
239,>NM_001085673.1,gcg.L
241,>NM_001085674.1,XB5957215.L
243,>NM_001085675.1,fzd8.L
245,>NM_001085676.1,sia2.S
247,>NM_001085677.1,ebf2.S
249,>NM_001085678.1,ebf2.L
251,>NM_001085679.1,nbl1.L
253,>NM_001085680.1,vax1.S
255,>NM_001085681.1,hck.L
257,>NM_001085682.1,ctbp1.L
259,>NM_001085683.1,amelx.L
261,>NM_001085684.1,amelx.S
263,>NM_001085685.1,nkx3-3.S
265,>NM_001085686.1,nos1.L
267,>NM_001085687.1,fmr1.L
269,>NM_001085688.1,nrn1.S
271,>NM_001085689.1,cdon.L
273,>NM_001085690.1,kcnma1.L
275,>NM_001085692.1,pias1.L
277,>NM_001085694.1,lrp5.L
279,>NM_001085695.1,stk10.S
281,>NM_001085696.1,foxg1.L
283,>NM_001085697.1,zfyve9.L
285,>NM_001085698.1,mxd4.L
287,>NM_001085699.1,nkx2-6.L
289,>NM_001085700.1,nkx3-1.S
291,>NM_001085701.2,tbx5.L
293,>NM_001085702.1,six3.L
295,>NM_001085703.2,per1.L
297,>NM_001085705.1,kitlg.S
299,>NM_001085706.1,krt12.6.S
301,>NM_001085707.1,gnrhr1-A
303,>NM_001085708.1,kit.S
305,>NM_001085709.1,purb.S
307,>NM_001085710.1,lmo4.2.L
309,>NM_001085711.1,cacna2d3.S
311,>NM_001085712.1,ecrg4.L
313,>NM_001085713.1,phkg1.S
315,>NM_001085714.1,vip.L
317,>NM_001085715.1,gcm1.S
319,>NM_001085716.3,cd247.S
321,>NM_001085717.1,six6.S
323,>NM_001085718.1,kcnj16.S
325,>NM_001085719.1,hoxa1.L
327,>NM_001085720.1,rdh7.L
329,>NM_001085721.1,flt1.L
331,>NM_001085722.1,dtna.L
333,>NM_001085723.1,steep1.L
335,>NM_001085724.1,kif19.S
337,>NM_001085726.1,tgfb2.L
339,>NM_001085727.1,gng7.S
341,>NM_001085729.1,mapre2.S
343,>NM_001085730.1,myog.S
345,>NM_001085731.1,pou4f4.S
347,>NM_001085733.2,foxe3.L
349,>NM_001085734.1,syn2.L
351,>NM_001085735.1,syn3.L
353,>NM_001085737.1,nrl.S
355,>NM_001085738.1,fzd1.L
357,>NM_001085739.1,churc1.S
359,>NM_001085740.1,gdf7.S
361,>NM_001085741.1,dbx1.S
363,>NM_001085742.1,gnrhr.L
365,>NM_001085743.1,pitx3.S
367,>NM_001085744.1,csrp3.L
369,>NM_001085745.1,lefty.L
371,>NM_001085746.1,tlx3.S
373,>NM_001085747.1,tlx1.L
375,>NM_001085748.1,fzd5.S
377,>NM_001085749.1,neurod6.L
379,>NM_001085750.1,hoxa2.L
381,>NM_001085751.1,camk4.L
383,>NM_001085752.1,gcgr.L
385,>NM_001085753.1,kcna2.L
387,>NM_001085754.1,irx5.L
389,>NM_001085755.1,lhb.L
391,>NM_001085756.1,myl4.L
393,>NM_001085757.1,hmx3.L
395,>NM_001085758.1,kcna3.S
397,>NM_001085759.1,p2ry1.S
399,>NM_001085760.1,grik5-like.1.S
401,>NM_001085761.1,invs.S
403,>NM_001085762.1,dna2.S
405,>NM_001085763.1,pak3.L
407,>NM_001085766.1,irx2.L
409,>NM_001085768.1,pax5.L
411,>NM_001085770.1,omp.S
413,>NM_001085771.1,s100a10.L
415,>NM_001085773.1,tff3.1.S
417,>NM_001085774.1,tff3.8.S
419,>NM_001085775.1,gata1.S
421,>NM_001085776.2,lgals1.3.L
423,>NM_001085777.1,kcna1.S
425,>NM_001085778.1,ascl1.L
427,>NM_001085779.1,egr2.L
429,>NM_001085782.1,dntt.L
431,>NM_001085783.1,f2r.L
433,>NM_001085784.1,htr7l.S
