,total,NM,NR,XM,XR,NM_XM,NR_XR
AFUA_8G00342,1,0,0,1,0,1,0
AFUA_8G00350,1,0,0,1,0,1,0
AFUA_8G00595,1,0,0,1,0,1,0
AFUA_8G00962,1,0,0,1,0,1,0
AFUA_8G01222,1,0,0,1,0,1,0
AFUA_8G01795,1,0,0,1,0,1,0
AFUA_8G01820,1,0,0,1,0,1,0
AFUA_8G01830,1,0,0,1,0,1,0
AFUA_8G02315,1,0,0,1,0,1,0
AFUA_8G02320,1,0,0,1,0,1,0
AFUA_8G02335,1,0,0,1,0,1,0
AFUA_8G02340,1,0,0,1,0,1,0
AFUA_8G02380,1,0,0,1,0,1,0
AFUA_8G03870,1,0,0,1,0,1,0
AFUA_8G03905,1,0,0,1,0,1,0
AFUA_8G04702,1,0,0,1,0,1,0
AFUA_8G04826,1,0,0,1,0,1,0
AFUA_8G04830,1,0,0,1,0,1,0
AFUA_8G05975,1,0,0,1,0,1,0
AFUA_8G06132,1,0,0,1,0,1,0
AFUA_8G06405,1,0,0,1,0,1,0
AFUA_8G06550,1,0,0,1,0,1,0
AFUA_8G06554,1,0,0,1,0,1,0
AFUA_8G06974,1,0,0,1,0,1,0
AFUA_8G06980,1,0,0,1,0,1,0
AFUA_7G00652,1,0,0,1,0,1,0
AFUA_7G00800,1,0,0,1,0,1,0
AFUA_7G00805,1,0,0,1,0,1,0
AFUA_7G01102,1,0,0,1,0,1,0
AFUA_7G01118,1,0,0,1,0,1,0
AFUA_7G01620,1,0,0,1,0,1,0
AFUA_7G01695,1,0,0,1,0,1,0
AFUA_7G02285,1,0,0,1,0,1,0
AFUA_7G04230,1,0,0,1,0,1,0
AFUA_7G04783,1,0,0,1,0,1,0
AFUA_7G04795,1,0,0,1,0,1,0
AFUA_7G05010,1,0,0,1,0,1,0
AFUA_7G05015,1,0,0,1,0,1,0
AFUA_7G05735,1,0,0,1,0,1,0
AFUA_7G05752,1,0,0,1,0,1,0
AFUA_7G05785,1,0,0,1,0,1,0
AFUA_7G06523,1,0,0,1,0,1,0
AFUA_7G06526,1,0,0,1,0,1,0
AFUA_7G06675,1,0,0,1,0,1,0
AFUA_7G06981,1,0,0,1,0,1,0
AFUA_7G08570,1,0,0,1,0,1,0
AFUA_7G08575,1,0,0,1,0,1,0
AFUA_6G00412,1,0,0,1,0,1,0
AFUA_6G00555,1,0,0,1,0,1,0
AFUA_6G00590,1,0,0,1,0,1,0
AFUA_6G02215,1,0,0,1,0,1,0
AFUA_6G02242,1,0,0,1,0,1,0
AFUA_6G02330,1,0,0,1,0,1,0
AFUA_6G02515,1,0,0,1,0,1,0
AFUA_6G02535,1,0,0,1,0,1,0
AFUA_6G02705,1,0,0,1,0,1,0
AFUA_6G03025,1,0,0,1,0,1,0
AFUA_6G03030,1,0,0,1,0,1,0
AFUA_6G03345,1,0,0,1,0,1,0
AFUA_6G04265,1,0,0,1,0,1,0
AFUA_6G04270,1,0,0,1,0,1,0
AFUA_6G04705,1,0,0,1,0,1,0
AFUA_6G05174,1,0,0,1,0,1,0
AFUA_6G06328,1,0,0,1,0,1,0
AFUA_6G06530,1,0,0,1,0,1,0
AFUA_6G06535,1,0,0,1,0,1,0
AFUA_6G07055,1,0,0,1,0,1,0
AFUA_6G07855,1,0,0,1,0,1,0
AFUA_6G08155,1,0,0,1,0,1,0
AFUA_6G08160,1,0,0,1,0,1,0
AFUA_6G09165,1,0,0,1,0,1,0
AFUA_6G09292,1,0,0,1,0,1,0
AFUA_6G09305,1,0,0,1,0,1,0
AFUA_6G09315,1,0,0,1,0,1,0
AFUA_6G09320,1,0,0,1,0,1,0
AFUA_6G09395,1,0,0,1,0,1,0
AFUA_6G09785,1,0,0,1,0,1,0
AFUA_6G09790,1,0,0,1,0,1,0
AFUA_6G10965,1,0,0,1,0,1,0
AFUA_6G11840,1,0,0,1,0,1,0
AFUA_6G12145,1,0,0,1,0,1,0
AFUA_6G12522,1,0,0,1,0,1,0
AFUA_6G13340,1,0,0,1,0,1,0
AFUA_6G13346,1,0,0,1,0,1,0
AFUA_6G13765,1,0,0,1,0,1,0
AFUA_6G13940,1,0,0,1,0,1,0
AFUA_6G13945,1,0,0,1,0,1,0
AFUA_6G14442,1,0,0,1,0,1,0
AFUA_5G00135,1,0,0,1,0,1,0
AFUA_5G00155,1,0,0,1,0,1,0
AFUA_5G00352,1,0,0,1,0,1,0
AFUA_5G00890,1,0,0,1,0,1,0
AFUA_5G01005,1,0,0,1,0,1,0
AFUA_5G01242,1,0,0,1,0,1,0
AFUA_5G01245,1,0,0,1,0,1,0
AFUA_5G01248,1,0,0,1,0,1,0
AFUA_5G01272,1,0,0,1,0,1,0
AFUA_5G01400,1,0,0,1,0,1,0
AFUA_5G02650,1,0,0,1,0,1,0
AFUA_5G02655,1,0,0,1,0,1,0
AFUA_5G02690,1,0,0,1,0,1,0
AFUA_5G02785,1,0,0,1,0,1,0
AFUA_5G03269,1,0,0,1,0,1,0
AFUA_5G03485,1,0,0,1,0,1,0
AFUA_5G04135,1,0,0,1,0,1,0
AFUA_5G04140,1,0,0,1,0,1,0
AFUA_5G04333,1,0,0,1,0,1,0
AFUA_5G04336,1,0,0,1,0,1,0
AFUA_5G06647,1,0,0,1,0,1,0
AFUA_5G06905,1,0,0,1,0,1,0
AFUA_5G07170,1,0,0,1,0,1,0
AFUA_5G07180,1,0,0,1,0,1,0
AFUA_5G07265,1,0,0,1,0,1,0
AFUA_5G07270,1,0,0,1,0,1,0
AFUA_5G08235,1,0,0,1,0,1,0
AFUA_5G08712,1,0,0,1,0,1,0
AFUA_5G08965,1,0,0,1,0,1,0
AFUA_5G11245,1,0,0,1,0,1,0
AFUA_5G11250,1,0,0,1,0,1,0
AFUA_5G11355,1,0,0,1,0,1,0
AFUA_5G11985,1,0,0,1,0,1,0
AFUA_5G12035,1,0,0,1,0,1,0
AFUA_5G12302,1,0,0,1,0,1,0
AFUA_5G12325,1,0,0,1,0,1,0
AFUA_5G12895,1,0,0,1,0,1,0
AFUA_5G13392,1,0,0,1,0,1,0
AFUA_5G13715,1,0,0,1,0,1,0
AFUA_5G13990,1,0,0,1,0,1,0
AFUA_5G13995,1,0,0,1,0,1,0
AFUA_5G14315,1,0,0,1,0,1,0
AFUA_5G14320,1,0,0,1,0,1,0
AFUA_5G14582,1,0,0,1,0,1,0
AFUA_5G14845,1,0,0,1,0,1,0
AFUA_5G14865,1,0,0,1,0,1,0
AFUA_4G00195,1,0,0,1,0,1,0
AFUA_4G00225,1,0,0,1,0,1,0
AFUA_4G00235,1,0,0,1,0,1,0
AFUA_4G00940,1,0,0,1,0,1,0
AFUA_4G01115,1,0,0,1,0,1,0
AFUA_4G01120,1,0,0,1,0,1,0
AFUA_4G01392,1,0,0,1,0,1,0
AFUA_4G02805,1,0,0,1,0,1,0
AFUA_4G03322,1,0,0,1,0,1,0
AFUA_4G03320,1,0,0,1,0,1,0
AFUA_4G03325,1,0,0,1,0,1,0
AFUA_4G03435,1,0,0,1,0,1,0
AFUA_4G03580,1,0,0,1,0,1,0
AFUA_4G03585,1,0,0,1,0,1,0
AFUA_4G03595,1,0,0,1,0,1,0
AFUA_4G03600,1,0,0,1,0,1,0
AFUA_4G03615,1,0,0,1,0,1,0
AFUA_4G03645,1,0,0,1,0,1,0
AFUA_4G03710,1,0,0,1,0,1,0
AFUA_4G03722,1,0,0,1,0,1,0
AFUA_4G03945,1,0,0,1,0,1,0
AFUA_4G03950,1,0,0,1,0,1,0
AFUA_4G04318,1,0,0,1,0,1,0
AFUA_4G04355,1,0,0,1,0,1,0
AFUA_4G04465,1,0,0,1,0,1,0
AFUA_4G04502,1,0,0,1,0,1,0
AFUA_4G04600,1,0,0,1,0,1,0
AFUA_4G04605,1,0,0,1,0,1,0
AFUA_4G04612,1,0,0,1,0,1,0
AFUA_4G04745,1,0,0,1,0,1,0
AFUA_4G05855,1,0,0,1,0,1,0
AFUA_4G05910,1,0,0,1,0,1,0
AFUA_4G05915,1,0,0,1,0,1,0
AFUA_4G05985,1,0,0,1,0,1,0
AFUA_4G06085,1,0,0,1,0,1,0
AFUA_4G07467,1,0,0,1,0,1,0
AFUA_4G07605,1,0,0,1,0,1,0
AFUA_4G07835,1,0,0,1,0,1,0
AFUA_4G08634,1,0,0,1,0,1,0
AFUA_4G08640,1,0,0,1,0,1,0
AFUA_4G09250,1,0,0,1,0,1,0
AFUA_4G09255,1,0,0,1,0,1,0
AFUA_4G11012,1,0,0,1,0,1,0
