,accession,gene
1,>NM_001000000.1,Or2y1e
3,>NM_001000001.1,Or2y1g
5,>NM_001000002.1,Or2y13
7,>NM_001000003.1,Or2y11
9,>NM_001000004.1,Or1x2
11,>NM_001000005.1,Or1ad8
13,>NM_001000006.1,Or2t47d
15,>NM_001000007.1,Or2t48d
17,>NM_001000008.1,Or2t48
19,>NM_001000009.1,Or2t48e
21,>NM_001000010.1,Or2t47
23,>NM_001000011.1,Olr1428
25,>NM_001000012.1,Or11l3
27,>NM_001000013.1,Or2ak6e
29,>NM_001000014.1,Or2ak4
31,>NM_001000015.1,Or2ak6c
33,>NM_001000016.1,Or2ak6
35,>NM_001000017.1,Or2ak5d
37,>NM_001000018.1,Or2ak4e
39,>NM_001000019.1,Or2ak5
41,>NM_001000020.1,Olr1454
43,>NM_001000021.1,Or5af1
45,>NM_001000022.1,Or9e1b
47,>NM_001000023.1,Or2aa1
49,>NM_001000024.1,Or1e1
51,>NM_001000025.1,Or1e1c
53,>NM_001000026.1,Or1e16
55,>NM_001000027.1,Or1e22
57,>NM_001000028.1,Or1e23
59,>NM_001000029.1,Or1e28
61,>NM_001000030.1,Or1e32
63,>NM_001000031.1,Or1e33
65,>NM_001000032.1,Olr1505
67,>NM_001000033.1,Or1r1
69,>NM_001000034.1,Or3a1f
71,>NM_001000035.1,Or1a1
73,>NM_001000036.1,Or1a1b
75,>NM_001000037.1,Or1d2
77,>NM_001000038.1,Or1p1
79,>NM_001000039.1,Or4d2b
81,>NM_001000040.1,Or4d2
83,>NM_001000041.1,Or2m12
85,>NM_001000042.1,Or2l13
87,>NM_001000043.1,Or2l13c
89,>NM_001000044.1,Or2aj4
91,>NM_001000045.1,Olr1564
93,>NM_001000046.1,Olr1563
95,>NM_001000047.1,Or5k14
97,>NM_001000048.1,Or5k8
99,>NM_001000049.1,Or5k16
101,>NM_001000050.1,Or5h17c
103,>NM_001000051.1,Or5h17
105,>NM_001000052.1,Or5h24b
107,>NM_001000054.2,Or10p22
109,>NM_001000055.1,Or6c2b
111,>NM_001000056.1,Or6c201
113,>NM_001000057.1,Or6c6i
115,>NM_001000058.1,Or6c208
117,>NM_001000059.1,Or6c1h
119,>NM_001000060.1,Or6c2
121,>NM_001000061.1,Or6c88
123,>NM_001000062.1,Or9k7
125,>NM_001000063.1,Or9k2b
127,>NM_001000064.1,Or6c33
129,>NM_001000065.1,Or10u3
131,>NM_001000066.1,Or6c69
133,>NM_001000067.1,Or6c216
135,>NM_001000068.1,Olr1024
137,>NM_001000069.1,Or6c211
139,>NM_001000070.1,Or10p1
141,>NM_001000071.1,Or6c7
143,>NM_001000072.1,Olr1057
145,>NM_001000073.1,Olr951
147,>NM_001000074.1,Olr952
149,>NM_001000075.1,Or6c68
151,>NM_001000076.1,Or6c6b
153,>NM_001000077.1,Or6c213c
155,>NM_001000078.1,Or10j27
157,>NM_001000079.1,Or10j3
159,>NM_001000080.1,Or10j3b
161,>NM_001000081.1,Or10aa1
