,accession,gene
1,>XM_001388418.3,An01g00030
3,>XM_001388419.3,An01g00040
5,>XM_001388420.3,An01g00050
7,>XM_001388421.3,An01g00060
9,>XM_001388422.3,An01g00080
11,>XM_001388424.1,An01g00090
13,>XM_001388425.3,An01g00100
15,>XM_001388427.3,An01g00120
17,>XM_001388428.1,An01g00130
19,>XM_001388429.3,An01g00140
21,>XM_001388430.3,An01g00150
23,>XM_001388432.3,An01g00170
25,>XM_001388435.3,An01g00210
27,>XM_001388436.3,An01g00220
29,>XM_001388441.1,An01g00280
31,>XM_001388444.1,An01g00320
33,>XM_001388445.1,abfA
35,>XM_001388446.1,An01g00340
37,>XM_001388448.3,An01g00370
39,>XM_001388449.1,An01g00380
41,>XM_001388450.3,An01g00390
43,>XM_001388451.1,An01g00400
45,>XM_001388454.3,An01g00450
47,>XM_001388455.3,An01g00460
49,>XM_001388457.1,An01g00480
51,>XM_001388462.3,proctase-A
53,>XM_001388464.1,An01g00550
55,>XM_001388465.3,An01g00560
57,>XM_001388466.1,An01g00570
59,>XM_001388468.3,An01g00610
61,>XM_001388471.3,An01g00640
63,>XM_001388475.1,An01g00680
65,>XM_001388476.1,An01g00690
67,>XM_001388478.1,An01g00710
69,>XM_001388479.1,An01g00720
71,>XM_001388482.3,An01g00750
73,>XM_001388484.1,An01g00770
75,>XM_001388485.3,xynB
77,>XM_001388487.1,An01g00800
79,>XM_001388494.1,An01g00870
81,>XM_001388495.1,An01g00880
83,>XM_001388496.1,An01g00890
85,>XM_001388500.1,An01g00930
87,>XM_001388501.3,An01g00940
89,>XM_001388502.3,An01g00950
91,>XM_001388503.1,An01g00960
93,>XM_001388507.1,An01g01010
95,>XM_001388509.1,An01g01030
97,>XM_001388511.1,An01g01050
99,>XM_001388512.3,An01g01060
101,>XM_001388514.1,An01g01080
103,>XM_001388515.3,An01g01090
105,>XM_001388518.3,An01g01130
107,>XM_001388519.1,An01g01140
109,>XM_001388520.3,An01g01150
111,>XM_001388521.3,An01g01160
113,>XM_001388522.1,An01g01170
115,>XM_001388524.1,An01g01190
117,>XM_001388527.1,An01g01230
119,>XM_001388529.1,An01g01260
121,>XM_001388531.1,An01g01280
123,>XM_001388537.1,An01g01340
125,>XM_001388538.1,An01g01350
127,>XM_001388539.1,An01g01360
129,>XM_001388541.1,An01g01380
131,>XM_001388542.1,An01g01390
133,>XM_001388543.1,An01g01400
135,>XM_001388546.3,An01g01430
137,>XM_001388551.1,An01g01475
139,>XM_001388553.1,An01g01490
141,>XM_001388554.1,An01g01500
143,>XM_001388555.1,An01g01520
145,>XM_001388556.1,An01g01530
147,>XM_001388557.3,An01g01540
149,>XM_001388558.3,An01g01550
151,>XM_001388559.3,An01g01560
153,>XM_001388560.1,An01g01580
155,>XM_001388564.1,An01g01620
157,>XM_001388566.3,An01g01640
159,>XM_001388577.3,An01g01750
161,>XM_001388580.1,An01g01780
163,>XM_001388583.3,An01g01810
165,>XM_001388584.3,catR
167,>XM_001388585.3,An01g01830
169,>XM_001388586.1,An01g01840
171,>XM_001388590.1,An01g01880
173,>XM_001388592.1,An01g01900
175,>XM_001388593.1,An01g01920
177,>XM_001388595.3,An01g01940
179,>XM_001388596.1,An01g01950
181,>XM_001388597.3,An01g01960
183,>XM_001388603.1,An01g02020
185,>XM_001388606.3,An01g02050
187,>XM_001388608.1,An01g02070
189,>XM_001388611.3,An01g02100
191,>XM_001388612.3,An01g02110
193,>XM_001388613.1,An01g02120
195,>XM_001388618.1,An01g02170
197,>XM_001388619.3,An01g02180
199,>XM_001388620.1,An01g02190
201,>XM_001388621.3,An01g02200
203,>XM_001388622.1,An01g02210
205,>XM_001388624.1,An01g02230
207,>XM_001388627.3,An01g02260
209,>XM_001388631.3,An01g02300
211,>XM_001388632.3,An01g02310
213,>XM_001388633.3,An01g02320
215,>XM_001388634.3,An01g02330
217,>XM_001388635.3,An01g02340
219,>XM_001388638.3,An01g02370
221,>XM_001388642.3,An01g02410
223,>XM_001388643.1,An01g02420
225,>XM_001388645.1,An01g02440
227,>XM_001388646.3,An01g02460
229,>XM_001388650.3,An01g02500
231,>XM_001388651.3,An01g02510
233,>XM_001388662.3,An01g02630
235,>XM_001388663.3,An01g02640
237,>XM_001388667.1,An01g02680
239,>XM_001388670.1,An01g02720
241,>XM_001388671.3,An01g02730
243,>XM_001388672.1,An01g02740
245,>XM_001388674.1,An01g02760
247,>XM_001388677.1,An01g02800
249,>XM_001388678.1,An01g02810
251,>XM_001388680.3,An01g02830
253,>XM_001388681.3,An01g02840
255,>XM_001388683.1,An01g02860
257,>XM_001388684.3,An01g02870
259,>XM_001388685.3,An01g02880
261,>XM_001388687.3,An01g02900
263,>XM_001388688.3,An01g02910
265,>XM_001388689.3,An01g02920
267,>XM_001388690.1,An01g02930
269,>XM_001388692.3,An01g02950
271,>XM_001388693.3,An01g02960
273,>XM_001388694.3,An01g02970
275,>XM_001388696.3,An01g02990
277,>XM_001388697.3,An01g03000
279,>XM_001388698.1,An01g03010
281,>XM_001388700.1,An01g03030
283,>XM_001388703.3,An01g03060
285,>XM_001388704.3,An01g03070
287,>XM_001388705.1,An01g03080
289,>XM_001388708.3,An01g03110
291,>XM_001388709.3,An01g03120
293,>XM_001388710.3,An01g03130
295,>XM_001388712.3,An01g03150
297,>XM_001388713.3,An01g03160
299,>XM_001388714.1,An01g03170
301,>XM_001388715.3,An01g03180
303,>XM_001388718.1,An01g03210
305,>XM_001388719.1,An01g03220
307,>XM_001388720.3,An01g03230
309,>XM_001388722.1,An01g03250
311,>XM_001388723.3,An01g03260
313,>XM_001388724.3,An01g03270
315,>XM_001388728.3,An01g03330
317,>XM_001388729.3,An01g03340
319,>XM_001388730.3,An01g03350
321,>XM_001388733.3,An01g03390
323,>XM_001388735.1,An01g03410
325,>XM_001388739.3,rpl15
327,>XM_001388740.3,An01g03470
329,>XM_001388741.3,An01g03480
331,>XM_001388746.3,An01g03530
333,>XM_001388750.3,An01g03570
335,>XM_001388751.3,An01g03580
337,>XM_001388754.3,An01g03610
339,>XM_001388757.3,An01g03640
341,>XM_001388758.3,An01g03650
343,>XM_001388761.3,An01g03680
345,>XM_001388763.1,An01g03700
347,>XM_001388765.3,An01g03720
349,>XM_001388766.1,An01g03730
351,>XM_001388767.3,xyrA
353,>XM_001388768.1,An01g03750
355,>XM_001388769.1,An01g03760
357,>XM_001388770.3,An01g03770
359,>XM_001388772.1,An01g03790
361,>XM_001388774.1,An01g03810
363,>XM_001388775.3,An01g03820
365,>XM_001388779.3,An01g03870
367,>XM_001388794.3,An01g04030
369,>XM_001388795.3,sarA
371,>XM_001388796.3,An01g04050
373,>XM_001388799.3,An01g04080
375,>XM_001388802.3,An01g04110
377,>XM_001388803.3,An01g04120
379,>XM_001388806.3,An01g04150
381,>XM_001388809.3,An01g04180
383,>XM_001388812.3,An01g04210
385,>XM_001388814.3,An01g04230
387,>XM_001388815.3,An01g04240
389,>XM_001388816.1,An01g04250
391,>XM_001388817.3,An01g04260
393,>XM_001388819.3,An01g04280
395,>XM_001388820.1,An01g04300
397,>XM_001388821.3,An01g04310
399,>XM_001388823.1,An01g04330
401,>XM_001388826.3,An01g04360
403,>XM_001388827.3,An01g04370
405,>XM_001388828.1,An01g04380
407,>XM_001388830.3,An01g04400
409,>XM_001388831.3,An01g04410
411,>XM_001388832.3,An01g04420
413,>XM_001388833.3,An01g04430
415,>XM_001388835.3,An01g04450
417,>XM_001388844.3,An01g04530
419,>XM_001388847.3,An01g04560
421,>XM_001388848.1,An01g04570
423,>XM_001388849.3,An01g04590
425,>XM_001388850.1,prpA
427,>XM_001388851.1,An01g04610
429,>XM_001388852.1,An01g04620
431,>XM_001388853.3,An01g04630
433,>XM_001388854.3,An01g04640
435,>XM_001388855.3,An01g04650
437,>XM_001388856.1,An01g04660
439,>XM_001388857.1,An01g04670
441,>XM_001388858.1,An01g04680
443,>XM_001388859.1,An01g04690
445,>XM_001388860.1,An01g04700
447,>XM_001388861.3,An01g04710
449,>XM_001388862.3,An01g04720
451,>XM_001388863.3,An01g04730
453,>XM_001388864.3,An01g04740
455,>XM_001388872.3,An01g04830
457,>XM_001388877.3,An01g04880
459,>XM_001388879.3,An01g04900
461,>XM_001388880.3,An01g04910
463,>XM_001388881.3,An01g04920
465,>XM_001388882.3,An01g04930
467,>XM_001388886.3,An01g04970
469,>XM_001388887.3,An01g04980
471,>XM_001388892.3,An01g05030
473,>XM_001388893.1,An01g05040
475,>XM_001388894.3,An01g05050
477,>XM_001388895.3,An01g05060
479,>XM_001388896.3,An01g05070
481,>XM_001388899.1,An01g05100
483,>XM_001388904.3,An01g05150
485,>XM_001388907.1,An01g05190
487,>XM_001388908.3,An01g05200
489,>XM_001388911.3,An01g05230
491,>XM_001388914.3,An01g05260
493,>XM_001388915.1,An01g05270
495,>XM_001388916.1,An01g05280
497,>XM_001388920.3,An01g05320
499,>XM_001388922.3,An01g05340
501,>XM_001388924.3,An01g05360
503,>XM_001388925.3,An01g05370
505,>XM_001388928.1,An01g05400
507,>XM_001388929.3,An01g05410
509,>XM_001388932.1,An01g05450
511,>XM_001388934.1,An01g05470
513,>XM_001388938.3,An01g05510
515,>XM_001388940.3,An01g05530
517,>XM_001388943.1,An01g05570
519,>XM_001388944.3,An01g05580
521,>XM_001388949.1,An01g05630
523,>XM_001388950.3,An01g05640
525,>XM_001388951.3,An01g05650
