,accession,gene
1,>NM_001025786.5,ain-2
3,>NM_001025787.5,xnp-1
5,>NM_001025788.2,B0205.12
7,>NM_001025789.2,srz-85
9,>NM_001025790.1,srz-85
11,>NM_001025792.5,avr-14
13,>NM_001025795.3,gpa-14
15,>NM_001025797.3,B0261.8
17,>NM_001025801.4,vps-51
19,>NM_001025804.6,nhr-23
21,>NM_001025806.7,nhr-23
23,>NM_001025808.6,cel-1
25,>NM_001025809.3,cel-1
27,>NM_001025811.4,C06A5.12
29,>NM_001025812.6,tol-1
31,>NM_001025813.2,unc-89
33,>NM_001025814.4,unc-89
35,>NM_001025817.4,unc-89
37,>NM_001025818.3,unc-89
39,>NM_001025820.5,C09D4.1
41,>NM_001025821.6,C09D4.1
43,>NM_001025822.4,spr-4
45,>NM_001025823.6,spr-4
47,>NM_001025825.5,lin-10
49,>NM_001025827.6,lin-41
51,>NM_001025828.7,lin-41
53,>NM_001025830.8,C17E4.11
55,>NM_001025831.4,pals-9
57,>NM_001025832.4,pals-8
59,>NM_001025833.10,dao-5
61,>NM_001025834.6,dao-5
63,>NM_001025837.4,pbrm-1
65,>NM_001025840.7,C26C6.9
67,>NM_001025841.4,mbd-2
69,>NM_001025842.3,C31H5.7
71,>NM_001025843.4,unc-11
73,>NM_001025845.4,unc-11
75,>NM_001025846.6,rpl-13
77,>NM_001025852.5,imp-1
79,>NM_001025853.6,imp-1
81,>NM_001025854.6,imp-1
83,>NM_001025855.3,C36B1.13
85,>NM_001025856.4,cye-1
87,>NM_001025857.4,cye-1
89,>NM_001025858.4,pqn-21
91,>NM_001025865.4,ahr-1
93,>NM_001025866.5,ahr-1
95,>NM_001025871.7,nhr-64
97,>NM_001025872.7,nhr-64
99,>NM_001025873.7,gip-2
101,>NM_001025874.3,C46H11.10
103,>NM_001025876.5,lfe-2
105,>NM_001025877.6,lfe-2
107,>NM_001025878.8,lfe-2
109,>NM_001025879.7,tba-2
111,>NM_001025880.3,gale-1
113,>NM_001025881.7,gale-1
115,>NM_001025882.5,smg-1
117,>NM_001025884.6,eya-1
119,>NM_001025890.6,C54C8.12
121,>NM_001025896.3,D1007.10
123,>NM_001025897.6,D1007.10
125,>NM_001025898.5,D1007.10
127,>NM_001025899.3,D1007.18
129,>NM_001025900.5,tmem-39
131,>NM_001025901.6,tmem-39
133,>NM_001025903.4,aex-1
135,>NM_001025904.2,D2030.12
137,>NM_001025905.6,D2030.2
139,>NM_001025909.6,DY3.8
141,>NM_001025910.5,lin-44
143,>NM_001025912.6,F02E9.10
145,>NM_001025913.5,F02E9.10
147,>NM_001025914.6,lin-28
149,>NM_001025916.5,kcnl-2
151,>NM_001025918.8,acox-1.1
153,>NM_001025921.5,unc-87
155,>NM_001025922.6,unc-87
157,>NM_001025931.4,F13G3.12
159,>NM_001025932.6,F13G3.7
161,>NM_001025935.5,hxk-1
163,>NM_001025937.4,F14B6.6
165,>NM_001025939.7,casy-1
167,>NM_001025942.4,glr-2
169,>NM_001025943.3,glr-2
171,>NM_001025951.3,swp-1
173,>NM_001025953.5,B0361.11
175,>NM_001025954.7,cwf-19L2
177,>NM_001025955.5,cwf-19L2
179,>NM_001025956.6,psd-1
181,>NM_001025957.6,psd-1
183,>NM_001025958.4,dac-1
185,>NM_001025959.5,dac-1
187,>NM_001025962.3,spk-1
189,>NM_001025963.6,spk-1
191,>NM_001025966.4,BE10.5
193,>NM_001025967.2,C02F5.13
195,>NM_001025969.2,C03C10.7
197,>NM_001025971.8,glam-1
199,>NM_001025974.9,C05D11.1
201,>NM_001025978.3,daf-4
203,>NM_001025979.5,bas-1
205,>NM_001025980.6,bas-1
207,>NM_001025981.3,ckk-1
209,>NM_001025982.5,ckk-1
211,>NM_001025984.4,C07A9.12
213,>NM_001025985.3,C07A9.13
215,>NM_001025987.5,ugt-60
217,>NM_001025988.8,cpg-1
219,>NM_001025989.5,cpg-1
221,>NM_001025993.5,lin-39
223,>NM_001025995.3,egl-5
225,>NM_001025996.3,egl-5
227,>NM_001025998.4,C09E7.10
229,>NM_001025999.5,pdfr-1
231,>NM_001026000.5,pdfr-1
233,>NM_001026002.6,plk-1
235,>NM_001026005.5,C16C10.13
237,>NM_001026006.8,C18D11.6
239,>NM_001026007.6,C18D11.7
241,>NM_001026008.6,C23G10.2
243,>NM_001026009.3,elf-1
245,>NM_001026010.5,elf-1
247,>NM_001026013.3,mdt-21
249,>NM_001026014.5,pxl-1
251,>NM_001026015.3,pxl-1
253,>NM_001026017.5,tag-250
255,>NM_001026020.7,unc-86
257,>NM_001026024.4,sel-8
259,>NM_001026025.4,C34C12.9
261,>NM_001026029.5,prx-10
263,>NM_001026031.5,ced-4
265,>NM_001026032.3,ced-4
267,>NM_001026033.5,C36A4.11
269,>NM_001026034.6,acs-19
271,>NM_001026035.4,acs-19
273,>NM_001026036.1,C36E8.6
275,>NM_001026037.2,nlp-48
277,>NM_001026038.7,pal-1
279,>NM_001026041.2,C38H2.3
281,>NM_001026042.6,C40H1.8
283,>NM_001026043.4,C40H1.9
285,>NM_001026045.3,fbxb-87
287,>NM_001026047.5,unc-93
289,>NM_001026049.7,gsr-1
291,>NM_001026051.5,C46F11.6
293,>NM_001026052.3,C48B4.13
295,>NM_001026054.4,ced-7
297,>NM_001026057.4,C48D5.3
299,>NM_001026058.3,C54C6.7
301,>NM_001026062.5,D2045.9
303,>NM_001026063.7,E02H9.3
305,>NM_001026064.6,E02H9.3
307,>NM_001026067.5,eng-1
309,>NM_001026069.8,aldo-2
311,>NM_001026071.4,F02A9.1
313,>NM_001026072.2,F02A9.7
315,>NM_001026073.6,F08F8.10
317,>NM_001026074.6,F08F8.10
319,>NM_001026080.5,tir-1
321,>NM_001026083.7,rpl-3
323,>NM_001026088.5,soc-2
325,>NM_001026090.2,B0035.18
327,>NM_001026095.6,unc-44
329,>NM_001026096.4,unc-44
331,>NM_001026099.6,jnk-1
333,>NM_001026105.4,unc-30
335,>NM_001026106.2,unc-30
337,>NM_001026107.7,rde-11
339,>NM_001026109.5,C01B10.11
341,>NM_001026111.5,hil-7
343,>NM_001026112.5,hil-7
345,>NM_001026117.4,icln-1
347,>NM_001026125.3,dyf-3
349,>NM_001026128.4,C06A12.8
351,>NM_001026129.9,C06A6.4
353,>NM_001026130.9,C06A6.4
355,>NM_001026131.5,C06A6.7
357,>NM_001026132.7,nhr-105
