,accession,gene
0,>NM_001007095.3,CG42637
1,>NM_001007096.3,CG42637
2,>NM_001014453.2,PNUTS
3,>NM_001014454.2,PNUTS
4,>NM_001014455.2,PNUTS
5,>NM_001014456.1,Gr22b
6,>NM_001014457.3,Obp22a
7,>NM_001014458.5,CG33543
8,>NM_001014459.2,dpr3
9,>NM_001014460.3,sau
10,>NM_001014461.2,CG9967
11,>NM_001014462.3,Rbp9
12,>NM_001014463.4,tim
13,>NM_001014464.2,for
14,>NM_001014465.3,smog
15,>NM_001014467.2,qtc
16,>NM_001014468.2,qtc
17,>NM_001014469.2,qtc
18,>NM_001014474.4,Ddr
19,>NM_001014475.2,nrv2
20,>NM_001014476.2,nrv2
21,>NM_001014477.2,Gart
22,>NM_001014478.2,RapGAP1
23,>NM_001014479.2,RapGAP1
24,>NM_001014480.4,dpr2
25,>NM_001014481.3,kuz
26,>NM_001014482.3,spel1
27,>NM_001014484.2,CG15279
28,>NM_001014485.5,side-II
29,>NM_001014486.3,dac
30,>NM_001014487.3,dac
31,>NM_001014488.2,CG33552
32,>NM_001014489.2,lectin-37Da
33,>NM_001014490.2,lectin-37Db
34,>NM_001014491.2,ref
35,>NM_001014492.2,CG33511
36,>NM_001014493.3,CG33510
37,>NM_001014494.2,CG33509
38,>NM_001014495.2,ppk13
39,>NM_001014496.3,Ac3
40,>NM_001014497.2,CG2225
41,>NM_001014498.3,Clamp
42,>NM_001014500.3,mim
43,>NM_001014501.3,sPLA2
44,>NM_001014502.2,scra
45,>NM_001014503.2,lig
46,>NM_001014504.3,Asap
47,>NM_001014505.2,coil
48,>NM_001014507.2,Acsl
49,>NM_001014508.2,Acsl
50,>NM_001014509.2,Acsl
51,>NM_001014510.2,Acsl
52,>NM_001014511.2,Acsl
53,>NM_001014512.2,Acsl
54,>NM_001014513.2,stmA
55,>NM_001014514.2,hig
56,>NM_001014515.2,14-3-3zeta
57,>NM_001014516.2,14-3-3zeta
58,>NM_001014518.3,psq
59,>NM_001014519.3,psq
60,>NM_001014520.3,psq
61,>NM_001014522.2,Mp20
62,>NM_001014523.2,cnn
63,>NM_001014524.2,Vmat
64,>NM_001014525.3,Vmat
65,>NM_001014526.2,Vmat
66,>NM_001014527.2,Asx
67,>NM_001014528.3,CG33506
68,>NM_001014529.3,U3-55K
69,>NM_001014530.1,CheB53a
70,>NM_001014531.1,CheB53b
71,>NM_001014532.3,Acp53C14c
72,>NM_001014533.2,Vkor
73,>NM_001014534.2,CG15109
74,>NM_001014535.2,CG15117
75,>NM_001014536.2,ena
76,>NM_001014537.3,ena
77,>NM_001014538.4,CG10737
78,>NM_001014539.3,par-1
79,>NM_001014540.3,par-1
80,>NM_001014542.3,par-1
81,>NM_001014543.2,a
82,>NM_001014545.3,Obsc
83,>NM_001014546.2,alpha
84,>NM_001014547.4,Nop60B
85,>NM_001014548.2,CG11406
86,>NM_001014549.3,Slik
87,>NM_001014551.3,RpL41
88,>NM_001014552.3,zip
89,>NM_001014553.3,zip
