,total,NM,NR,XM,XR,NM_XM,NR_XR
A2M,5,4,0,1,0,5,0
NAT2,2,1,0,1,0,2,0
ACADM,5,5,0,0,0,5,0
ACADS,2,2,0,0,0,2,0
ACADVL,10,4,0,5,1,9,1
ACAT1,15,13,2,0,0,13,2
ACVRL1,11,11,0,0,0,11,0
PSEN1,10,2,0,8,0,10,0
ADA,4,3,1,0,0,3,1
SGCA,3,2,1,0,0,2,1
ADRB2,1,1,0,0,0,1,0
ADRB3,1,1,0,0,0,1,0
ADSL,10,7,1,2,0,9,1
AGA,4,2,1,1,0,3,1
AGL,7,5,0,2,0,7,0
AGXT,1,1,0,0,0,1,0
ALAD,7,3,0,4,0,7,0
ALAS2,3,3,0,0,0,3,0
ABCD1,3,1,0,2,0,3,0
ALDOB,1,1,0,0,0,1,0
AMPD1,2,2,0,0,0,2,0
ANK1,8,8,0,0,0,8,0
APC,37,35,2,0,0,35,2
APOA1,5,4,0,1,0,5,0
APOC3,1,1,0,0,0,1,0
APOE,5,5,0,0,0,5,0
APOH,1,1,0,0,0,1,0
FAS,19,5,7,7,0,12,7
AR,5,5,0,0,0,5,0
ARG1,4,3,1,0,0,3,1
ARSB,12,2,0,8,2,10,2
ARSL,10,5,0,5,0,10,0
ASL,4,4,0,0,0,4,0
ASPA,3,2,0,1,0,3,0
ASS1,2,2,0,0,0,2,0
ATM,18,4,0,13,1,17,1
ATP7A,3,2,1,0,0,2,1
ATP7B,41,41,0,0,0,41,0
AVPR2,3,2,1,0,0,2,1
BCHE,3,1,2,0,0,1,2
BCKDHB,29,14,6,4,5,18,11
BLM,7,4,0,3,0,7,0
BRCA2,6,5,1,0,0,5,1
BTK,3,3,0,0,0,3,0
SERPING1,2,2,0,0,0,2,0
C2,6,6,0,0,0,6,0
C3,1,1,0,0,0,1,0
C6,12,2,0,10,0,12,0
C8B,4,3,0,1,0,4,0
CA2,2,2,0,0,0,2,0
CACNA1A,5,5,0,0,0,5,0
CACNA1S,2,1,0,1,0,2,0
CAPN3,6,6,0,0,0,6,0
CBS,27,5,0,21,1,26,1
CD36,26,15,1,10,0,25,1
CD3G,2,1,0,1,0,2,0
CD40LG,1,1,0,0,0,1,0
CDK4,1,1,0,0,0,1,0
CDKN1C,5,5,0,0,0,5,0
CDKN2A,10,5,0,5,0,10,0
CETP,3,2,0,1,0,3,0
CHRNA1,4,2,0,2,0,4,0
CHRNE,2,1,0,1,0,2,0
LYST,16,2,1,13,0,15,1
ERCC8,4,4,0,0,0,4,0
CLCN1,2,1,1,0,0,1,1
CLCN5,8,5,0,3,0,8,0
CLCNKB,2,2,0,0,0,2,0
CNGA1,5,3,0,2,0,5,0
COL1A1,4,1,0,3,0,4,0
COL1A2,1,1,0,0,0,1,0
COL3A1,1,1,0,0,0,1,0
COL4A3,8,1,0,6,1,7,1
COL4A4,27,1,0,23,3,24,3
COL5A1,3,2,0,1,0,3,0
COL7A1,13,1,0,9,3,10,3
COMP,1,1,0,0,0,1,0
CP,9,1,1,6,1,7,2
