,accession,gene
1,>NM_001035536.3,HYP1
3,>NM_001035537.3,AT3G01310
5,>NM_001035538.2,AT3G01323
7,>NM_001035539.1,AT3G01340
9,>NM_001035540.3,AT3G01360
11,>NM_001035542.1,DRH1
13,>NM_001035543.1,SOX
15,>NM_001035544.2,AT3G02065
17,>NM_001035546.1,AT3G02510
19,>NM_001035547.2,AT3G02750
21,>NM_001035548.1,AT3G02750
23,>NM_001035549.1,VTC4
25,>NM_001035550.1,AT3G03010
27,>NM_001035551.2,AT3G03100
29,>NM_001035552.2,ECT1
31,>NM_001035553.2,AT3G04130
33,>NM_001035554.2,PDLP4
35,>NM_001035555.2,AT3G04545
37,>NM_001035557.2,WRKY39
39,>NM_001035558.1,TPR10
41,>NM_001035559.1,AT3G04903
43,>NM_001035560.1,WNK1
45,>NM_001035561.1,LCR41
47,>NM_001035562.1,LCR18
49,>NM_001035563.2,AT3G05165
51,>NM_001035564.2,AT3G05230
53,>NM_001035565.3,AT3G05327
55,>NM_001035566.2,ALY2
57,>NM_001035568.3,AT3G05727
59,>NM_001035569.2,AT3G05741
61,>NM_001035570.1,TRM6
63,>NM_001035572.1,AT3G06340
65,>NM_001035573.2,AT3G06700
67,>NM_001035574.2,AT3G06700
69,>NM_001035575.2,LCR44
71,>NM_001035576.2,LCR43
73,>NM_001035577.1,AT3G07110
75,>NM_001035578.2,AT3G07300
77,>NM_001035579.1,PUB9
79,>NM_001035580.1,AT3G07565
81,>NM_001035581.3,AT3G07565
83,>NM_001035582.1,COL9
85,>NM_001035583.1,PLC2
87,>NM_001035584.2,AT3G08780
89,>NM_001035585.4,RVE8
91,>NM_001035586.1,AT3G09630
93,>NM_001035587.3,APX2
95,>NM_001035588.3,AT3G09690
97,>NM_001035589.3,PIP5K9
99,>NM_001035590.2,AT3G10195
101,>NM_001035591.2,AT3G10300
103,>NM_001035592.2,SCPL7
105,>NM_001035593.2,MSD1
107,>NM_001035594.1,AT3G11470
109,>NM_001035595.1,AT3G11620
111,>NM_001035596.3,AT3G11720
113,>NM_001035598.1,AT3G11930
115,>NM_001035600.3,EML1
117,>NM_001035601.1,TGA6
119,>NM_001035602.3,AT3G12345
121,>NM_001035603.1,PSF2
123,>NM_001035604.2,FYD
125,>NM_001035605.2,AT3G12620
127,>NM_001035606.4,AT3G12977
129,>NM_001035608.2,AT3G13030
131,>NM_001035609.1,AT3G13403
133,>NM_001035610.2,AT3G13430
135,>NM_001035611.2,TBP1
137,>NM_001035612.1,ECT2
139,>NM_001035613.1,ECT2
141,>NM_001035614.2,FUS9
143,>NM_001035615.2,AT3G13882
145,>NM_001035617.1,GOX1
147,>NM_001035618.2,AT3G14830
