,total,NM,NR,XM,XR,NM_XM,NR_XR
An01g00030,1,0,0,1,0,1,0
An01g00040,1,0,0,1,0,1,0
An01g00050,1,0,0,1,0,1,0
An01g00060,1,0,0,1,0,1,0
An01g00080,1,0,0,1,0,1,0
An01g00090,1,0,0,1,0,1,0
An01g00100,1,0,0,1,0,1,0
An01g00120,1,0,0,1,0,1,0
An01g00130,1,0,0,1,0,1,0
An01g00140,1,0,0,1,0,1,0
An01g00150,1,0,0,1,0,1,0
An01g00170,1,0,0,1,0,1,0
An01g00210,1,0,0,1,0,1,0
An01g00220,1,0,0,1,0,1,0
An01g00280,1,0,0,1,0,1,0
An01g00320,1,0,0,1,0,1,0
abfA,1,0,0,1,0,1,0
An01g00340,1,0,0,1,0,1,0
An01g00370,1,0,0,1,0,1,0
An01g00380,1,0,0,1,0,1,0
An01g00390,1,0,0,1,0,1,0
An01g00400,1,0,0,1,0,1,0
An01g00450,1,0,0,1,0,1,0
An01g00460,1,0,0,1,0,1,0
An01g00480,1,0,0,1,0,1,0
proctase-A,1,0,0,1,0,1,0
An01g00550,1,0,0,1,0,1,0
An01g00560,1,0,0,1,0,1,0
An01g00570,1,0,0,1,0,1,0
An01g00610,1,0,0,1,0,1,0
An01g00640,1,0,0,1,0,1,0
An01g00680,1,0,0,1,0,1,0
An01g00690,1,0,0,1,0,1,0
An01g00710,1,0,0,1,0,1,0
An01g00720,1,0,0,1,0,1,0
An01g00750,1,0,0,1,0,1,0
An01g00770,1,0,0,1,0,1,0
xynB,1,0,0,1,0,1,0
An01g00800,1,0,0,1,0,1,0
An01g00870,1,0,0,1,0,1,0
An01g00880,1,0,0,1,0,1,0
An01g00890,1,0,0,1,0,1,0
An01g00930,1,0,0,1,0,1,0
An01g00940,1,0,0,1,0,1,0
An01g00950,1,0,0,1,0,1,0
An01g00960,1,0,0,1,0,1,0
An01g01010,1,0,0,1,0,1,0
An01g01030,1,0,0,1,0,1,0
An01g01050,1,0,0,1,0,1,0
An01g01060,1,0,0,1,0,1,0
An01g01080,1,0,0,1,0,1,0
An01g01090,1,0,0,1,0,1,0
An01g01130,1,0,0,1,0,1,0
An01g01140,1,0,0,1,0,1,0
An01g01150,1,0,0,1,0,1,0
An01g01160,1,0,0,1,0,1,0
An01g01170,1,0,0,1,0,1,0
An01g01190,1,0,0,1,0,1,0
An01g01230,1,0,0,1,0,1,0
An01g01260,1,0,0,1,0,1,0
An01g01280,1,0,0,1,0,1,0
An01g01340,1,0,0,1,0,1,0
An01g01350,1,0,0,1,0,1,0
An01g01360,1,0,0,1,0,1,0
An01g01380,1,0,0,1,0,1,0
An01g01390,1,0,0,1,0,1,0
An01g01400,1,0,0,1,0,1,0
An01g01430,1,0,0,1,0,1,0
An01g01475,1,0,0,1,0,1,0
An01g01490,1,0,0,1,0,1,0
An01g01500,1,0,0,1,0,1,0
An01g01520,1,0,0,1,0,1,0
An01g01530,1,0,0,1,0,1,0
An01g01540,1,0,0,1,0,1,0
An01g01550,1,0,0,1,0,1,0
An01g01560,1,0,0,1,0,1,0
An01g01580,1,0,0,1,0,1,0
An01g01620,1,0,0,1,0,1,0
An01g01640,1,0,0,1,0,1,0
An01g01750,1,0,0,1,0,1,0
An01g01780,1,0,0,1,0,1,0
An01g01810,1,0,0,1,0,1,0
catR,1,0,0,1,0,1,0
An01g01830,1,0,0,1,0,1,0
An01g01840,1,0,0,1,0,1,0
An01g01880,1,0,0,1,0,1,0
An01g01900,1,0,0,1,0,1,0
An01g01920,1,0,0,1,0,1,0
An01g01940,1,0,0,1,0,1,0
An01g01950,1,0,0,1,0,1,0
An01g01960,1,0,0,1,0,1,0
An01g02020,1,0,0,1,0,1,0
An01g02050,1,0,0,1,0,1,0
An01g02070,1,0,0,1,0,1,0
An01g02100,1,0,0,1,0,1,0
An01g02110,1,0,0,1,0,1,0
An01g02120,1,0,0,1,0,1,0
An01g02170,1,0,0,1,0,1,0
An01g02180,1,0,0,1,0,1,0
An01g02190,1,0,0,1,0,1,0
An01g02200,1,0,0,1,0,1,0
An01g02210,1,0,0,1,0,1,0
An01g02230,1,0,0,1,0,1,0
An01g02260,1,0,0,1,0,1,0
An01g02300,1,0,0,1,0,1,0
An01g02310,1,0,0,1,0,1,0
An01g02320,1,0,0,1,0,1,0
An01g02330,1,0,0,1,0,1,0
An01g02340,1,0,0,1,0,1,0
An01g02370,1,0,0,1,0,1,0
An01g02410,1,0,0,1,0,1,0
An01g02420,1,0,0,1,0,1,0
An01g02440,1,0,0,1,0,1,0
An01g02460,1,0,0,1,0,1,0
An01g02500,1,0,0,1,0,1,0
An01g02510,1,0,0,1,0,1,0
An01g02630,1,0,0,1,0,1,0
An01g02640,1,0,0,1,0,1,0
An01g02680,1,0,0,1,0,1,0
An01g02720,1,0,0,1,0,1,0
An01g02730,1,0,0,1,0,1,0
An01g02740,1,0,0,1,0,1,0
An01g02760,1,0,0,1,0,1,0
An01g02800,1,0,0,1,0,1,0
An01g02810,1,0,0,1,0,1,0
An01g02830,1,0,0,1,0,1,0
An01g02840,1,0,0,1,0,1,0
An01g02860,1,0,0,1,0,1,0
An01g02870,1,0,0,1,0,1,0
An01g02880,1,0,0,1,0,1,0
An01g02900,1,0,0,1,0,1,0
An01g02910,1,0,0,1,0,1,0
An01g02920,1,0,0,1,0,1,0
An01g02930,1,0,0,1,0,1,0
An01g02950,1,0,0,1,0,1,0
An01g02960,1,0,0,1,0,1,0
An01g02970,1,0,0,1,0,1,0
An01g02990,1,0,0,1,0,1,0
An01g03000,1,0,0,1,0,1,0
An01g03010,1,0,0,1,0,1,0
An01g03030,1,0,0,1,0,1,0
An01g03060,1,0,0,1,0,1,0
An01g03070,1,0,0,1,0,1,0
An01g03080,1,0,0,1,0,1,0
An01g03110,1,0,0,1,0,1,0
An01g03120,1,0,0,1,0,1,0
An01g03130,1,0,0,1,0,1,0
An01g03150,1,0,0,1,0,1,0
An01g03160,1,0,0,1,0,1,0
An01g03170,1,0,0,1,0,1,0
An01g03180,1,0,0,1,0,1,0
An01g03210,1,0,0,1,0,1,0
An01g03220,1,0,0,1,0,1,0
An01g03230,1,0,0,1,0,1,0
An01g03250,1,0,0,1,0,1,0
An01g03260,1,0,0,1,0,1,0
An01g03270,1,0,0,1,0,1,0
An01g03330,1,0,0,1,0,1,0
An01g03340,1,0,0,1,0,1,0
An01g03350,1,0,0,1,0,1,0
An01g03390,1,0,0,1,0,1,0
An01g03410,1,0,0,1,0,1,0
rpl15,1,0,0,1,0,1,0
An01g03470,1,0,0,1,0,1,0
An01g03480,1,0,0,1,0,1,0
An01g03530,1,0,0,1,0,1,0
An01g03570,1,0,0,1,0,1,0
An01g03580,1,0,0,1,0,1,0
An01g03610,1,0,0,1,0,1,0
An01g03640,1,0,0,1,0,1,0
An01g03650,1,0,0,1,0,1,0
An01g03680,1,0,0,1,0,1,0
An01g03700,1,0,0,1,0,1,0
An01g03720,1,0,0,1,0,1,0
An01g03730,1,0,0,1,0,1,0
xyrA,1,0,0,1,0,1,0
An01g03750,1,0,0,1,0,1,0
