,total,NM,NR,XM,XR,NM_XM,NR_XR
TFC3,1,1,0,0,0,1,0
VPS8,1,1,0,0,0,1,0
EFB1,1,1,0,0,0,1,0
SSA1,1,1,0,0,0,1,0
ERP2,1,1,0,0,0,1,0
FUN14,1,1,0,0,0,1,0
SPO7,1,1,0,0,0,1,0
MDM10,1,1,0,0,0,1,0
SWC3,1,1,0,0,0,1,0
CYS3,1,1,0,0,0,1,0
DEP1,1,1,0,0,0,1,0
SYN8,1,1,0,0,0,1,0
NTG1,1,1,0,0,0,1,0
TPD3,1,1,0,0,0,1,0
PSK1,1,1,0,0,0,1,0
LDS1,1,1,0,0,0,1,0
FUN30,1,1,0,0,0,1,0
ATS1,1,1,0,0,0,1,0
CCR4,1,1,0,0,0,1,0
FUN26,1,1,0,0,0,1,0
PMT2,1,1,0,0,0,1,0
LTE1,1,1,0,0,0,1,0
MAK16,1,1,0,0,0,1,0
DRS2,1,1,0,0,0,1,0
SAW1,1,1,0,0,0,1,0
FRT2,1,1,0,0,0,1,0
MYO4,1,1,0,0,0,1,0
SNC1,1,1,0,0,0,1,0
GIP4,1,1,0,0,0,1,0
PRP45,1,1,0,0,0,1,0
POP5,1,1,0,0,0,1,0
MTW1,1,1,0,0,0,1,0
FUN12,1,1,0,0,0,1,0
RBG1,1,1,0,0,0,1,0
YAL037W,1,1,0,0,0,1,0
CDC19,1,1,0,0,0,1,0
CYC3,1,1,0,0,0,1,0
CLN3,1,1,0,0,0,1,0
CDC24,1,1,0,0,0,1,0
ERV46,1,1,0,0,0,1,0
PTA1,1,1,0,0,0,1,0
GCV3,1,1,0,0,0,1,0
BOL3,1,1,0,0,0,1,0
SPC72,1,1,0,0,0,1,0
GEM1,1,1,0,0,0,1,0
AIM2,1,1,0,0,0,1,0
OAF1,1,1,0,0,0,1,0
FLC2,1,1,0,0,0,1,0
ACS1,1,1,0,0,0,1,0
PEX22,1,1,0,0,0,1,0
GPB2,1,1,0,0,0,1,0
CNE1,1,1,0,0,0,1,0
ECM1,1,1,0,0,0,1,0
BDH1,1,1,0,0,0,1,0
BDH2,1,1,0,0,0,1,0
GDH3,1,1,0,0,0,1,0
FLO9,1,1,0,0,0,1,0
YAL064W,1,1,0,0,0,1,0
SEO1,1,1,0,0,0,1,0
NUP60,1,1,0,0,0,1,0
SWD1,1,1,0,0,0,1,0
RFA1,1,1,0,0,0,1,0
SEN34,1,1,0,0,0,1,0
YAR009C,1,1,0,0,0,1,0
YAR010C,1,1,0,0,0,1,0
BUD14,1,1,0,0,0,1,0
ADE1,1,1,0,0,0,1,0
KIN3,1,1,0,0,0,1,0
CDC15,1,1,0,0,0,1,0
PAU7,1,1,0,0,0,1,0
DFP1,1,1,0,0,0,1,0
UIP3,1,1,0,0,0,1,0
KTD1,1,1,0,0,0,1,0
DFP2,1,1,0,0,0,1,0
PRM9,1,1,0,0,0,1,0
MST28,1,1,0,0,0,1,0
YAT1,1,1,0,0,0,1,0
SWH1,1,1,0,0,0,1,0
FLO1,1,1,0,0,0,1,0
YAR064W,1,1,0,0,0,1,0
YAR068W,1,1,0,0,0,1,0
PHO11,1,1,0,0,0,1,0
ECM15,1,1,0,0,0,1,0
HTB2,1,1,0,0,0,1,0
HTA2,1,1,0,0,0,1,0
UTP20,1,1,0,0,0,1,0
PDR3,1,1,0,0,0,1,0
LDB7,1,1,0,0,0,1,0
SLA1,1,1,0,0,0,1,0
HIR1,1,1,0,0,0,1,0
ALK2,1,1,0,0,0,1,0
LAA2,1,1,0,0,0,1,0
SCT1,1,1,0,0,0,1,0
FMT1,1,1,0,0,0,1,0
RRN6,1,1,0,0,0,1,0
ACH1,1,1,0,0,0,1,0
FUS3,1,1,0,0,0,1,0
PEP1,1,1,0,0,0,1,0
POP8,1,1,0,0,0,1,0
APN2,1,1,0,0,0,1,0
RFT1,1,1,0,0,0,1,0
HAP3,1,1,0,0,0,1,0
PIM1,1,1,0,0,0,1,0
MCM2,1,1,0,0,0,1,0
NCL1,1,1,0,0,0,1,0
RRN10,1,1,0,0,0,1,0
LSM2,1,1,0,0,0,1,0
RPL19B,1,1,0,0,0,1,0
YBL028C,1,1,0,0,0,1,0
YBL029W,1,1,0,0,0,1,0
PET9,1,1,0,0,0,1,0
SHE1,1,1,0,0,0,1,0
HEK2,1,1,0,0,0,1,0
RIB1,1,1,0,0,0,1,0
STU1,1,1,0,0,0,1,0
POL12,1,1,0,0,0,1,0
YBL036C,1,1,0,0,0,1,0
APL3,1,1,0,0,0,1,0
MRPL16,1,1,0,0,0,1,0
URA7,1,1,0,0,0,1,0
ERD2,1,1,0,0,0,1,0
PRE7,1,1,0,0,0,1,0
FUI1,1,1,0,0,0,1,0
ECM13,1,1,0,0,0,1,0
YBL044W,1,1,0,0,0,1,0
COR1,1,1,0,0,0,1,0
PSY4,1,1,0,0,0,1,0
EDE1,1,1,0,0,0,1,0
MOH1,1,1,0,0,0,1,0
SEC17,1,1,0,0,0,1,0
PIN4,1,1,0,0,0,1,0
SAS3,1,1,0,0,0,1,0
TOD6,1,1,0,0,0,1,0
YBL055C,1,1,0,0,0,1,0
