,total,NM,NR,XM,XR,NM_XM,NR_XR
HYP1,4,4,0,0,0,4,0
AT3G01310,3,3,0,0,0,3,0
AT3G01323,1,1,0,0,0,1,0
AT3G01340,2,2,0,0,0,2,0
AT3G01360,2,2,0,0,0,2,0
DRH1,4,4,0,0,0,4,0
SOX,3,3,0,0,0,3,0
AT3G02065,3,3,0,0,0,3,0
AT3G02510,3,3,0,0,0,3,0
AT3G02750,3,3,0,0,0,3,0
VTC4,3,3,0,0,0,3,0
AT3G03010,5,5,0,0,0,5,0
AT3G03100,2,2,0,0,0,2,0
ECT1,3,3,0,0,0,3,0
AT3G04130,2,2,0,0,0,2,0
PDLP4,2,2,0,0,0,2,0
AT3G04545,1,1,0,0,0,1,0
WRKY39,2,2,0,0,0,2,0
TPR10,3,3,0,0,0,3,0
AT3G04903,1,1,0,0,0,1,0
WNK1,3,3,0,0,0,3,0
LCR41,1,1,0,0,0,1,0
LCR18,1,1,0,0,0,1,0
AT3G05165,6,6,0,0,0,6,0
AT3G05230,2,2,0,0,0,2,0
AT3G05327,1,1,0,0,0,1,0
ALY2,5,5,0,0,0,5,0
AT3G05727,1,1,0,0,0,1,0
AT3G05741,1,1,0,0,0,1,0
TRM6,4,4,0,0,0,4,0
AT3G06340,4,4,0,0,0,4,0
AT3G06700,3,3,0,0,0,3,0
LCR44,1,1,0,0,0,1,0
LCR43,1,1,0,0,0,1,0
AT3G07110,2,2,0,0,0,2,0
AT3G07300,3,3,0,0,0,3,0
PUB9,10,10,0,0,0,10,0
AT3G07565,4,4,0,0,0,4,0
COL9,4,4,0,0,0,4,0
PLC2,4,4,0,0,0,4,0
AT3G08780,2,2,0,0,0,2,0
RVE8,9,9,0,0,0,9,0
AT3G09630,2,2,0,0,0,2,0
APX2,2,2,0,0,0,2,0
AT3G09690,2,2,0,0,0,2,0
PIP5K9,4,4,0,0,0,4,0
AT3G10195,1,1,0,0,0,1,0
AT3G10300,6,6,0,0,0,6,0
SCPL7,4,4,0,0,0,4,0
MSD1,2,2,0,0,0,2,0
AT3G11470,9,9,0,0,0,9,0
AT3G11620,9,9,0,0,0,9,0
AT3G11720,4,4,0,0,0,4,0
AT3G11930,4,4,0,0,0,4,0
EML1,3,3,0,0,0,3,0
TGA6,7,7,0,0,0,7,0
AT3G12345,1,1,0,0,0,1,0
PSF2,4,4,0,0,0,4,0
FYD,4,4,0,0,0,4,0
AT3G12620,2,2,0,0,0,2,0
AT3G12977,2,2,0,0,0,2,0
AT3G13030,5,5,0,0,0,5,0
AT3G13403,1,1,0,0,0,1,0
AT3G13430,4,4,0,0,0,4,0
TBP1,4,4,0,0,0,4,0
ECT2,4,4,0,0,0,4,0
FUS9,2,2,0,0,0,2,0
AT3G13882,2,2,0,0,0,2,0
GOX1,6,6,0,0,0,6,0
AT3G14830,4,4,0,0,0,4,0
AT3G14870,5,5,0,0,0,5,0
DJ1A,3,3,0,0,0,3,0
AT3G15351,7,7,0,0,0,7,0
AT3G15395,5,5,0,0,0,5,0
AT3G15450,3,3,0,0,0,3,0
UVR3,2,2,0,0,0,2,0
GRX4,2,2,0,0,0,2,0
