,total,NM,NR,XM,XR,NM_XM,NR_XR
MVD,1,0,0,1,0,1,0
RFC52,1,0,0,1,0,1,0
CAALFM_C100370WA,1,0,0,1,0,1,0
UBP6,1,0,0,1,0,1,0
CAALFM_C100450CA,1,0,0,1,0,1,0
TUB2,1,0,0,1,0,1,0
CAALFM_C100910WA,1,0,0,1,0,1,0
SIN3,1,0,0,1,0,1,0
RPB11,1,0,0,1,0,1,0
CAALFM_C100970WA,1,0,0,1,0,1,0
CAALFM_C100980WA,1,0,0,1,0,1,0
RPS21B,1,0,0,1,0,1,0
POX18,1,0,0,1,0,1,0
CAALFM_C101610CA,1,0,0,1,0,1,0
RPS42,1,0,0,1,0,1,0
SWI4,1,0,0,1,0,1,0
CAALFM_C101930WA,1,0,0,1,0,1,0
CAALFM_C101970WA,1,0,0,1,0,1,0
ZCF24,1,0,0,1,0,1,0
CAALFM_C102060WA,1,0,0,1,0,1,0
CAALFM_C102330CA,1,0,0,1,0,1,0
CAALFM_C102700CA,1,0,0,1,0,1,0
CAALFM_C102770WA,1,0,0,1,0,1,0
RPS16A,1,0,0,1,0,1,0
TEM1,1,0,0,1,0,1,0
CAALFM_C103100WA,1,0,0,1,0,1,0
RPL6,1,0,0,1,0,1,0
CAALFM_C103150CA,1,0,0,1,0,1,0
ECM33,1,0,0,1,0,1,0
CDC12,1,0,0,1,0,1,0
CAALFM_C103270WA,1,0,0,1,0,1,0
MED17,1,0,0,1,0,1,0
CAALFM_C103580WA,1,0,0,1,0,1,0
CAALFM_C103620CA,1,0,0,1,0,1,0
CAALFM_C103660WA,1,0,0,1,0,1,0
SKO1,1,0,0,1,0,1,0
CAALFM_C103840WA,1,0,0,1,0,1,0
BET4,1,0,0,1,0,1,0
CDC3,1,0,0,1,0,1,0
CAALFM_C104230WA,1,0,0,1,0,1,0
ACS2,1,0,0,1,0,1,0
CAALFM_C104360CA,1,0,0,1,0,1,0
APE2,1,0,0,1,0,1,0
CAALFM_C104430CA,1,0,0,1,0,1,0
FMA1,1,0,0,1,0,1,0
PHO85,1,0,0,1,0,1,0
CAALFM_C104590WA,1,0,0,1,0,1,0
ATP1,1,0,0,1,0,1,0
CAALFM_C104720WA,1,0,0,1,0,1,0
PSF2,1,0,0,1,0,1,0
CAALFM_C105180CA,1,0,0,1,0,1,0
CAALFM_C105190CA,1,0,0,1,0,1,0
RPS27A,1,0,0,1,0,1,0
SSH1,1,0,0,1,0,1,0
RIB4,1,0,0,1,0,1,0
AUT7,1,0,0,1,0,1,0
CAALFM_C105720WA,1,0,0,1,0,1,0
CAALFM_C105790WA,1,0,0,1,0,1,0
CAALFM_C106050CA,1,0,0,1,0,1,0
HAC1,1,0,0,1,0,1,0
RPS14B,1,0,0,1,0,1,0
CAALFM_C106470WA,1,0,0,1,0,1,0
CAALFM_C106480CA,1,0,0,1,0,1,0
CAALFM_C106640CA,1,0,0,1,0,1,0
CAALFM_C106840CA,1,0,0,1,0,1,0
CAALFM_C106870CA,1,0,0,1,0,1,0
SPO22,1,0,0,1,0,1,0
CAALFM_C106890CA,1,0,0,1,0,1,0
MMD1,1,0,0,1,0,1,0
CAALFM_C107060CA,1,0,0,1,0,1,0
CAALFM_C107150WA,1,0,0,1,0,1,0
CAALFM_C107160CA,1,0,0,1,0,1,0
CAALFM_C107280CA,1,0,0,1,0,1,0
CAALFM_C107340WA,1,0,0,1,0,1,0
CAALFM_C107530WA,1,0,0,1,0,1,0
CAALFM_C107920WA,1,0,0,1,0,1,0
CAALFM_C108040WA,1,0,0,1,0,1,0
CAALFM_C108080CA,1,0,0,1,0,1,0
LTP1,1,0,0,1,0,1,0
CAALFM_C108350CA,1,0,0,1,0,1,0
APS3,1,0,0,1,0,1,0
FAD1,1,0,0,1,0,1,0
CAALFM_C108710WA,1,0,0,1,0,1,0
CAALFM_C108830CA,1,0,0,1,0,1,0
CAALFM_C108930CA,1,0,0,1,0,1,0
IDH1,1,0,0,1,0,1,0
CAALFM_C109650WA,1,0,0,1,0,1,0
CAALFM_C109740CA,1,0,0,1,0,1,0
CAALFM_C109940WA,1,0,0,1,0,1,0
PET100,1,0,0,1,0,1,0
NTF2,1,0,0,1,0,1,0
RPL42,1,0,0,1,0,1,0
CAALFM_C110680CA,1,0,0,1,0,1,0
CAALFM_C110750CA,1,0,0,1,0,1,0
RPS17B,1,0,0,1,0,1,0
ERP5,1,0,0,1,0,1,0
CAALFM_C110960WA,1,0,0,1,0,1,0
RPL82,1,0,0,1,0,1,0
