,total,NM,NR,XM,XR,NM_XM,NR_XR
RHIMIDRAFT_10000,1,0,0,1,0,1,0
RHIMIDRAFT_10004,1,0,0,1,0,1,0
RHIMIDRAFT_100101,1,0,0,1,0,1,0
RHIMIDRAFT_100147,1,0,0,1,0,1,0
RHIMIDRAFT_100309,1,0,0,1,0,1,0
RHIMIDRAFT_100339,1,0,0,1,0,1,0
RHIMIDRAFT_100446,1,0,0,1,0,1,0
RHIMIDRAFT_1005,1,0,0,1,0,1,0
RHIMIDRAFT_100524,1,0,0,1,0,1,0
RHIMIDRAFT_100668,1,0,0,1,0,1,0
RHIMIDRAFT_100694,1,0,0,1,0,1,0
RHIMIDRAFT_100964,1,0,0,1,0,1,0
RHIMIDRAFT_101081,1,0,0,1,0,1,0
RHIMIDRAFT_101276,1,0,0,1,0,1,0
RHIMIDRAFT_101280,1,0,0,1,0,1,0
RHIMIDRAFT_101420,1,0,0,1,0,1,0
RHIMIDRAFT_101447,1,0,0,1,0,1,0
RHIMIDRAFT_101485,1,0,0,1,0,1,0
RHIMIDRAFT_101539,1,0,0,1,0,1,0
RHIMIDRAFT_101572,1,0,0,1,0,1,0
RHIMIDRAFT_101627,1,0,0,1,0,1,0
RHIMIDRAFT_101651,1,0,0,1,0,1,0
RHIMIDRAFT_101862,1,0,0,1,0,1,0
RHIMIDRAFT_101868,1,0,0,1,0,1,0
RHIMIDRAFT_101897,1,0,0,1,0,1,0
RHIMIDRAFT_101913,1,0,0,1,0,1,0
RHIMIDRAFT_101994,1,0,0,1,0,1,0
RHIMIDRAFT_102007,1,0,0,1,0,1,0
RHIMIDRAFT_102061,1,0,0,1,0,1,0
RHIMIDRAFT_10210,1,0,0,1,0,1,0
RHIMIDRAFT_102130,1,0,0,1,0,1,0
RHIMIDRAFT_102167,1,0,0,1,0,1,0
RHIMIDRAFT_102363,1,0,0,1,0,1,0
RHIMIDRAFT_102433,1,0,0,1,0,1,0
RHIMIDRAFT_102434,1,0,0,1,0,1,0
RHIMIDRAFT_10246,1,0,0,1,0,1,0
RHIMIDRAFT_102513,1,0,0,1,0,1,0
RHIMIDRAFT_102562,1,0,0,1,0,1,0
RHIMIDRAFT_102594,1,0,0,1,0,1,0
RHIMIDRAFT_102634,1,0,0,1,0,1,0
RHIMIDRAFT_102726,1,0,0,1,0,1,0
RHIMIDRAFT_102876,1,0,0,1,0,1,0
RHIMIDRAFT_102880,1,0,0,1,0,1,0
RHIMIDRAFT_10304,1,0,0,1,0,1,0
RHIMIDRAFT_103052,1,0,0,1,0,1,0
RHIMIDRAFT_10309,1,0,0,1,0,1,0
RHIMIDRAFT_103136,1,0,0,1,0,1,0
RHIMIDRAFT_103167,1,0,0,1,0,1,0
RHIMIDRAFT_103168,1,0,0,1,0,1,0
RHIMIDRAFT_103272,1,0,0,1,0,1,0
RHIMIDRAFT_103408,1,0,0,1,0,1,0
RHIMIDRAFT_103533,1,0,0,1,0,1,0
RHIMIDRAFT_103562,1,0,0,1,0,1,0
RHIMIDRAFT_103589,1,0,0,1,0,1,0
RHIMIDRAFT_103591,1,0,0,1,0,1,0
RHIMIDRAFT_103609,1,0,0,1,0,1,0
RHIMIDRAFT_103610,1,0,0,1,0,1,0
RHIMIDRAFT_103665,1,0,0,1,0,1,0
RHIMIDRAFT_103675,1,0,0,1,0,1,0
RHIMIDRAFT_103709,1,0,0,1,0,1,0
RHIMIDRAFT_103807,1,0,0,1,0,1,0
RHIMIDRAFT_103907,1,0,0,1,0,1,0
RHIMIDRAFT_104093,1,0,0,1,0,1,0
RHIMIDRAFT_104191,1,0,0,1,0,1,0
RHIMIDRAFT_104502,1,0,0,1,0,1,0
RHIMIDRAFT_104601,1,0,0,1,0,1,0
RHIMIDRAFT_104676,1,0,0,1,0,1,0
