,total,NM,NR,XM,XR,NM_XM,NR_XR
Or2y1e,1,1,0,0,0,1,0
Or2y1g,1,1,0,0,0,1,0
Or2y13,1,1,0,0,0,1,0
Or2y11,1,1,0,0,0,1,0
Or1x2,2,1,0,1,0,2,0
Or1ad8,1,1,0,0,0,1,0
Or2t47d,1,1,0,0,0,1,0
Or2t48d,1,1,0,0,0,1,0
Or2t48,5,1,0,4,0,5,0
Or2t48e,1,1,0,0,0,1,0
Or2t47,1,1,0,0,0,1,0
Olr1428,1,1,0,0,0,1,0
Or11l3,1,1,0,0,0,1,0
Or2ak6e,1,1,0,0,0,1,0
Or2ak4,1,1,0,0,0,1,0
Or2ak6c,1,1,0,0,0,1,0
Or2ak6,1,1,0,0,0,1,0
Or2ak5d,1,1,0,0,0,1,0
Or2ak4e,1,1,0,0,0,1,0
Or2ak5,1,1,0,0,0,1,0
Olr1454,1,1,0,0,0,1,0
Or5af1,1,1,0,0,0,1,0
Or9e1b,1,1,0,0,0,1,0
Or2aa1,1,1,0,0,0,1,0
Or1e1,2,1,0,1,0,2,0
Or1e1c,1,1,0,0,0,1,0
Or1e16,1,1,0,0,0,1,0
Or1e22,1,1,0,0,0,1,0
Or1e23,2,1,0,1,0,2,0
Or1e28,1,1,0,0,0,1,0
Or1e32,1,1,0,0,0,1,0
Or1e33,1,1,0,0,0,1,0
Olr1505,1,1,0,0,0,1,0
Or1r1,1,1,0,0,0,1,0
Or3a1f,1,1,0,0,0,1,0
Or1a1,1,1,0,0,0,1,0
Or1a1b,1,1,0,0,0,1,0
Or1d2,1,1,0,0,0,1,0
Or1p1,1,1,0,0,0,1,0
Or4d2b,1,1,0,0,0,1,0
Or4d2,1,1,0,0,0,1,0
Or2m12,1,1,0,0,0,1,0
Or2l13,1,1,0,0,0,1,0
Or2l13c,1,1,0,0,0,1,0
Or2aj4,1,1,0,0,0,1,0
Olr1564,1,1,0,0,0,1,0
Olr1563,1,1,0,0,0,1,0
Or5k14,1,1,0,0,0,1,0
Or5k8,1,1,0,0,0,1,0
Or5k16,1,1,0,0,0,1,0
Or5h17c,1,1,0,0,0,1,0
Or5h17,1,1,0,0,0,1,0
Or5h24b,1,1,0,0,0,1,0
Or10p22,1,1,0,0,0,1,0
Or6c2b,1,1,0,0,0,1,0
Or6c201,1,1,0,0,0,1,0
Or6c6i,1,1,0,0,0,1,0
Or6c208,1,1,0,0,0,1,0
Or6c1h,1,1,0,0,0,1,0
Or6c2,1,1,0,0,0,1,0
Or6c88,1,1,0,0,0,1,0
Or9k7,1,1,0,0,0,1,0
Or9k2b,1,1,0,0,0,1,0
Or6c33,1,1,0,0,0,1,0
Or10u3,1,1,0,0,0,1,0
Or6c69,1,1,0,0,0,1,0
Or6c216,2,1,0,1,0,2,0
Olr1024,1,1,0,0,0,1,0
Or6c211,2,1,0,1,0,2,0
Or10p1,1,1,0,0,0,1,0
Or6c7,1,1,0,0,0,1,0
Olr1057,1,1,0,0,0,1,0
Olr951,1,1,0,0,0,1,0
Olr952,1,1,0,0,0,1,0
Or6c68,1,1,0,0,0,1,0
Or6c6b,1,1,0,0,0,1,0
Or6c213c,1,1,0,0,0,1,0
Or10j27,1,1,0,0,0,1,0
Or10j3,1,1,0,0,0,1,0
Or10j3b,1,1,0,0,0,1,0
Or10aa1,1,1,0,0,0,1,0
Or6n2,3,1,0,2,0,3,0
Or6n1,1,1,0,0,0,1,0
Or6k6,1,1,0,0,0,1,0
Or6k4,1,1,0,0,0,1,0
Or10x1,1,1,0,0,0,1,0
Or6p1,1,1,0,0,0,1,0
Or2t35,1,1,0,0,0,1,0
Or4n5,1,1,0,0,0,1,0
Or4k15c,1,1,0,0,0,1,0
Or4k15,1,1,0,0,0,1,0
Or4k5,1,1,0,0,0,1,0
Or4k2,1,1,0,0,0,1,0
Olr1610,1,1,0,0,0,1,0
Or4m1,1,1,0,0,0,1,0
Or11g2,1,1,0,0,0,1,0
Or10g3,1,1,0,0,0,1,0
Or10g1b,1,1,0,0,0,1,0
Or4e1,3,1,0,2,0,3,0
Or4e5,1,1,0,0,0,1,0
Or6e1,1,1,0,0,0,1,0
Or14p1,1,1,0,0,0,1,0
Or2w2,1,1,0,0,0,1,0
Or2ad1,4,1,0,1,2,2,2
Or2w1,1,1,0,0,0,1,0
Or7c19,5,1,0,4,0,5,0
Olr387,1,1,0,0,0,1,0
Or10am5,1,1,0,0,0,1,0
Or6z1,1,1,0,0,0,1,0
Olr5,1,1,0,0,0,1,0
Or6z3,1,1,0,0,0,1,0
Or5ae1,1,1,0,0,0,1,0
Or6f1,1,1,0,0,0,1,0
Or6aa1b,1,1,0,0,0,1,0
Or14n1,1,1,0,0,0,1,0
Or14c43,1,1,0,0,0,1,0
Or14c39b,1,1,0,0,0,1,0
Olr35,18,1,0,17,0,18,0
Or52m1,1,1,0,0,0,1,0
Or52m2,1,1,0,0,0,1,0
Or52k2,1,1,0,0,0,1,0
Or52p2,1,1,0,0,0,1,0
Or52b4,1,1,0,0,0,1,0
Or55b10,1,1,0,0,0,1,0
Or55b4,1,1,0,0,0,1,0
Or51a39,1,1,0,0,0,1,0
Or51f23c,1,1,0,0,0,1,0
Or52r1,1,1,0,0,0,1,0
Or51s1,1,1,0,0,0,1,0
Or51a7b,1,1,0,0,0,1,0
Or52r1c,1,1,0,0,0,1,0
Or51l1,1,1,0,0,0,1,0
Or52j3,1,1,0,0,0,1,0
Or52s1,1,1,0,0,0,1,0
Or52e3,1,1,0,0,0,1,0
Or52ab4,1,1,0,0,0,1,0
Or52ad1,2,1,0,1,0,2,0
Or52s19,1,1,0,0,0,1,0
Or52ae7b,1,1,0,0,0,1,0
Or52ae7,1,1,0,0,0,1,0
Or51af1,1,1,0,0,0,1,0
Or51ag1,1,1,0,0,0,1,0
Or51aa2,1,1,0,0,0,1,0
Or51ab3,1,1,0,0,0,1,0
Or51ah3,1,1,0,0,0,1,0
Or52z14,1,1,0,0,0,1,0
Or51v14,1,1,0,0,0,1,0
Or52ae8,1,1,0,0,0,1,0
Or51b6b,1,1,0,0,0,1,0
Or51v8,1,1,0,0,0,1,0
Or52ae8b,1,1,0,0,0,1,0
Or52a20,1,1,0,0,0,1,0
Or52ae9,1,1,0,0,0,1,0
Or52a5b,1,1,0,0,0,1,0
Or52z1,1,1,0,0,0,1,0
Or51k7,1,1,0,0,0,1,0
Or51q1,1,1,0,0,0,1,0
Or51q1e,1,1,0,0,0,1,0
Or51i2,1,1,0,0,0,1,0
Or51a10,1,1,0,0,0,1,0
Or52d1,1,1,0,0,0,1,0
Or52h1,1,1,0,0,0,1,0
Or52h7,1,1,0,0,0,1,0
Or52u1,1,1,0,0,0,1,0
Or52p1,1,1,0,0,0,1,0
Or52n4,1,1,0,0,0,1,0
Or52n4c,1,1,0,0,0,1,0
Or52n4e,1,1,0,0,0,1,0
Or56b2k,2,1,0,1,0,2,0
Or52n4d,1,1,0,0,0,1,0
Or52n1,1,1,0,0,0,1,0
Or52n3,1,1,0,0,0,1,0
Or52n2,1,1,0,0,0,1,0
Or52n2e,1,1,0,0,0,1,0
Or52e18,1,1,0,0,0,1,0
Or52e8,1,1,0,0,0,1,0
Or52e15c,1,1,0,0,0,1,0
Or52e8b,1,1,0,0,0,1,0
Or52e7,1,1,0,0,0,1,0
Or52e5b,2,1,0,1,0,2,0
Or56a3b,1,1,0,0,0,1,0
Olr193,1,1,0,0,0,1,0
Or52l1,1,1,0,0,0,1,0
Or52x1,1,1,0,0,0,1,0
Or56b6b,2,1,0,1,0,2,0
Or52b1,1,1,0,0,0,1,0
Or2ag13,1,1,0,0,0,1,0
Or2ag16,1,1,0,0,0,1,0
Or2ag16b,1,1,0,0,0,1,0
Or2ag18,1,1,0,0,0,1,0
Or2ag2b,1,1,0,0,0,1,0
Or13n4,1,1,0,0,0,1,0
Or2ag19,1,1,0,0,0,1,0
Or2ag20,1,1,0,0,0,1,0
Or2ag1,1,1,0,0,0,1,0
Or2d3c,1,1,0,0,0,1,0
Or2d4,1,1,0,0,0,1,0
Or6b9,1,1,0,0,0,1,0
Or10a5,1,1,0,0,0,1,0
Or2d36b,1,1,0,0,0,1,0
Or10a2,1,1,0,0,0,1,0
Or10a4,2,1,0,1,0,2,0
Or2d2,1,1,0,0,0,1,0
Or2d36,1,1,0,0,0,1,0
Or5p5b,1,1,0,0,0,1,0
Or5p50,1,1,0,0,0,1,0
Or5p5,1,1,0,0,0,1,0
Or5p56,1,1,0,0,0,1,0
Or5p6,2,1,0,1,0,2,0
Or10ab4,1,1,0,0,0,1,0
Or5p4,1,1,0,0,0,1,0
Or5p6b,1,1,0,0,0,1,0
Or5p66b,1,1,0,0,0,1,0
Or5p60c,1,1,0,0,0,1,0
Or5p72,1,1,0,0,0,1,0
Or5p68,1,1,0,0,0,1,0
Or5p66,1,1,0,0,0,1,0
Or10a48,1,1,0,0,0,1,0
Or10a3,1,1,0,0,0,1,0
Or10a3c,1,1,0,0,0,1,0
Or5p76,1,1,0,0,0,1,0
Or5p81,1,1,0,0,0,1,0
Or5p69b,1,1,0,0,0,1,0
Or5p69,1,1,0,0,0,1,0
Or5p79,1,1,0,0,0,1,0
Or6b13,1,1,0,0,0,1,0
Or12j2,1,1,0,0,0,1,0
Or13a27,1,1,0,0,0,1,0
Or12j3,1,1,0,0,0,1,0
Or12j2b,1,1,0,0,0,1,0
Or13a19c,1,1,0,0,0,1,0
Or12j4,1,1,0,0,0,1,0
Or13a27b,1,1,0,0,0,1,0
Or12j5,1,1,0,0,0,1,0
Or13a18,1,1,0,0,0,1,0
Or13a18b,1,1,0,0,0,1,0
Or13a27e,1,1,0,0,0,1,0
Or13a26,1,1,0,0,0,1,0
Or4d11,1,1,0,0,0,1,0
Or4d10c,1,1,0,0,0,1,0
Or4z4,1,1,0,0,0,1,0
Or4d6,1,1,0,0,0,1,0
Or5a1,1,1,0,0,0,1,0
Or5bb12,1,1,0,0,0,1,0
Or5a21,1,1,0,0,0,1,0
