>XM_023605096.1 Rhizopus microsporus ATCC 52813 serine protease (RHIMIDRAFT_10000), mRNA
>XM_023605097.1 Rhizopus microsporus ATCC 52813 Abi-domain-containing protein (RHIMIDRAFT_10004), mRNA
>XM_023605098.1 Rhizopus microsporus ATCC 52813 HLH-domain-containing protein (RHIMIDRAFT_100101), mRNA
>XM_023605099.1 Rhizopus microsporus ATCC 52813 acyl-CoA oxidase (RHIMIDRAFT_100147), mRNA
>XM_023605100.1 Rhizopus microsporus ATCC 52813 acyltransferase ChoActase (RHIMIDRAFT_100309), mRNA
>XM_023605101.1 Rhizopus microsporus ATCC 52813 Zinc/iron permease (RHIMIDRAFT_100339), mRNA
>XM_023605102.1 Rhizopus microsporus ATCC 52813 DUF396-domain-containing protein (RHIMIDRAFT_100446), mRNA
>XM_023605103.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_1005), mRNA
>XM_023605104.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_100524), mRNA
>XM_023605105.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_100668), mRNA
>XM_023605106.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_100694), mRNA
>XM_023605107.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_100964), mRNA
>XM_023605108.1 Rhizopus microsporus ATCC 52813 DDHD-domain-containing protein (RHIMIDRAFT_101081), mRNA
>XM_023605109.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101276), mRNA
>XM_023605110.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101280), mRNA
>XM_023605111.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101420), mRNA
>XM_023605112.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101447), mRNA
>XM_023605113.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101485), mRNA
>XM_023605114.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101539), mRNA
>XM_023605115.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101572), mRNA
>XM_023605116.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101627), mRNA
>XM_023605117.1 Rhizopus microsporus ATCC 52813 EF-hand (RHIMIDRAFT_101651), mRNA
>XM_023605118.1 Rhizopus microsporus ATCC 52813 hydroxyacylglutathione hydrolase (RHIMIDRAFT_101862), mRNA
>XM_023605119.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101868), mRNA
>XM_023605120.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101897), mRNA
>XM_023605121.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101913), mRNA
>XM_023605122.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_101994), mRNA
>XM_023605123.1 Rhizopus microsporus ATCC 52813 aspartyl proteinase (RHIMIDRAFT_102007), mRNA
>XM_023605124.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102061), mRNA
>XM_023605125.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10210), mRNA
>XM_023605126.1 Rhizopus microsporus ATCC 52813 DUF544-domain-containing protein (RHIMIDRAFT_102130), mRNA
>XM_023605127.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102167), mRNA
>XM_023605128.1 Rhizopus microsporus ATCC 52813 DUF1838-domain-containing protein (RHIMIDRAFT_102363), mRNA
>XM_023605129.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102433), mRNA
>XM_023605130.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102434), mRNA
>XM_023605131.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10246), mRNA
>XM_023605132.1 Rhizopus microsporus ATCC 52813 glutathione S-transferase (RHIMIDRAFT_102513), mRNA
>XM_023605133.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102562), mRNA
>XM_023605134.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102594), mRNA
>XM_023605135.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102634), mRNA
>XM_023605136.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_102726), mRNA
>XM_023605137.1 Rhizopus microsporus ATCC 52813 peptidase C14 (RHIMIDRAFT_102876), mRNA
>XM_023605138.1 Rhizopus microsporus ATCC 52813 molecular chaperone (RHIMIDRAFT_102880), partial mRNA
>XM_023605139.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10304), mRNA
>XM_023605140.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103052), mRNA
>XM_023605141.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10309), mRNA
>XM_023605142.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103136), mRNA
>XM_023605143.1 Rhizopus microsporus ATCC 52813 CheY-like protein (RHIMIDRAFT_103167), mRNA
>XM_023605144.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103168), mRNA
>XM_023605145.1 Rhizopus microsporus ATCC 52813 Oligoxyloglucan reducing end-specific cellobiohydrolase (RHIMIDRAFT_103272), mRNA
>XM_023605146.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103408), mRNA
>XM_023605147.1 Rhizopus microsporus ATCC 52813 PAXNEB-domain-containing protein (RHIMIDRAFT_103533), mRNA
>XM_023605148.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103562), mRNA
>XM_023605149.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103589), mRNA
>XM_023605150.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103591), mRNA
>XM_023605151.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103609), mRNA
>XM_023605152.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103610), mRNA
>XM_023605153.1 Rhizopus microsporus ATCC 52813 proteasome subunit alpha (RHIMIDRAFT_103665), mRNA
>XM_023605154.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103675), mRNA
>XM_023605155.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103709), mRNA
>XM_023605156.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_103807), mRNA
>XM_023605157.1 Rhizopus microsporus ATCC 52813 adhesion regulating molecule (RHIMIDRAFT_103907), mRNA
>XM_023605158.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104093), mRNA
