,accession,gene
1,>NM_001001127.2,EDNRB
3,>NM_001001129.2,CYP26A1
5,>NM_001001131.2,GHRL
7,>NM_001001189.2,CFDP1
9,>NM_001001192.2,ST3GAL5
11,>NM_001001193.1,AvBD6
13,>NM_001001194.1,AvBD7
15,>NM_001001195.3,KRT5
17,>NM_001001201.3,HSD11B1L
19,>NM_001001203.2,EREG
21,>NM_001001291.2,ADCYAP1
23,>NM_001001292.2,EGF
25,>NM_001001293.2,GHR
27,>NM_001001294.2,IGFBP1
29,>NM_001001296.6,IFI6
31,>NM_001001298.2,PAH
33,>NM_001001299.3,BVES
35,>NM_001001300.2,TOP1MT
37,>NM_001001301.2,TPH2
39,>NM_001001302.2,MYH7
41,>NM_001001304.3,POLH
43,>NM_001001305.4,SRSF2
45,>NM_001001310.5,LOC408038
47,>NM_001001311.3,KRT14
49,>NM_001001312.2,KRT13
51,>NM_001001313.3,KRT6A
53,>NM_001001314.3,KRT75
55,>NM_001001315.3,TMSB4X
57,>NM_001001316.2,CTDSPL
59,>NM_001001328.3,VKORC1L1
61,>NM_001001337.2,TEAD4
63,>NM_001001340.2,TEAD4
65,>NM_001001341.1,TEAD4
67,>NM_001001460.2,PPARG
69,>NM_001001461.2,MSTN
71,>NM_001001462.2,SDC2
73,>NM_001001463.3,ARNTL
75,>NM_001001464.1,PPARA
77,>NM_001001465.2,BMPR2
79,>NM_001001466.3,RTN1
81,>NM_001001467.2,TOB1
83,>NM_001001468.2,IFRD1
85,>NM_001001469.2,GART
87,>NM_001001470.2,LYG2
89,>NM_001001472.3,NFKBIA
91,>NM_001001473.3,AMY2A
93,>NM_001001527.3,HSPB2
95,>NM_001001528.3,AMY1A
97,>NM_001001529.2,P3H1
99,>NM_001001530.2,P3H2
101,>NM_001001531.1,FUS
103,>NM_001001604.2,ST8SIA2
105,>NM_001001605.3,CATH1
107,>NM_001001606.2,LEAP2
109,>NM_001001608.2,AvBD5
111,>NM_001001609.3,AvBD10
113,>NM_001001610.2,AvBD4
115,>NM_001001611.3,AvBD9
117,>NM_001001613.2,CD74
119,>NM_001001614.2,TGFA
121,>NM_001001615.2,CDH2
123,>NM_001001616.2,CYP2C23a
125,>NM_001001733.3,CACNB4
127,>NM_001001741.2,CCK
129,>NM_001001742.1,CCKBR
131,>NM_001001743.2,FGF13
133,>NM_001001744.2,IRX4
135,>NM_001001745.2,VSIG1
137,>NM_001001746.2,ST8SIA3
139,>NM_001001747.3,ST8SIA5
141,>NM_001001748.3,CYB5A
143,>NM_001001749.1,LAMP2
145,>NM_001001750.4,B2M
147,>NM_001001751.3,CYP3A5
149,>NM_001001752.3,CYP2C18
151,>NM_001001753.2,CYP7A1
153,>NM_001001754.2,LOC414835
155,>NM_001001756.2,CYP11A1
157,>NM_001001757.2,CYP2C23b
159,>NM_001001758.3,CDH6
161,>NM_001001759.2,CDHR1
163,>NM_001001760.2,CDH13
165,>NM_001001761.4,CYP19A1
167,>NM_001001763.3,SLC5A7
169,>NM_001001764.2,PDLIM3
171,>NM_001001765.2,UBA5
173,>NM_001001766.2,LIMS1
175,>NM_001001767.3,RNF114
177,>NM_001001772.2,SLC24A2
179,>NM_001001773.2,SLC24A1
181,>NM_001001774.2,GRIA1
183,>NM_001001775.4,GRIA2
